region,date,price
Darkhan-Uul,2024-01-02,3960.0
Khovd,2024-01-02,4040.0
Orkhon,2024-01-02,3950.0
Umnugovi,2024-01-02,4033.0
Darkhan-Uul,2024-01-08,3960.0
Khovd,2024-01-08,4040.0
Orkhon,2024-01-08,3950.0
Umnugovi,2024-01-08,4033.0
Darkhan-Uul,2024-01-15,3960.0
Khovd,2024-01-15,4040.0
Orkhon,2024-01-15,3950.0
Umnugovi,2024-01-15,4033.0
Darkhan-Uul,2024-01-22,3960.0
Khovd,2024-01-22,4040.0
Orkhon,2024-01-22,3950.0
Umnugovi,2024-01-22,4033.0
Darkhan-Uul,2024-01-29,3960.0
Khovd,2024-01-29,4040.0
Orkhon,2024-01-29,3950.0
Umnugovi,2024-01-29,4033.0
Darkhan-Uul,2024-02-05,3960.0
Khovd,2024-02-05,4040.0
Orkhon,2024-02-05,3950.0
Umnugovi,2024-02-05,4033.0
Darkhan-Uul,2024-02-19,3640.0
Khovd,2024-02-19,4040.0
Orkhon,2024-02-19,3650.0
Umnugovi,2024-02-19,3730.0
Darkhan-Uul,2024-02-26,3640.0
Khovd,2024-02-26,3740.0
Orkhon,2024-02-26,3650.0
Umnugovi,2024-02-26,3730.0
Darkhan-Uul,2024-03-04,3640.0
Khovd,2024-03-04,3740.0
Orkhon,2024-03-04,3650.0
Umnugovi,2024-03-04,3730.0
Darkhan-Uul,2024-03-11,3640.0
Khovd,2024-03-11,3740.0
Orkhon,2024-03-11,3650.0
Umnugovi,2024-03-11,3730.0
Darkhan-Uul,2024-03-18,3640.0
Khovd,2024-03-18,3740.0
Orkhon,2024-03-18,3650.0
Umnugovi,2024-03-18,3730.0
Darkhan-Uul,2024-03-25,3640.0
Khovd,2024-03-25,3740.0
Orkhon,2024-03-25,3650.0
Umnugovi,2024-03-25,3730.0
Darkhan-Uul,2024-04-01,3600.0
Khovd,2024-04-01,3740.0
Orkhon,2024-04-01,3650.0
Umnugovi,2024-04-01,3730.0
Darkhan-Uul,2024-04-08,3600.0
Khovd,2024-04-08,3740.0
Orkhon,2024-04-08,3650.0
Umnugovi,2024-04-08,3730.0
Darkhan-Uul,2024-04-15,3600.0
Khovd,2024-04-15,3740.0
Orkhon,2024-04-15,3650.0
Umnugovi,2024-04-15,3730.0
Darkhan-Uul,2024-04-22,3600.0
Khovd,2024-04-22,3740.0
Orkhon,2024-04-22,3650.0
Umnugovi,2024-04-22,3730.0
Darkhan-Uul,2024-04-29,3600.0
Khovd,2024-04-29,3740.0
Orkhon,2024-04-29,3650.0
Umnugovi,2024-04-29,3730.0
Darkhan-Uul,2024-05-06,3600.0
Khovd,2024-05-06,3740.0
Orkhon,2024-05-06,3650.0
Umnugovi,2024-05-06,3730.0
Darkhan-Uul,2024-05-13,3600.0
Khovd,2024-05-13,3740.0
Orkhon,2024-05-13,3650.0
Umnugovi,2024-05-13,3730.0
Darkhan-Uul,2024-05-20,3440.0
Khovd,2024-05-20,3740.0
Orkhon,2024-05-20,3450.0
Umnugovi,2024-05-20,3530.0
Darkhan-Uul,2024-05-27,3440.0
Khovd,2024-05-27,3740.0
Orkhon,2024-05-27,3450.0
Umnugovi,2024-05-27,3530.0
Darkhan-Uul,2024-06-03,3440.0
Khovd,2024-06-03,3740.0
Orkhon,2024-06-03,3450.0
Umnugovi,2024-06-03,3530.0
Darkhan-Uul,2024-06-10,3440.0
Khovd,2024-06-10,3740.0
Orkhon,2024-06-10,3450.0
Umnugovi,2024-06-10,3530.0
Darkhan-Uul,2024-06-17,3440.0
Khovd,2024-06-17,3740.0
Orkhon,2024-06-17,3450.0
Umnugovi,2024-06-17,3530.0
Darkhan-Uul,2024-06-24,3440.0
Khovd,2024-06-24,3740.0
Orkhon,2024-06-24,3450.0
Umnugovi,2024-06-24,3530.0
Darkhan-Uul,2024-07-01,3440.0
Khovd,2024-07-01,3740.0
Orkhon,2024-07-01,3450.0
Umnugovi,2024-07-01,3530.0
Darkhan-Uul,2024-07-08,3440.0
Khovd,2024-07-08,3740.0
Orkhon,2024-07-08,3450.0
Umnugovi,2024-07-08,3530.0
Darkhan-Uul,2024-07-22,3440.0
Khovd,2024-07-22,3740.0
Orkhon,2024-07-22,3450.0
Umnugovi,2024-07-22,3530.0
Darkhan-Uul,2024-07-29,3440.0
Khovd,2024-07-29,3740.0
Orkhon,2024-07-29,3450.0
Umnugovi,2024-07-29,3530.0
Darkhan-Uul,2024-08-05,3440.0
Khovd,2024-08-05,3740.0
Orkhon,2024-08-05,3450.0
Umnugovi,2024-08-05,3530.0
Darkhan-Uul,2024-08-12,3380.0
Khovd,2024-08-12,3740.0
Orkhon,2024-08-12,3450.0
Umnugovi,2024-08-12,3530.0
Darkhan-Uul,2024-08-19,3380.0
Khovd,2024-08-19,3740.0
Orkhon,2024-08-19,3450.0
Umnugovi,2024-08-19,3530.0
Darkhan-Uul,2024-08-26,3380.0
Khovd,2024-08-26,3740.0
Orkhon,2024-08-26,3450.0
Umnugovi,2024-08-26,3530.0
Darkhan-Uul,2024-09-02,3380.0
Khovd,2024-09-02,3740.0
Orkhon,2024-09-02,3450.0
Umnugovi,2024-09-02,3530.0
Darkhan-Uul,2024-09-09,3380.0
Khovd,2024-09-09,3740.0
Orkhon,2024-09-09,3450.0
Umnugovi,2024-09-09,3530.0
Darkhan-Uul,2024-09-16,3380.0
Khovd,2024-09-16,3740.0
Orkhon,2024-09-16,3450.0
Umnugovi,2024-09-16,3280.0
Darkhan-Uul,2024-09-23,3180.0
Khovd,2024-09-23,3490.0
Orkhon,2024-09-23,3450.0
Umnugovi,2024-09-23,3280.0
Darkhan-Uul,2024-09-30,3180.0
Khovd,2024-09-30,3490.0
Orkhon,2024-09-30,3217.0
Umnugovi,2024-09-30,3280.0
Darkhan-Uul,2024-10-07,3180.0
Khovd,2024-10-07,3490.0
Orkhon,2024-10-07,3200.0
Umnugovi,2024-10-07,3280.0
Darkhan-Uul,2024-10-14,3180.0
Khovd,2024-10-14,3490.0
Orkhon,2024-10-14,3200.0
Umnugovi,2024-10-14,3280.0
Darkhan-Uul,2024-10-21,3180.0
Khovd,2024-10-21,3490.0
Orkhon,2024-10-21,3200.0
Umnugovi,2024-10-21,3280.0
Darkhan-Uul,2024-10-28,3180.0
Khovd,2024-10-28,3490.0
Orkhon,2024-10-28,3200.0
Umnugovi,2024-10-28,3280.0
Darkhan-Uul,2024-11-04,3180.0
Khovd,2024-11-04,3490.0
Orkhon,2024-11-04,3200.0
Umnugovi,2024-11-04,3280.0
Darkhan-Uul,2024-11-12,3180.0
Khovd,2024-11-12,3490.0
Orkhon,2024-11-12,3200.0
Umnugovi,2024-11-12,3280.0
Darkhan-Uul,2024-11-18,3180.0
Khovd,2024-11-18,3490.0
Orkhon,2024-11-18,3200.0
Umnugovi,2024-11-18,3280.0
Darkhan-Uul,2024-11-25,3180.0
Khovd,2024-11-25,3490.0
Orkhon,2024-11-25,3200.0
Umnugovi,2024-11-25,3280.0
Darkhan-Uul,2024-12-02,3180.0
Khovd,2024-12-02,3490.0
Orkhon,2024-12-02,3200.0
Umnugovi,2024-12-02,3280.0
Darkhan-Uul,2024-12-09,3180.0
Khovd,2024-12-09,3590.0
Orkhon,2024-12-09,3200.0
Umnugovi,2024-12-09,3280.0
Darkhan-Uul,2024-12-16,3180.0
Khovd,2024-12-16,3590.0
Orkhon,2024-12-16,3200.0
Umnugovi,2024-12-16,3280.0
Darkhan-Uul,2024-12-23,3180.0
Khovd,2024-12-23,3590.0
Orkhon,2024-12-23,3200.0
Umnugovi,2024-12-23,3280.0
Darkhan-Uul,2024-12-30,3180.0
Khovd,2024-12-30,3590.0
Orkhon,2024-12-30,3200.0
Umnugovi,2024-12-30,3280.0
Darkhan-Uul,2025-01-06,3180.0
Khovd,2025-01-06,3590.0
Orkhon,2025-01-06,3200.0
Umnugovi,2025-01-06,3280.0
Darkhan-Uul,2025-01-13,3180.0
Khovd,2025-01-13,3590.0
Orkhon,2025-01-13,3200.0
Umnugovi,2025-01-13,3280.0
Darkhan-Uul,2025-01-20,3180.0
Khovd,2025-01-20,3590.0
Orkhon,2025-01-20,3200.0
Umnugovi,2025-01-20,3280.0
Darkhan-Uul,2025-01-27,3180.0
Khovd,2025-01-27,3590.0
Orkhon,2025-01-27,3200.0
Umnugovi,2025-01-27,3280.0
Darkhan-Uul,2025-02-03,3180.0
Khovd,2025-02-03,3590.0
Orkhon,2025-02-03,3200.0
Umnugovi,2025-02-03,3280.0
Darkhan-Uul,2025-02-10,3180.0
Khovd,2025-02-10,3590.0
Orkhon,2025-02-10,3200.0
Umnugovi,2025-02-10,3280.0
Darkhan-Uul,2025-02-17,3180.0
Khovd,2025-02-17,3590.0
Orkhon,2025-02-17,3200.0
Umnugovi,2025-02-17,3280.0
Darkhan-Uul,2025-02-24,3180.0
Khovd,2025-02-24,3590.0
Orkhon,2025-02-24,3200.0
Umnugovi,2025-02-24,3280.0
Darkhan-Uul,2025-03-10,3180.0
Khovd,2025-03-10,3590.0
Orkhon,2025-03-10,3200.0
Umnugovi,2025-03-10,3280.0
Darkhan-Uul,2025-03-17,3180.0
Khovd,2025-03-17,3590.0
Orkhon,2025-03-17,3200.0
Umnugovi,2025-03-17,3280.0
Darkhan-Uul,2025-03-24,3180.0
Khovd,2025-03-24,3590.0
Orkhon,2025-03-24,3200.0
Umnugovi,2025-03-24,3280.0
Darkhan-Uul,2025-03-31,3180.0
Khovd,2025-03-31,3590.0
Orkhon,2025-03-31,3200.0
Umnugovi,2025-03-31,3280.0
Darkhan-Uul,2025-04-07,3180.0
Khovd,2025-04-07,3590.0
Orkhon,2025-04-07,3200.0
Umnugovi,2025-04-07,3280.0
Darkhan-Uul,2025-04-14,3180.0
Khovd,2025-04-14,3590.0
Orkhon,2025-04-14,3200.0
