бүс,огноо,үнэ
Дархан-Уул,2024-01-02,3960.0
Орхон,2024-01-02,3950.0
Ховд,2024-01-02,4040.0
Өмнөговь,2024-01-02,4033.0
Дархан-Уул,2024-01-08,3960.0
Орхон,2024-01-08,3950.0
Ховд,2024-01-08,4040.0
Өмнөговь,2024-01-08,4033.0
Дархан-Уул,2024-01-15,3960.0
Орхон,2024-01-15,3950.0
Ховд,2024-01-15,4040.0
Өмнөговь,2024-01-15,4033.0
Дархан-Уул,2024-01-22,3960.0
Орхон,2024-01-22,3950.0
Ховд,2024-01-22,4040.0
Өмнөговь,2024-01-22,4033.0
Дархан-Уул,2024-01-29,3960.0
Орхон,2024-01-29,3950.0
Ховд,2024-01-29,4040.0
Өмнөговь,2024-01-29,4033.0
Дархан-Уул,2024-02-05,3960.0
Орхон,2024-02-05,3950.0
Ховд,2024-02-05,4040.0
Өмнөговь,2024-02-05,4033.0
Дархан-Уул,2024-02-19,3640.0
Орхон,2024-02-19,3650.0
Ховд,2024-02-19,4040.0
Өмнөговь,2024-02-19,3730.0
Дархан-Уул,2024-02-26,3640.0
Орхон,2024-02-26,3650.0
Ховд,2024-02-26,3740.0
Өмнөговь,2024-02-26,3730.0
Дархан-Уул,2024-03-04,3640.0
Орхон,2024-03-04,3650.0
Ховд,2024-03-04,3740.0
Өмнөговь,2024-03-04,3730.0
Дархан-Уул,2024-03-11,3640.0
Орхон,2024-03-11,3650.0
Ховд,2024-03-11,3740.0
Өмнөговь,2024-03-11,3730.0
Дархан-Уул,2024-03-18,3640.0
Орхон,2024-03-18,3650.0
Ховд,2024-03-18,3740.0
Өмнөговь,2024-03-18,3730.0
Дархан-Уул,2024-03-25,3640.0
Орхон,2024-03-25,3650.0
Ховд,2024-03-25,3740.0
Өмнөговь,2024-03-25,3730.0
Дархан-Уул,2024-04-01,3600.0
Орхон,2024-04-01,3650.0
Ховд,2024-04-01,3740.0
Өмнөговь,2024-04-01,3730.0
Дархан-Уул,2024-04-08,3600.0
Орхон,2024-04-08,3650.0
Ховд,2024-04-08,3740.0
Өмнөговь,2024-04-08,3730.0
Дархан-Уул,2024-04-15,3600.0
Орхон,2024-04-15,3650.0
Ховд,2024-04-15,3740.0
Өмнөговь,2024-04-15,3730.0
Дархан-Уул,2024-04-22,3600.0
Орхон,2024-04-22,3650.0
Ховд,2024-04-22,3740.0
Өмнөговь,2024-04-22,3730.0
Дархан-Уул,2024-04-29,3600.0
Орхон,2024-04-29,3650.0
Ховд,2024-04-29,3740.0
Өмнөговь,2024-04-29,3730.0
