region,date,price
Darkhan-Uul,2024-01-02,2450.0
Khovd,2024-01-02,2800.0
Orkhon,2024-01-02,2367.0
Umnugovi,2024-01-02,2730.0
Darkhan-Uul,2024-01-08,2450.0
Khovd,2024-01-08,2800.0
Orkhon,2024-01-08,2367.0
Umnugovi,2024-01-08,2730.0
Darkhan-Uul,2024-01-15,2450.0
Khovd,2024-01-15,2800.0
Orkhon,2024-01-15,2367.0
Umnugovi,2024-01-15,2730.0
Darkhan-Uul,2024-01-22,2483.0
Khovd,2024-01-22,2800.0
Orkhon,2024-01-22,2567.0
Umnugovi,2024-01-22,2730.0
Darkhan-Uul,2024-01-29,2483.0
Khovd,2024-01-29,2800.0
Orkhon,2024-01-29,2567.0
Umnugovi,2024-01-29,2747.0
Darkhan-Uul,2024-02-05,2516.0
Khovd,2024-02-05,2800.0
Orkhon,2024-02-05,2567.0
Umnugovi,2024-02-05,2747.0
Darkhan-Uul,2024-02-19,2516.0
Khovd,2024-02-19,2800.0
Orkhon,2024-02-19,2567.0
Umnugovi,2024-02-19,2827.0
Darkhan-Uul,2024-02-26,2516.0
Khovd,2024-02-26,2800.0
Orkhon,2024-02-26,2567.0
Umnugovi,2024-02-26,2827.0
Darkhan-Uul,2024-03-04,2516.0
Khovd,2024-03-04,2800.0
Orkhon,2024-03-04,2567.0
Umnugovi,2024-03-04,2827.0
Darkhan-Uul,2024-03-11,2516.0
Khovd,2024-03-11,2800.0
Orkhon,2024-03-11,2567.0
Umnugovi,2024-03-11,2827.0
Darkhan-Uul,2024-03-18,2516.0
Khovd,2024-03-18,2800.0
Orkhon,2024-03-18,2567.0
Umnugovi,2024-03-18,2827.0
Darkhan-Uul,2024-03-25,2516.0
Khovd,2024-03-25,2800.0
Orkhon,2024-03-25,2567.0
Umnugovi,2024-03-25,2827.0
Darkhan-Uul,2024-04-01,2516.0
Khovd,2024-04-01,2800.0
Orkhon,2024-04-01,2567.0
Umnugovi,2024-04-01,3010.0
Darkhan-Uul,2024-04-08,2516.0
Khovd,2024-04-08,2800.0
Orkhon,2024-04-08,2567.0
Umnugovi,2024-04-08,3010.0
Darkhan-Uul,2024-04-15,2516.0
Khovd,2024-04-15,2800.0
Orkhon,2024-04-15,2567.0
Umnugovi,2024-04-15,3010.0
Darkhan-Uul,2024-04-22,2516.0
Khovd,2024-04-22,2800.0
Orkhon,2024-04-22,2567.0
Umnugovi,2024-04-22,3010.0
Darkhan-Uul,2024-04-29,2516.0
Khovd,2024-04-29,2800.0
Orkhon,2024-04-29,2567.0
Umnugovi,2024-04-29,3010.0
Darkhan-Uul,2024-05-06,2516.0
Khovd,2024-05-06,2800.0
Orkhon,2024-05-06,2567.0
Umnugovi,2024-05-06,2927.0
Darkhan-Uul,2024-05-13,2516.0
Khovd,2024-05-13,2800.0
Orkhon,2024-05-13,2567.0
Umnugovi,2024-05-13,2927.0
Darkhan-Uul,2024-05-20,2516.0
Khovd,2024-05-20,2800.0
Orkhon,2024-05-20,2567.0
Umnugovi,2024-05-20,2927.0
Darkhan-Uul,2024-05-27,2516.0
Khovd,2024-05-27,2800.0
Orkhon,2024-05-27,2567.0
Umnugovi,2024-05-27,2927.0
Darkhan-Uul,2024-06-03,2516.0
Khovd,2024-06-03,2850.0
Orkhon,2024-06-03,2567.0
Umnugovi,2024-06-03,2927.0
Darkhan-Uul,2024-06-10,2516.0
Khovd,2024-06-10,2850.0
Orkhon,2024-06-10,2567.0
Umnugovi,2024-06-10,2927.0
Darkhan-Uul,2024-06-17,2516.0
Khovd,2024-06-17,2850.0
Orkhon,2024-06-17,2567.0
