product,date,price
"Дизелийн түлш, л",2025-12-08,3140.0
"Аи-80 автобензин, л",2025-12-08,2345.0
"Аи-92 автобензин, л",2025-12-08,2590.0
"Аи-80 автобензин, л",2025-12-01,2345.0
"Аи-92 автобензин, л",2025-12-01,2590.0
"Дизелийн түлш, л",2025-12-01,3140.0
"Аи-92 автобензин, л",2025-11-24,2590.0
"Дизелийн түлш, л",2025-11-24,3140.0
"Аи-80 автобензин, л",2025-11-24,2345.0
"Дизелийн түлш, л",2025-11-17,3140.0
"Аи-92 автобензин, л",2025-11-17,2590.0
"Аи-80 автобензин, л",2025-11-17,2345.0
"Аи-80 автобензин, л",2025-11-10,2345.0
"Дизелийн түлш, л",2025-11-10,3038.0
"Аи-92 автобензин, л",2025-11-10,2590.0
"Дизелийн түлш, л",2025-11-03,3014.0
"Аи-92 автобензин, л",2025-11-03,2590.0
"Аи-80 автобензин, л",2025-11-03,2345.0
"Аи-80 автобензин, л",2025-10-27,2345.0
"Дизелийн түлш, л",2025-10-27,3014.0
"Аи-92 автобензин, л",2025-10-27,2590.0
"Аи-92 автобензин, л",2025-10-20,2590.0
"Дизелийн түлш, л",2025-10-20,2940.0
"Аи-80 автобензин, л",2025-10-20,2345.0
"Аи-80 автобензин, л",2025-10-13,2345.0
"Аи-92 автобензин, л",2025-10-13,2590.0
"Дизелийн түлш, л",2025-10-13,2940.0
"Дизелийн түлш, л",2025-10-06,2940.0
"Аи-92 автобензин, л",2025-10-06,2590.0
"Аи-80 автобензин, л",2025-10-06,2345.0
"Дизелийн түлш, л",2025-09-29,2940.0
"Аи-80 автобензин, л",2025-09-29,2345.0
"Аи-92 автобензин, л",2025-09-29,2590.0
"Аи-92 автобензин, л",2025-09-22,2590.0
"Дизелийн түлш, л",2025-09-22,2940.0
"Аи-80 автобензин, л",2025-09-22,2345.0
"Дизелийн түлш, л",2025-09-15,2940.0
"Аи-92 автобензин, л",2025-09-15,2590.0
"Аи-80 автобензин, л",2025-09-15,2345.0
"Аи-92 автобензин, л",2025-09-08,2590.0
"Дизелийн түлш, л",2025-09-08,2940.0
"Аи-80 автобензин, л",2025-09-08,2345.0
"Аи-92 автобензин, л",2025-09-01,2590.0
"Аи-80 автобензин, л",2025-09-01,2345.0
"Дизелийн түлш, л",2025-09-01,2940.0
"Аи-92 автобензин, л",2025-08-25,2590.0
"Дизелийн түлш, л",2025-08-25,2990.0
"Аи-80 автобензин, л",2025-08-25,2345.0
"Аи-92 автобензин, л",2025-08-18,2590.0
"Аи-80 автобензин, л",2025-08-18,2345.0
"Дизелийн түлш, л",2025-08-18,2990.0
"Аи-80 автобензин, л",2025-08-11,2345.0
"Дизелийн түлш, л",2025-08-11,2990.0
"Аи-92 автобензин, л",2025-08-11,2590.0
"Дизелийн түлш, л",2025-08-04,2965.0
"Аи-92 автобензин, л",2025-08-04,2590.0
"Аи-80 автобензин, л",2025-08-04,2345.0
"Дизелийн түлш, л",2025-07-28,2940.0
"Аи-92 автобензин, л",2025-07-28,2590.0
"Аи-80 автобензин, л",2025-07-28,2345.0
"Дизелийн түлш, л",2025-07-21,2940.0
"Аи-80 автобензин, л",2025-07-21,2345.0
"Аи-92 автобензин, л",2025-07-21,2590.0
"Дизелийн түлш, л",2025-07-07,2940.0
"Аи-80 автобензин, л",2025-07-07,2345.0
"Аи-92 автобензин, л",2025-07-07,2590.0
"Дизелийн түлш, л",2025-06-30,2940.0
"Аи-80 автобензин, л",2025-06-30,2345.0
"Аи-92 автобензин, л",2025-06-30,2590.0
"Аи-92 автобензин, л",2025-06-23,2590.0
"Аи-80 автобензин, л",2025-06-23,2345.0
"Дизелийн түлш, л",2025-06-23,2940.0
"Аи-80 автобензин, л",2025-06-16,2345.0
"Аи-92 автобензин, л",2025-06-16,2590.0
"Дизелийн түлш, л",2025-06-16,2940.0
"Дизелийн түлш, л",2025-06-09,2940.0
"Аи-92 автобензин, л",2025-06-09,2590.0
"Аи-80 автобензин, л",2025-06-09,2345.0
"Аи-80 автобензин, л",2025-06-02,2345.0
"Дизелийн түлш, л",2025-06-02,2940.0
"Аи-92 автобензин, л",2025-06-02,2590.0
"Аи-92 автобензин, л",2025-05-26,2590.0
"Дизелийн түлш, л",2025-05-26,2940.0
"Аи-80 автобензин, л",2025-05-26,2345.0
"Дизелийн түлш, л",2025-05-19,3140.0
"Аи-92 автобензин, л",2025-05-19,2390.0
"Аи-80 автобензин, л",2025-05-19,2345.0
"Дизелийн түлш, л",2025-05-12,3140.0
"Аи-80 автобензин, л",2025-05-12,2345.0
"Аи-92 автобензин, л",2025-05-12,2390.0
"Аи-92 автобензин, л",2025-05-05,2390.0
"Дизелийн түлш, л",2025-05-05,3140.0
"Аи-80 автобензин, л",2025-05-05,2345.0
"Аи-92 автобензин, л",2025-04-28,2390.0
"Дизелийн түлш, л",2025-04-28,3140.0
"Аи-80 автобензин, л",2025-04-28,2345.0
"Дизелийн түлш, л",2025-04-21,3140.0
"Аи-80 автобензин, л",2025-04-21,2345.0
"Аи-92 автобензин, л",2025-04-21,2390.0
"Дизелийн түлш, л",2025-04-14,3140.0
"Аи-92 автобензин, л",2025-04-14,2390.0
"Аи-80 автобензин, л",2025-04-14,2345.0
"Аи-80 автобензин, л",2025-04-07,2345.0
"Дизелийн түлш, л",2025-04-07,3140.0
"Аи-92 автобензин, л",2025-04-07,2390.0
"Аи-92 автобензин, л",2025-03-31,2390.0
"Дизелийн түлш, л",2025-03-31,3140.0
