product,date,price
"Ногоон цай, савласан, 90 г",2026-08-31,3989.0
"Ургамлын тос, л",2026-08-31,12285.0
"Элсэн чихэр, кг",2026-08-31,5125.0
"Өндөг, ш",2026-08-31,618.0
"Ногоон цай, савласан, 90 г",2026-08-24,3989.0
"Ургамлын тос, л",2026-08-24,12285.0
"Элсэн чихэр, кг",2026-08-24,5125.0
"Өндөг, ш",2026-08-24,618.0
"Ногоон цай, савласан, 90 г",2026-08-17,3989.0
"Ургамлын тос, л",2026-08-17,12270.0
"Элсэн чихэр, кг",2026-08-17,5125.0
"Өндөг, ш",2026-08-17,618.0
"Ногоон цай, савласан, 90 г",2026-08-10,3989.0
"Ургамлын тос, л",2026-08-10,12191.0
"Элсэн чихэр, кг",2026-08-10,5125.0
"Өндөг, ш",2026-08-10,616.0
"Ногоон цай, савласан, 90 г",2026-08-03,3989.0
"Ургамлын тос, л",2026-08-03,12191.0
"Элсэн чихэр, кг",2026-08-03,5125.0
"Өндөг, ш",2026-08-03,616.0
"Ногоон цай, савласан, 90 г",2026-07-27,3989.0
"Ургамлын тос, л",2026-07-27,12188.0
"Элсэн чихэр, кг",2026-07-27,5125.0
"Өндөг, ш",2026-07-27,616.0
"Ногоон цай, савласан, 90 г",2026-07-20,3989.0
"Ургамлын тос, л",2026-07-20,12188.0
"Элсэн чихэр, кг",2026-07-20,5125.0
"Өндөг, ш",2026-07-20,616.0
"Ногоон цай, савласан, 90 г",2026-07-06,3989.0
"Ургамлын тос, л",2026-07-06,12188.0
"Элсэн чихэр, кг",2026-07-06,5125.0
"Өндөг, ш",2026-07-06,616.0
"Ногоон цай, савласан, 90 г",2026-06-29,3989.0
"Ургамлын тос, л",2026-06-29,12174.0
"Элсэн чихэр, кг",2026-06-29,5125.0
"Өндөг, ш",2026-06-29,616.0
"Ногоон цай, савласан, 90 г",2026-06-22,3989.0
"Ургамлын тос, л",2026-06-22,12174.0
"Элсэн чихэр, кг",2026-06-22,5125.0
"Өндөг, ш",2026-06-22,616.0
"Ногоон цай, савласан, 90 г",2026-06-15,3989.0
"Ургамлын тос, л",2026-06-15,12174.0
"Элсэн чихэр, кг",2026-06-15,5125.0
"Өндөг, ш",2026-06-15,616.0
"Ногоон цай, савласан, 90 г",2026-06-08,3989.0
"Ургамлын тос, л",2026-06-08,12174.0
"Элсэн чихэр, кг",2026-06-08,5125.0
"Өндөг, ш",2026-06-08,616.0
"Ногоон цай, савласан, 90 г",2026-06-02,3982.0
"Ургамлын тос, л",2026-06-02,12270.0
"Элсэн чихэр, кг",2026-06-02,5125.0
"Өндөг, ш",2026-06-02,615.0
"Ногоон цай, савласан, 90 г",2026-05-25,4046.0
"Ургамлын тос, л",2026-05-25,12168.0
"Элсэн чихэр, кг",2026-05-25,5065.0
"Өндөг, ш",2026-05-25,610.0
"Ногоон цай, савласан, 90 г",2026-05-18,4046.0
"Ургамлын тос, л",2026-05-18,12168.0
"Элсэн чихэр, кг",2026-05-18,5065.0
"Өндөг, ш",2026-05-18,610.0
"Ногоон цай, савласан, 90 г",2026-05-11,4046.0
"Ургамлын тос, л",2026-05-11,12137.0
"Элсэн чихэр, кг",2026-05-11,4951.0
"Өндөг, ш",2026-05-11,610.0
"Ногоон цай, савласан, 90 г",2026-05-04,4046.0
"Ургамлын тос, л",2026-05-04,12137.0
"Элсэн чихэр, кг",2026-05-04,4951.0
"Өндөг, ш",2026-05-04,610.0
"Ногоон цай, савласан, 90 г",2026-04-27,4046.0
"Ургамлын тос, л",2026-04-27,12090.0
"Элсэн чихэр, кг",2026-04-27,4951.0
"Өндөг, ш",2026-04-27,608.0
"Ногоон цай, савласан, 90 г",2026-04-20,4038.0
"Ургамлын тос, л",2026-04-20,11921.0
"Элсэн чихэр, кг",2026-04-20,4951.0
"Өндөг, ш",2026-04-20,608.0
"Ногоон цай, савласан, 90 г",2026-04-13,4038.0
"Ургамлын тос, л",2026-04-13,11921.0
"Элсэн чихэр, кг",2026-04-13,4951.0
"Өндөг, ш",2026-04-13,608.0
"Ногоон цай, савласан, 90 г",2026-04-06,4038.0
"Ургамлын тос, л",2026-04-06,11716.0
"Элсэн чихэр, кг",2026-04-06,4951.0
"Өндөг, ш",2026-04-06,612.0
"Ногоон цай, савласан, 90 г",2026-03-30,4038.0
"Ургамлын тос, л",2026-03-30,10844.0
"Элсэн чихэр, кг",2026-03-30,4951.0
"Өндөг, ш",2026-03-30,612.0
"Ногоон цай, савласан, 90 г",2026-03-23,4038.0
"Ургамлын тос, л",2026-03-23,10844.0
"Элсэн чихэр, кг",2026-03-23,4951.0
"Өндөг, ш",2026-03-23,612.0
"Ногоон цай, савласан, 90 г",2026-03-16,4038.0
"Ургамлын тос, л",2026-03-16,10844.0
"Элсэн чихэр, кг",2026-03-16,4951.0
"Өндөг, ш",2026-03-16,612.0
"Ногоон цай, савласан, 90 г",2026-03-09,4038.0
"Ургамлын тос, л",2026-03-09,10844.0
"Элсэн чихэр, кг",2026-03-09,4951.0
"Өндөг, ш",2026-03-09,612.0
"Ногоон цай, савласан, 90 г",2026-03-02,4038.0
"Ургамлын тос, л",2026-03-02,10844.0
"Элсэн чихэр, кг",2026-03-02,4951.0
"Өндөг, ш",2026-03-02,612.0
"Ногоон цай, савласан, 90 г",2026-02-23,4038.0
"Ургамлын тос, л",2026-02-23,10844.0
"Элсэн чихэр, кг",2026-02-23,4951.0
"Өндөг, ш",2026-02-23,612.0
"Ногоон цай, савласан, 90 г",2026-02-09,4038.0
"Ургамлын тос, л",2026-02-09,10844.0
"Элсэн чихэр, кг",2026-02-09,4951.0
"Өндөг, ш",2026-02-09,612.0
"Ногоон цай, савласан, 90 г",2026-02-02,4038.0
"Ургамлын тос, л",2026-02-02,10844.0
"Элсэн чихэр, кг",2026-02-02,4951.0
"Өндөг, ш",2026-02-02,612.0
"Ногоон цай, савласан, 90 г",2026-01-26,4038.0
"Ургамлын тос, л",2026-01-26,10669.0
"Элсэн чихэр, кг",2026-01-26,4951.0
"Өндөг, ш",2026-01-26,612.0
"Ногоон цай, савласан, 90 г",2026-01-19,4038.0
"Ургамлын тос, л",2026-01-19,10669.0
"Элсэн чихэр, кг",2026-01-19,4951.0
"Өндөг, ш",2026-01-19,612.0
"Ногоон цай, савласан, 90 г",2026-01-12,4038.0
"Ургамлын тос, л",2026-01-12,10669.0
"Элсэн чихэр, кг",2026-01-12,4951.0
"Өндөг, ш",2026-01-12,616.0
"Ногоон цай, савласан, 90 г",2026-01-05,4038.0
"Ургамлын тос, л",2026-01-05,10625.0
"Элсэн чихэр, кг",2026-01-05,4951.0
"Өндөг, ш",2026-01-05,614.0
"Ногоон цай, савласан, 90 г",2025-12-30,4038.0
"Ургамлын тос, л",2025-12-30,10625.0
"Элсэн чихэр, кг",2025-12-30,4951.0
"Өндөг, ш",2025-12-30,615.0
"Ногоон цай, савласан, 90 г",2025-12-22,4038.0
"Ургамлын тос, л",2025-12-22,10910.0
"Элсэн чихэр, кг",2025-12-22,4951.0
"Өндөг, ш",2025-12-22,615.0
"Ногоон цай, савласан, 90 г",2025-12-15,4038.0
"Ургамлын тос, л",2025-12-15,10910.0
"Элсэн чихэр, кг",2025-12-15,4951.0
"Өндөг, ш",2025-12-15,615.0
"Ногоон цай, савласан, 90 г",2025-12-08,4038.0
"Ургамлын тос, л",2025-12-08,11080.0
"Элсэн чихэр, кг",2025-12-08,4951.0
"Өндөг, ш",2025-12-08,613.0
"Ногоон цай, савласан, 90 г",2025-12-01,4038.0
"Ургамлын тос, л",2025-12-01,11242.0
"Элсэн чихэр, кг",2025-12-01,4951.0
"Өндөг, ш",2025-12-01,622.0
"Ногоон цай, савласан, 90 г",2025-11-24,4038.0
"Ургамлын тос, л",2025-11-24,11242.0
"Элсэн чихэр, кг",2025-11-24,4951.0
"Өндөг, ш",2025-11-24,614.0
"Ногоон цай, савласан, 90 г",2025-11-17,4038.0
"Ургамлын тос, л",2025-11-17,11242.0
"Элсэн чихэр, кг",2025-11-17,4951.0
"Өндөг, ш",2025-11-17,614.0
"Ногоон цай, савласан, 90 г",2025-11-10,4038.0
"Ургамлын тос, л",2025-11-10,11181.0
"Элсэн чихэр, кг",2025-11-10,4951.0
"Өндөг, ш",2025-11-10,623.0
