бүс,огноо,үнэ
Дархан-Уул,2024-01-02,3367.0
Орхон,2024-01-02,4500.0
Ховд,2024-01-02,5500.0
Өмнөговь,2024-01-02,5000.0
Дархан-Уул,2024-01-08,3767.0
Орхон,2024-01-08,4500.0
Ховд,2024-01-08,5500.0
Өмнөговь,2024-01-08,5000.0
Дархан-Уул,2024-01-15,3767.0
Орхон,2024-01-15,4500.0
Ховд,2024-01-15,5500.0
Өмнөговь,2024-01-15,5000.0
Дархан-Уул,2024-01-22,3833.0
Орхон,2024-01-22,4500.0
Ховд,2024-01-22,5500.0
Өмнөговь,2024-01-22,5000.0
Дархан-Уул,2024-01-29,4000.0
Орхон,2024-01-29,5000.0
Ховд,2024-01-29,5500.0
Өмнөговь,2024-01-29,5000.0
Дархан-Уул,2024-02-05,4000.0
Орхон,2024-02-05,5000.0
Ховд,2024-02-05,5500.0
Өмнөговь,2024-02-05,6000.0
Дархан-Уул,2024-02-19,4000.0
Орхон,2024-02-19,5000.0
Ховд,2024-02-19,5500.0
Өмнөговь,2024-02-19,6000.0
Дархан-Уул,2024-02-26,4000.0
Орхон,2024-02-26,5000.0
Ховд,2024-02-26,5000.0
Өмнөговь,2024-02-26,6000.0
Дархан-Уул,2024-03-04,4000.0
Орхон,2024-03-04,4500.0
Ховд,2024-03-04,5000.0
Өмнөговь,2024-03-04,6000.0
Дархан-Уул,2024-03-11,4000.0
Орхон,2024-03-11,4500.0
Ховд,2024-03-11,5000.0
Өмнөговь,2024-03-11,6000.0
Дархан-Уул,2024-03-18,4000.0
Орхон,2024-03-18,4500.0
Ховд,2024-03-18,5000.0
Өмнөговь,2024-03-18,6000.0
Дархан-Уул,2024-03-25,4000.0
Орхон,2024-03-25,4000.0
Ховд,2024-03-25,5000.0
Өмнөговь,2024-03-25,6000.0
Дархан-Уул,2024-04-01,4000.0
Орхон,2024-04-01,4000.0
Ховд,2024-04-01,5000.0
Өмнөговь,2024-04-01,6000.0
Дархан-Уул,2024-04-08,4000.0
Орхон,2024-04-08,4000.0
Ховд,2024-04-08,5000.0
Өмнөговь,2024-04-08,6000.0
Дархан-Уул,2024-04-15,4000.0
Орхон,2024-04-15,4000.0
Ховд,2024-04-15,5000.0
Өмнөговь,2024-04-15,6000.0
Дархан-Уул,2024-04-22,4000.0
Орхон,2024-04-22,4000.0
Ховд,2024-04-22,5000.0
Өмнөговь,2024-04-22,6000.0
Дархан-Уул,2024-04-29,3833.0
Орхон,2024-04-29,4000.0
Ховд,2024-04-29,4500.0
Өмнөговь,2024-04-29,6000.0
Дархан-Уул,2024-05-06,3500.0
