region,date,price
Arkhangai,2024-01-02,8500.0
Bayan-Ulgii,2024-01-02,10667.0
Bayankhongor,2024-01-02,8500.0
Bulgan,2024-01-02,10000.0
Darkhan-Uul,2024-01-02,11000.0
Dornod,2024-01-02,9655.0
Dornogovi,2024-01-02,9167.0
Dundgovi,2024-01-02,8500.0
Govi-Altai,2024-01-02,8333.0
Govisumber,2024-01-02,9000.0
Khentii,2024-01-02,9500.0
Khovd,2024-01-02,12000.0
Khuvsgul,2024-01-02,11000.0
Orkhon,2024-01-02,10333.0
Selenge,2024-01-02,10000.0
Sukhbaatar,2024-01-02,12000.0
Tuv,2024-01-02,9500.0
Umnugovi,2024-01-02,9250.0
Uvs,2024-01-02,10000.0
Uvurkhangai,2024-01-02,8500.0
Zavkhan,2024-01-02,9000.0
Arkhangai,2024-01-08,8500.0
Bayan-Ulgii,2024-01-08,10667.0
Bayankhongor,2024-01-08,9000.0
Bulgan,2024-01-08,10000.0
Darkhan-Uul,2024-01-08,11500.0
Dornod,2024-01-08,10000.0
Dornogovi,2024-01-08,9167.0
Dundgovi,2024-01-08,9500.0
Govi-Altai,2024-01-08,8500.0
Govisumber,2024-01-08,8500.0
Khentii,2024-01-08,9500.0
Khovd,2024-01-08,12000.0
Khuvsgul,2024-01-08,10000.0
Orkhon,2024-01-08,10833.0
Selenge,2024-01-08,10000.0
Sukhbaatar,2024-01-08,12000.0
Tuv,2024-01-08,9500.0
Umnugovi,2024-01-08,9250.0
Uvs,2024-01-08,8500.0
Uvurkhangai,2024-01-08,9167.0
Zavkhan,2024-01-08,9000.0
Arkhangai,2024-01-15,9167.0
Bayan-Ulgii,2024-01-15,11000.0
Bayankhongor,2024-01-15,9500.0
Bulgan,2024-01-15,10000.0
Darkhan-Uul,2024-01-15,11833.0
Dornod,2024-01-15,10000.0
Dornogovi,2024-01-15,9333.0
Dundgovi,2024-01-15,9500.0
Govi-Altai,2024-01-15,8500.0
Govisumber,2024-01-15,8500.0
Khentii,2024-01-15,9500.0
Khovd,2024-01-15,13000.0
Khuvsgul,2024-01-15,10000.0
Orkhon,2024-01-15,10833.0
Selenge,2024-01-15,10500.0
Sukhbaatar,2024-01-15,12000.0
Tuv,2024-01-15,9500.0
Umnugovi,2024-01-15,10000.0
Uvs,2024-01-15,8500.0
Uvurkhangai,2024-01-15,9333.0
Zavkhan,2024-01-15,9000.0
Arkhangai,2024-01-22,9167.0
Bayan-Ulgii,2024-01-22,11000.0
Bayankhongor,2024-01-22,9500.0
Bulgan,2024-01-22,10000.0
Darkhan-Uul,2024-01-22,12167.0
Dornod,2024-01-22,12000.0
Dornogovi,2024-01-22,9333.0
Dundgovi,2024-01-22,9747.0
Govi-Altai,2024-01-22,8500.0
Govisumber,2024-01-22,8500.0
Khentii,2024-01-22,10000.0
Khovd,2024-01-22,13000.0
Khuvsgul,2024-01-22,10000.0
Orkhon,2024-01-22,11000.0
Selenge,2024-01-22,10500.0
Sukhbaatar,2024-01-22,12000.0
Tuv,2024-01-22,9800.0
Umnugovi,2024-01-22,10000.0
Uvs,2024-01-22,8500.0
Uvurkhangai,2024-01-22,9500.0
Zavkhan,2024-01-22,9000.0
Arkhangai,2024-01-29,9167.0
Bayan-Ulgii,2024-01-29,11000.0
Bayankhongor,2024-01-29,10000.0
Bulgan,2024-01-29,10000.0
Darkhan-Uul,2024-01-29,12333.0
Dornod,2024-01-29,11324.0
Dornogovi,2024-01-29,9600.0
Dundgovi,2024-01-29,9747.0
Govi-Altai,2024-01-29,9000.0
Govisumber,2024-01-29,8500.0
Khentii,2024-01-29,10000.0
Khovd,2024-01-29,13000.0
Khuvsgul,2024-01-29,10000.0
Orkhon,2024-01-29,11333.0
Selenge,2024-01-29,10500.0
Sukhbaatar,2024-01-29,12000.0
Tuv,2024-01-29,9800.0
Umnugovi,2024-01-29,11000.0
Uvs,2024-01-29,8833.0
Uvurkhangai,2024-01-29,9500.0
Zavkhan,2024-01-29,9000.0
Arkhangai,2024-02-05,9167.0
Bayan-Ulgii,2024-02-05,11000.0
Bayankhongor,2024-02-05,11000.0
Bulgan,2024-02-05,10000.0
Darkhan-Uul,2024-02-05,12833.0
Dornod,2024-02-05,11324.0
Dornogovi,2024-02-05,9833.0
Dundgovi,2024-02-05,11000.0
Govi-Altai,2024-02-05,9000.0
Govisumber,2024-02-05,8500.0
Khentii,2024-02-05,12000.0
Khovd,2024-02-05,13000.0
Khuvsgul,2024-02-05,10000.0
Orkhon,2024-02-05,12167.0
Selenge,2024-02-05,11000.0
Sukhbaatar,2024-02-05,12000.0
Tuv,2024-02-05,12000.0
Umnugovi,2024-02-05,11000.0
Uvs,2024-02-05,9666.0
Uvurkhangai,2024-02-05,10333.0
Zavkhan,2024-02-05,8500.0
Arkhangai,2024-02-19,9000.0
Bayan-Ulgii,2024-02-19,11500.0
Bayankhongor,2024-02-19,11000.0
Bulgan,2024-02-19,10000.0
Darkhan-Uul,2024-02-19,12833.0
Dornod,2024-02-19,11657.0
Dornogovi,2024-02-19,9833.0
Dundgovi,2024-02-19,9747.0
Govi-Altai,2024-02-19,9000.0
Govisumber,2024-02-19,8500.0
Khentii,2024-02-19,12000.0
Khovd,2024-02-19,14000.0
Khuvsgul,2024-02-19,11000.0
Orkhon,2024-02-19,12000.0
Selenge,2024-02-19,11000.0
Sukhbaatar,2024-02-19,12000.0
Tuv,2024-02-19,12000.0
Umnugovi,2024-02-19,12000.0
Uvs,2024-02-19,10000.0
Uvurkhangai,2024-02-19,12000.0
Zavkhan,2024-02-19,8000.0
Arkhangai,2024-02-26,9500.0
Bayan-Ulgii,2024-02-26,12000.0
Bayankhongor,2024-02-26,11000.0
Bulgan,2024-02-26,10000.0
Darkhan-Uul,2024-02-26,12667.0
Dornod,2024-02-26,12000.0
Dornogovi,2024-02-26,9833.0
Dundgovi,2024-02-26,8500.0
Govi-Altai,2024-02-26,9000.0
Govisumber,2024-02-26,8500.0
Khentii,2024-02-26,12000.0
Khovd,2024-02-26,14000.0
Khuvsgul,2024-02-26,11000.0
Orkhon,2024-02-26,12167.0
Selenge,2024-02-26,11000.0
Sukhbaatar,2024-02-26,12000.0
Tuv,2024-02-26,12000.0
Umnugovi,2024-02-26,12000.0
Uvs,2024-02-26,8333.0
Uvurkhangai,2024-02-26,12000.0
Zavkhan,2024-02-26,8000.0
Arkhangai,2024-03-04,9500.0
Bayan-Ulgii,2024-03-04,11667.0
Bayankhongor,2024-03-04,11000.0
Bulgan,2024-03-04,10000.0
Darkhan-Uul,2024-03-04,13667.0
Dornod,2024-03-04,12000.0
Dornogovi,2024-03-04,9833.0
Dundgovi,2024-03-04,9487.0
Govi-Altai,2024-03-04,9833.0
Govisumber,2024-03-04,8500.0
Khentii,2024-03-04,12000.0
Khovd,2024-03-04,14000.0
Khuvsgul,2024-03-04,11000.0
Orkhon,2024-03-04,13833.0
Selenge,2024-03-04,11000.0
Sukhbaatar,2024-03-04,12000.0
Tuv,2024-03-04,12750.0
Umnugovi,2024-03-04,12500.0
Uvs,2024-03-04,8333.0
Uvurkhangai,2024-03-04,12667.0
Zavkhan,2024-03-04,8500.0
Arkhangai,2024-03-11,9667.0
Bayan-Ulgii,2024-03-11,11667.0
Bayankhongor,2024-03-11,12000.0
Bulgan,2024-03-11,10000.0
Darkhan-Uul,2024-03-11,12833.0
Dornod,2024-03-11,12000.0
Dornogovi,2024-03-11,9833.0
Dundgovi,2024-03-11,10488.0
Govi-Altai,2024-03-11,10000.0
Govisumber,2024-03-11,8500.0
Khentii,2024-03-11,12000.0
Khovd,2024-03-11,13000.0
Khuvsgul,2024-03-11,11000.0
Orkhon,2024-03-11,12833.0
Selenge,2024-03-11,11500.0
Sukhbaatar,2024-03-11,12000.0
Tuv,2024-03-11,12750.0
Umnugovi,2024-03-11,12500.0
Uvs,2024-03-11,9000.0
Uvurkhangai,2024-03-11,12667.0
Zavkhan,2024-03-11,8500.0
Arkhangai,2024-03-18,10000.0
Bayan-Ulgii,2024-03-18,12667.0
Bayankhongor,2024-03-18,12000.0
Bulgan,2024-03-18,10000.0
Darkhan-Uul,2024-03-18,13000.0
Dornod,2024-03-18,12000.0
Dornogovi,2024-03-18,10000.0
Dundgovi,2024-03-18,12825.0
Govi-Altai,2024-03-18,11000.0
Govisumber,2024-03-18,9000.0
Khentii,2024-03-18,12500.0
Khovd,2024-03-18,14000.0
Khuvsgul,2024-03-18,12000.0
Orkhon,2024-03-18,13833.0
Selenge,2024-03-18,11500.0
Sukhbaatar,2024-03-18,12000.0
Tuv,2024-03-18,13000.0
Umnugovi,2024-03-18,14500.0
Uvs,2024-03-18,10000.0
Uvurkhangai,2024-03-18,13000.0
Zavkhan,2024-03-18,10000.0
Arkhangai,2024-03-25,10333.0
Bayan-Ulgii,2024-03-25,12667.0
Bayankhongor,2024-03-25,12000.0
Bulgan,2024-03-25,10000.0
Darkhan-Uul,2024-03-25,14000.0
Dornod,2024-03-25,12000.0
Dornogovi,2024-03-25,10000.0
Dundgovi,2024-03-25,13248.0
Govi-Altai,2024-03-25,15000.0
Govisumber,2024-03-25,9000.0
Khentii,2024-03-25,13000.0
Khovd,2024-03-25,16000.0
Khuvsgul,2024-03-25,12000.0
Orkhon,2024-03-25,13833.0
Selenge,2024-03-25,11500.0
Sukhbaatar,2024-03-25,12000.0
Tuv,2024-03-25,13000.0
Umnugovi,2024-03-25,14500.0
Uvs,2024-03-25,10000.0
Uvurkhangai,2024-03-25,13500.0
Zavkhan,2024-03-25,10000.0
Arkhangai,2024-04-01,11167.0
Bayan-Ulgii,2024-04-01,13000.0
Bayankhongor,2024-04-01,12000.0
Bulgan,2024-04-01,10000.0
Darkhan-Uul,2024-04-01,13500.0
Dornod,2024-04-01,12000.0
Dornogovi,2024-04-01,11667.0
Dundgovi,2024-04-01,13500.0
Govi-Altai,2024-04-01,15000.0
Govisumber,2024-04-01,9000.0
Khentii,2024-04-01,13000.0
Khovd,2024-04-01,16000.0
Khuvsgul,2024-04-01,12000.0
Orkhon,2024-04-01,14000.0
Selenge,2024-04-01,11500.0
Sukhbaatar,2024-04-01,12000.0
Tuv,2024-04-01,13000.0
Umnugovi,2024-04-01,14500.0
Uvs,2024-04-01,10333.0
Uvurkhangai,2024-04-01,13667.0
Zavkhan,2024-04-01,10000.0
Arkhangai,2024-04-08,12333.0
Bayan-Ulgii,2024-04-08,13000.0
Bayankhongor,2024-04-08,12000.0
Bulgan,2024-04-08,10000.0
Darkhan-Uul,2024-04-08,13833.0
Dornod,2024-04-08,12000.0
Dornogovi,2024-04-08,12500.0
Dundgovi,2024-04-08,14000.0
Govi-Altai,2024-04-08,14667.0
Govisumber,2024-04-08,10000.0
Khentii,2024-04-08,13000.0
Khovd,2024-04-08,16000.0
Khuvsgul,2024-04-08,13000.0
Orkhon,2024-04-08,13167.0
Selenge,2024-04-08,11500.0
Sukhbaatar,2024-04-08,13000.0
Tuv,2024-04-08,13000.0
Umnugovi,2024-04-08,15000.0
Uvs,2024-04-08,11666.0
Uvurkhangai,2024-04-08,14000.0
Zavkhan,2024-04-08,10000.0
Arkhangai,2024-04-15,12000.0
Bayan-Ulgii,2024-04-15,13000.0
Bayankhongor,2024-04-15,14000.0
Bulgan,2024-04-15,10000.0
Darkhan-Uul,2024-04-15,14333.0
Dornod,2024-04-15,12000.0
Dornogovi,2024-04-15,12500.0
Dundgovi,2024-04-15,14500.0
Govi-Altai,2024-04-15,14000.0
Govisumber,2024-04-15,10000.0
Khentii,2024-04-15,13000.0
Khovd,2024-04-15,16000.0
Khuvsgul,2024-04-15,14000.0
Orkhon,2024-04-15,13333.0
Selenge,2024-04-15,11500.0
Sukhbaatar,2024-04-15,15000.0
Tuv,2024-04-15,13500.0
Umnugovi,2024-04-15,16000.0
Uvs,2024-04-15,11666.0
Uvurkhangai,2024-04-15,13667.0
Zavkhan,2024-04-15,10000.0
Arkhangai,2024-04-22,12000.0
Bayan-Ulgii,2024-04-22,13333.0
Bayankhongor,2024-04-22,15000.0
Bulgan,2024-04-22,10000.0
Darkhan-Uul,2024-04-22,14500.0
Dornod,2024-04-22,12658.0
Dornogovi,2024-04-22,13000.0
Dundgovi,2024-04-22,14500.0
