date,product_region,price
2020-01,"Wheat bran, 25kg — Arkhangai",16500.0
2020-01,"Wheat bran, 25kg — Bayan-Ulgii",15000.0
2020-01,"Wheat bran, 25kg — Bayankhongor",16600.0
2020-01,"Wheat bran, 25kg — Bulgan",13600.0
2020-01,"Wheat bran, 25kg — Dornogovi",14600.0
2020-01,"Wheat bran, 25kg — Dundgovi",16000.0
2020-01,"Wheat bran, 25kg — Govi-Altai",16000.0
2020-01,"Wheat bran, 25kg — Govisumber",13000.0
2020-01,"Wheat bran, 25kg — Khovd",13000.0
2020-01,"Wheat bran, 25kg — Khuvsgul",14500.0
2020-01,"Wheat bran, 25kg — Orkhon",12000.0
2020-01,"Wheat bran, 25kg — Selenge",11500.0
2020-01,"Wheat bran, 25kg — Sukhbaatar",15000.0
2020-01,"Wheat bran, 25kg — Tuv",14600.0
2020-01,"Wheat bran, 25kg — Umnugovi",15900.0
2020-01,"Wheat bran, 25kg — Uvs",13300.0
2020-01,"Wheat bran, 25kg — Uvurkhangai",14300.0
2020-01,"Wheat bran, 25kg — Zavkhan",15100.0
2020-01,"Wheat bran, 50kg — Arkhangai",21600.0
2020-01,"Wheat bran, 50kg — Bayan-Ulgii",28400.0
2020-01,"Wheat bran, 50kg — Bayankhongor",12800.0
2020-01,"Wheat bran, 50kg — Dundgovi",28000.0
2020-01,"Wheat bran, 50kg — Govi-Altai",31000.0
2020-01,"Wheat bran, 50kg — Govisumber",26000.0
2020-01,"Wheat bran, 50kg — Khovd",16500.0
2020-01,"Wheat bran, 50kg — Khuvsgul",28500.0
2020-01,"Wheat bran, 50kg — Orkhon",24000.0
2020-01,"Wheat bran, 50kg — Selenge",26000.0
2020-01,"Wheat bran, 50kg — Sukhbaatar",18000.0
2020-01,"Wheat bran, 50kg — Tuv",27000.0
2020-01,"Wheat bran, 50kg — Umnugovi",30000.0
2020-01,"Wheat bran, 50kg — Uvurkhangai",20200.0
2020-01,"Wheat bran, 50kg — Zavkhan",35000.0
2020-02,"Wheat bran, 25kg — Arkhangai",15333.0
2020-02,"Wheat bran, 25kg — Bayan-Ulgii",15000.0
2020-02,"Wheat bran, 25kg — Bayankhongor",16222.0
