date,product_region,price
2018-12,Wheat seed — Bulgan,667000.0
2018-12,Wheat seed — Dornod,500000.0
2018-12,Wheat seed — Orkhon,760000.0
2018-12,Wheat seed — Selenge,560000.0
2018-12,Wheat seed — Tuv,602500.0
2018-12,Wheat seed — Uvurkhangai,400000.0
2018-12,Wheat seed — Zavkhan,760000.0
2018-12,Wheat — Arkhangai,550000.0
2018-12,Wheat — Bulgan,527000.0
2018-12,Wheat — Dornod,550000.0
2018-12,Wheat — Orkhon,560000.0
2018-12,Wheat — Selenge,530000.0
2018-12,Wheat — Tuv,562000.0
2018-12,Wheat — Uvs,500000.0
2018-12,Wheat — Uvurkhangai,600000.0
2019-01,Wheat seed — Bulgan,650000.0
2019-01,Wheat seed — Dornod,550000.0
2019-01,Wheat seed — Orkhon,760000.0
2019-01,Wheat seed — Tuv,543000.0
2019-01,Wheat seed — Uvs,700000.0
2019-01,Wheat — Arkhangai,500000.0
2019-01,Wheat — Bulgan,530000.0
2019-01,Wheat — Dornod,600000.0
2019-01,Wheat — Orkhon,560000.0
2019-01,Wheat — Selenge,500000.0
2019-01,Wheat — Tuv,570000.0
2019-01,Wheat — Uvs,600000.0
2019-01,Wheat — Uvurkhangai,450000.0
2019-02,Wheat seed — Orkhon,760000.0
2019-02,Wheat seed — Tuv,625000.0
2019-02,Wheat seed — Uvs,600000.0
2019-02,Wheat — Arkhangai,500000.0
2019-02,Wheat — Bulgan,500000.0
2019-02,Wheat — Orkhon,560000.0
2019-02,Wheat — Selenge,500000.0
2019-02,Wheat — Tuv,600000.0
2019-02,Wheat — Uvs,500000.0
2019-02,Wheat — Zavkhan,600000.0
2019-03,Wheat seed — Orkhon,760000.0
2019-03,Wheat seed — Tuv,604000.0
2019-03,Wheat seed — Uvs,600000.0
2019-03,Wheat seed — Zavkhan,500000.0
2019-03,Wheat — Bulgan,450000.0
2019-03,Wheat — Orkhon,560000.0
2019-03,Wheat — Selenge,500000.0
2019-03,Wheat — Tuv,582000.0
2019-03,Wheat — Uvs,500000.0
2019-03,Wheat — Zavkhan,600000.0
2019-04,Wheat seed — Bulgan,650000.0
2019-04,Wheat seed — Orkhon,820000.0
2019-04,Wheat seed — Tuv,655000.0
2019-04,Wheat seed — Uvs,650000.0
2019-04,Wheat — Bulgan,515000.0
2019-04,Wheat — Orkhon,560000.0
2019-04,Wheat — Selenge,500000.0
2019-04,Wheat — Tuv,567000.0
2019-05,Wheat seed — Bulgan,675000.0
2019-05,Wheat seed — Orkhon,800000.0
2019-05,Wheat seed — Selenge,800000.0
2019-05,Wheat seed — Tuv,776000.0
2019-05,Wheat seed — Uvs,800000.0
2019-05,Wheat — Bulgan,530000.0
2019-05,Wheat — Orkhon,560000.0
2019-05,Wheat — Selenge,533000.0
2019-05,Wheat — Tuv,577500.0
2019-06,Wheat seed — Bulgan,650000.0
2019-06,Wheat seed — Orkhon,830000.0
2019-06,Wheat seed — Tuv,765000.0
2019-06,Wheat seed — Uvurkhangai,800000.0
2019-06,Wheat — Bulgan,540000.0
2019-06,Wheat — Orkhon,560000.0
2019-06,Wheat — Selenge,500000.0
2019-06,Wheat — Tuv,583000.0
2019-07,Wheat seed — Bulgan,650000.0
2019-07,Wheat seed — Orkhon,830000.0
2019-07,Wheat seed — Tuv,750000.0
2019-07,Wheat — Bulgan,530000.0
2019-07,Wheat — Orkhon,560000.0
2019-07,Wheat — Selenge,500000.0
2019-07,Wheat — Tuv,550000.0
2019-08,Wheat seed — Bulgan,650000.0
2019-08,Wheat seed — Orkhon,830000.0
2019-08,Wheat — Bulgan,530000.0
2019-08,Wheat — Orkhon,560000.0
2019-08,Wheat — Selenge,500000.0
2019-08,Wheat — Tuv,530000.0
2019-09,Wheat seed — Arkhangai,730000.0
2019-09,Wheat seed — Orkhon,830000.0
2019-09,Wheat seed — Selenge,600000.0
2019-09,Wheat seed — Tuv,687000.0
2019-09,Wheat — Arkhangai,450000.0
2019-09,Wheat — Orkhon,560000.0
2019-09,Wheat — Selenge,540000.0
2019-09,Wheat — Tuv,560000.0
2019-09,Wheat — Uvs,500000.0
2019-10,Wheat seed — Arkhangai,730000.0
2019-10,Wheat seed — Orkhon,830000.0
2019-10,Wheat seed — Selenge,650000.0
2019-10,Wheat seed — Tuv,632500.0
2019-10,Wheat seed — Uvs,750000.0
2019-10,Wheat — Arkhangai,450000.0
2019-10,Wheat — Orkhon,560000.0
2019-10,Wheat — Selenge,545000.0
2019-10,Wheat — Tuv,565000.0
2019-10,Wheat — Uvs,360000.0
2019-11,Wheat seed — Arkhangai,730000.0
2019-11,Wheat seed — Bulgan,625000.0
2019-11,Wheat seed — Orkhon,830000.0
2019-11,Wheat seed — Selenge,700000.0
2019-11,Wheat seed — Tuv,516250.0
2019-11,Wheat seed — Uvs,800000.0
2019-11,Wheat seed — Zavkhan,450000.0
2019-11,Wheat — Arkhangai,450000.0
2019-11,Wheat — Bulgan,566667.0
2019-11,Wheat — Orkhon,560000.0
2019-11,Wheat — Selenge,543333.0
2019-11,Wheat — Tuv,640000.0
2019-11,Wheat — Uvs,655000.0
2019-12,Wheat seed — Arkhangai,730000.0
2019-12,Wheat seed — Bulgan,650000.0
2019-12,Wheat seed — Orkhon,830000.0
2019-12,Wheat seed — Selenge,650000.0
2019-12,Wheat seed — Tuv,588333.0
2019-12,Wheat seed — Uvs,600000.0
2019-12,Wheat seed — Zavkhan,550000.0
2019-12,Wheat — Arkhangai,450000.0
2019-12,Wheat — Bulgan,625000.0
2019-12,Wheat — Orkhon,560000.0
2019-12,Wheat — Selenge,584000.0
2019-12,Wheat — Tuv,580000.0
2019-12,Wheat — Uvs,575000.0
2019-12,Wheat — Zavkhan,600000.0
2020-01,Wheat seed — Arkhangai,780000.0
2020-01,Wheat seed — Bulgan,700000.0
2020-01,Wheat seed — Dornod,500000.0
2020-01,Wheat seed — Govi-Altai,1200000.0
2020-01,Wheat seed — Orkhon,820000.0
2020-01,Wheat seed — Selenge,560000.0
2020-01,Wheat seed — Tuv,676667.0
2020-01,Wheat — Arkhangai,450000.0
2020-01,Wheat — Bulgan,625000.0
2020-01,Wheat — Dornod,600000.0
2020-01,Wheat — Orkhon,600000.0
2020-01,Wheat — Selenge,560000.0
2020-01,Wheat — Tuv,570000.0
2020-01,Wheat — Uvs,500000.0
2020-01,Wheat — Zavkhan,600000.0
2020-02,Wheat seed — Arkhangai,780000.0
2020-02,Wheat seed — Bulgan,850000.0
2020-02,Wheat seed — Dornod,500000.0
2020-02,Wheat seed — Orkhon,800000.0
2020-02,Wheat seed — Tuv,666667.0
2020-02,Wheat — Arkhangai,450000.0
2020-02,Wheat — Bulgan,650000.0
2020-02,Wheat — Dornod,600000.0
2020-02,Wheat — Orkhon,600000.0
2020-02,Wheat — Selenge,550000.0
2020-02,Wheat — Tuv,566667.0
2020-02,Wheat — Uvs,500000.0
2020-02,Wheat — Zavkhan,600000.0
2020-03,Wheat seed — Arkhangai,780000.0
2020-03,Wheat seed — Bulgan,850000.0
2020-03,Wheat seed — Dornod,500000.0
2020-03,Wheat seed — Orkhon,850000.0
2020-03,Wheat seed — Tuv,670000.0
2020-03,Wheat — Arkhangai,450000.0
2020-03,Wheat — Bulgan,650000.0
2020-03,Wheat — Dornod,600000.0
2020-03,Wheat — Orkhon,700000.0
2020-03,Wheat — Selenge,550000.0
2020-03,Wheat — Tuv,566667.0
2020-03,Wheat — Uvs,500000.0
2020-03,Wheat — Zavkhan,600000.0
2020-04,Wheat seed — Arkhangai,850000.0
2020-04,Wheat seed — Bulgan,900000.0
2020-04,Wheat seed — Dornod,950000.0
2020-04,Wheat seed — Khentii,550000.0
2020-04,Wheat seed — Orkhon,750000.0
2020-04,Wheat seed — Tuv,782000.0
2020-04,Wheat seed — Uvs,625000.0
2020-04,Wheat — Arkhangai,450000.0
2020-04,Wheat — Bulgan,650000.0
2020-04,Wheat — Dornod,600000.0
2020-04,Wheat — Khentii,550000.0
2020-04,Wheat — Orkhon,700000.0
2020-04,Wheat — Selenge,550000.0
2020-04,Wheat — Tuv,525000.0
2020-04,Wheat — Uvurkhangai,800000.0
2020-04,Wheat — Zavkhan,600000.0
2020-05,Wheat seed — Arkhangai,900000.0
2020-05,Wheat seed — Bulgan,912500.0
2020-05,Wheat seed — Dornod,950000.0
2020-05,Wheat seed — Khentii,550000.0
2020-05,Wheat seed — Orkhon,750000.0
2020-05,Wheat seed — Selenge,842500.0
2020-05,Wheat seed — Tuv,816000.0
2020-05,Wheat seed — Uvs,675000.0
2020-05,Wheat — Arkhangai,450000.0
2020-05,Wheat — Bulgan,650000.0
2020-05,Wheat — Dornod,600000.0
2020-05,Wheat — Khentii,550000.0
2020-05,Wheat — Orkhon,690000.0
2020-05,Wheat — Selenge,600000.0
2020-05,Wheat — Tuv,690000.0
2020-05,Wheat — Uvs,800000.0
2020-05,Wheat — Zavkhan,600000.0
2020-06,Wheat seed — Bulgan,875000.0
2020-06,Wheat seed — Dornod,950000.0
2020-06,Wheat seed — Khentii,550000.0
2020-06,Wheat seed — Orkhon,800000.0
2020-06,Wheat seed — Tuv,926667.0
2020-06,Wheat — Bulgan,650000.0
2020-06,Wheat — Dornod,600000.0
2020-06,Wheat — Khentii,550000.0
2020-06,Wheat — Orkhon,600000.0
2020-06,Wheat — Selenge,550000.0
2020-06,Wheat — Tuv,780000.0
2020-07,Wheat seed — Dornod,950000.0
2020-07,Wheat seed — Khentii,550000.0
2020-07,Wheat seed — Orkhon,800000.0
2020-07,Wheat seed — Tuv,965000.0
2020-07,Wheat — Dornod,600000.0
2020-07,Wheat — Khentii,550000.0
2020-07,Wheat — Orkhon,600000.0
2020-07,Wheat — Selenge,550000.0
2020-07,Wheat — Tuv,780000.0
2020-08,Wheat seed — Bulgan,850000.0
2020-08,Wheat seed — Dornod,950000.0
2020-08,Wheat seed — Khentii,550000.0
2020-08,Wheat seed — Orkhon,800000.0
2020-08,Wheat seed — Tuv,890000.0
2020-08,Wheat — Bulgan,600000.0
2020-08,Wheat — Dornod,600000.0
2020-08,Wheat — Khentii,550000.0
2020-08,Wheat — Orkhon,600000.0
2020-08,Wheat — Selenge,550000.0
2020-08,Wheat — Tuv,640000.0
2020-09,Wheat seed — Bulgan,700000.0
2020-09,Wheat seed — Dornod,950000.0
2020-09,Wheat seed — Orkhon,800000.0
2020-09,Wheat seed — Tuv,890000.0
2020-09,Wheat — Bulgan,525000.0
2020-09,Wheat — Dornod,600000.0
2020-09,Wheat — Orkhon,600000.0
2020-09,Wheat — Selenge,550000.0
2020-09,Wheat — Tuv,643333.0
2020-10,Wheat seed — Bulgan,773333.0
2020-10,Wheat seed — Dornod,950000.0
2020-10,Wheat seed — Orkhon,800000.0
2020-10,Wheat seed — Selenge,683333.0
2020-10,Wheat seed — Tuv,807500.0
2020-10,Wheat seed — Zavkhan,675000.0
2020-10,Wheat — Arkhangai,700000.0
2020-10,Wheat — Bulgan,556667.0
2020-10,Wheat — Dornod,600000.0
2020-10,Wheat — Orkhon,600000.0
2020-10,Wheat — Selenge,565000.0
2020-10,Wheat — Tuv,606000.0
2020-10,Wheat — Zavkhan,500000.0
2020-11,Wheat seed — Bulgan,823333.0
2020-11,Wheat seed — Orkhon,800000.0
2020-11,Wheat seed — Tuv,912000.0
2020-11,Wheat seed — Uvs,600000.0
2020-11,Wheat seed — Zavkhan,675000.0
2020-11,Wheat — Arkhangai,850000.0
2020-11,Wheat — Bulgan,653333.0
2020-11,Wheat — Dornod,5833.0
2020-11,Wheat — Orkhon,700000.0
2020-11,Wheat — Selenge,575000.0
2020-11,Wheat — Sukhbaatar,7000.0
2020-11,Wheat — Tuv,734000.0
2020-11,Wheat — Zavkhan,500000.0
2020-12,Wheat seed — Bulgan,775000.0
2020-12,Wheat seed — Dornod,900000.0
2020-12,Wheat seed — Orkhon,830000.0
2020-12,Wheat seed — Tuv,920000.0
2020-12,Wheat seed — Uvs,800000.0
