product,region,date,price
Таваарын буудай,Архангай,2018-12,550000.0
Таваарын буудай,Булган,2018-12,527000.0
Үрийн буудай,Булган,2018-12,667000.0
Таваарын буудай,Дорнод,2018-12,550000.0
Үрийн буудай,Дорнод,2018-12,500000.0
Таваарын буудай,Орхон,2018-12,560000.0
Үрийн буудай,Орхон,2018-12,760000.0
Таваарын буудай,Сэлэнгэ,2018-12,530000.0
Үрийн буудай,Сэлэнгэ,2018-12,560000.0
Таваарын буудай,Төв,2018-12,562000.0
Үрийн буудай,Төв,2018-12,602500.0
Таваарын буудай,Увс,2018-12,500000.0
Таваарын буудай,Өвөрхангай,2018-12,600000.0
Үрийн буудай,Өвөрхангай,2018-12,400000.0
Үрийн буудай,Завхан,2018-12,760000.0
Таваарын буудай,Архангай,2019-01,500000.0
Таваарын буудай,Булган,2019-01,530000.0
Үрийн буудай,Булган,2019-01,650000.0
Таваарын буудай,Дорнод,2019-01,600000.0
Үрийн буудай,Дорнод,2019-01,550000.0
Таваарын буудай,Орхон,2019-01,560000.0
Үрийн буудай,Орхон,2019-01,760000.0
Таваарын буудай,Сэлэнгэ,2019-01,500000.0
Таваарын буудай,Төв,2019-01,570000.0
Үрийн буудай,Төв,2019-01,543000.0
Таваарын буудай,Увс,2019-01,600000.0
Үрийн буудай,Увс,2019-01,700000.0
Таваарын буудай,Өвөрхангай,2019-01,450000.0
Таваарын буудай,Архангай,2019-02,500000.0
Таваарын буудай,Булган,2019-02,500000.0
Таваарын буудай,Орхон,2019-02,560000.0
Үрийн буудай,Орхон,2019-02,760000.0
Таваарын буудай,Сэлэнгэ,2019-02,500000.0
Таваарын буудай,Төв,2019-02,600000.0
Үрийн буудай,Төв,2019-02,625000.0
Таваарын буудай,Увс,2019-02,500000.0
Үрийн буудай,Увс,2019-02,600000.0
Таваарын буудай,Завхан,2019-02,600000.0
Таваарын буудай,Булган,2019-03,450000.0
Таваарын буудай,Орхон,2019-03,560000.0
Үрийн буудай,Орхон,2019-03,760000.0
Таваарын буудай,Сэлэнгэ,2019-03,500000.0
Таваарын буудай,Төв,2019-03,582000.0
Үрийн буудай,Төв,2019-03,604000.0
Таваарын буудай,Увс,2019-03,500000.0
Үрийн буудай,Увс,2019-03,600000.0
