Малын төрөл,Бүс,Он,value
Бүгд,Улсын дүн,2024,57649.7
Бүгд,Улсын дүн,2023,64681.9
Бүгд,Улсын дүн,2022,71121.5
Бүгд,Улсын дүн,2021,67343.8
Бүгд,Улсын дүн,2020,67068.5
Бүгд,Улсын дүн,2019,70969.3
Бүгд,Улсын дүн,2018,66460.2
Бүгд,Улсын дүн,2017,66219.0
Бүгд,Улсын дүн,2016,61549.2
Бүгд,Улсын дүн,2015,55979.8
Бүгд,Улсын дүн,2014,51982.6
Бүгд,Улсын дүн,2013,45144.3
Бүгд,Улсын дүн,2012,40920.9
Бүгд,Улсын дүн,2011,36335.8
Бүгд,Улсын дүн,2010,32729.5
Бүгд,Улсын дүн,2009,43981.0
Бүгд,Улсын дүн,2008,43288.5
Бүгд,Улсын дүн,2007,40263.9
Бүгд,Улсын дүн,2006,34803.0
Бүгд,Улсын дүн,2005,30398.8
Бүгд,Улсын дүн,2004,28028.0
Бүгд,Улсын дүн,2003,25427.7
Бүгд,Улсын дүн,2002,23897.6
Бүгд,Улсын дүн,2001,26075.4
Бүгд,Улсын дүн,2000,30227.5
Бүгд,Улсын дүн,1999,33568.9
Бүгд,Улсын дүн,1998,32897.5
Бүгд,Улсын дүн,1997,31292.3
Бүгд,Улсын дүн,1996,29300.1
Бүгд,Улсын дүн,1995,28572.3
Бүгд,Улсын дүн,1994,26778.4
Бүгд,Улсын дүн,1993,24688.3
Бүгд,Улсын дүн,1992,25694.1
Бүгд,Улсын дүн,1991,25527.9
Бүгд,Улсын дүн,1990,25856.9
Бүгд,Улсын дүн,1989,24674.9
Бүгд,Улсын дүн,1988,23122.3
Бүгд,Улсын дүн,1987,22741.1
Бүгд,Улсын дүн,1986,22590.5
Бүгд,Улсын дүн,1985,22485.5
Бүгд,Улсын дүн,1984,22591.9
Бүгд,Улсын дүн,1983,23570.3
Бүгд,Улсын дүн,1982,24764.7
Бүгд,Улсын дүн,1981,24263.1
Бүгд,Улсын дүн,1980,23771.5
Бүгд,Улсын дүн,1979,24201.2
Бүгд,Улсын дүн,1978,24025.7
Бүгд,Улсын дүн,1977,22942.1
Бүгд,Улсын дүн,1976,23684.0
Бүгд,Улсын дүн,1975,24351.6
Бүгд,Улсын дүн,1974,24313.5
Бүгд,Улсын дүн,1973,23538.0
Бүгд,Улсын дүн,1972,23108.1
Бүгд,Улсын дүн,1971,22692.6
Бүгд,Улсын дүн,1970,22574.7
Бүгд,     Хангайн бүс,2024,13247.3
Бүгд,     Хангайн бүс,2023,13654.3
Бүгд,     Хангайн бүс,2022,14196.1
Бүгд,     Хангайн бүс,2021,12712.0
Бүгд,     Хангайн бүс,2020,13718.9
Бүгд,     Хангайн бүс,2019,16437.4
Бүгд,     Хангайн бүс,2018,15192.9
Бүгд,     Хангайн бүс,2017,15623.0
Бүгд,     Хангайн бүс,2016,14454.5
Бүгд,     Хангайн бүс,2015,12739.9
Бүгд,     Хангайн бүс,2014,11870.6
Бүгд,     Хангайн бүс,2013,10245.4
Бүгд,     Хангайн бүс,2012,9014.7
Бүгд,     Хангайн бүс,2011,7647.7
Бүгд,     Хангайн бүс,2010,6652.7
Бүгд,     Хангайн бүс,2009,9923.9
Бүгд,     Хангайн бүс,2008,9472.5
Бүгд,     Хангайн бүс,2007,8387.5
Бүгд,     Хангайн бүс,2006,7032.2
Бүгд,     Хангайн бүс,2005,6049.6
Бүгд,     Хангайн бүс,2004,5427.3
Бүгд,     Хангайн бүс,2003,4855.5
Бүгд,     Хангайн бүс,2002,4276.4
Бүгд,     Хангайн бүс,2001,5286.9
Бүгд,     Хангайн бүс,2000,6750.8
Бүгд,     Хангайн бүс,1999,7767.3
Бүгд,     Хангайн бүс,1998,7552.1
Бүгд,     Хангайн бүс,1997,7070.4
Бүгд,     Хангайн бүс,1996,6508.3
Бүгд,     Хангайн бүс,1995,6448.5
Бүгд,     Хангайн бүс,1994,5967.7
Бүгд,     Хангайн бүс,1993,5314.2
Бүгд,     Хангайн бүс,1992,5303.8
Бүгд,     Хангайн бүс,1991,5200.8
Бүгд,     Хангайн бүс,1990,5157.0
Бүгд,     Хангайн бүс,1989,4795.2
Бүгд,     Хангайн бүс,1988,4413.8
Бүгд,     Хангайн бүс,1987,4446.3
Бүгд,     Хангайн бүс,1986,4353.5
Бүгд,     Хангайн бүс,1985,4278.1
Бүгд,     Хангайн бүс,1984,4538.3
Бүгд,     Хангайн бүс,1983,4973.2
Бүгд,     Хангайн бүс,1982,5475.9
Бүгд,     Хангайн бүс,1981,5329.0
Бүгд,     Хангайн бүс,1980,5218.5
Бүгд,     Хангайн бүс,1979,5241.8
Бүгд,     Хангайн бүс,1978,5264.1
Бүгд,     Хангайн бүс,1977,5130.0
Бүгд,     Хангайн бүс,1976,5099.2
Бүгд,     Хангайн бүс,1975,5147.1
Бүгд,     Хангайн бүс,1974,5055.7
Бүгд,     Хангайн бүс,1973,4889.4
Бүгд,     Хангайн бүс,1972,4883.4
Бүгд,     Хангайн бүс,1971,4756.4
Бүгд,     Хангайн бүс,1970,4780.4
Бүгд,            Архангай,2024,4082.3
Бүгд,            Архангай,2023,4847.4
Бүгд,            Архангай,2022,5886.1
Бүгд,            Архангай,2021,5562.2
Бүгд,            Архангай,2020,5399.9
Бүгд,            Архангай,2019,6167.0
Бүгд,            Архангай,2018,5482.0
Бүгд,            Архангай,2017,5291.7
Бүгд,            Архангай,2016,5009.6
Бүгд,            Архангай,2015,4457.1
Бүгд,            Архангай,2014,4293.2
Бүгд,            Архангай,2013,3772.3
Бүгд,            Архангай,2012,3403.2
Бүгд,            Архангай,2011,2984.3
Бүгд,            Архангай,2010,2679.2
Бүгд,            Архангай,2009,3619.1
Бүгд,            Архангай,2008,3379.2
Бүгд,            Архангай,2007,2912.6
Бүгд,            Архангай,2006,2530.6
Бүгд,            Архангай,2005,2194.9
Бүгд,            Архангай,2004,1948.2
Бүгд,            Архангай,2003,1837.5
Бүгд,            Архангай,2002,1748.8
Бүгд,            Архангай,2001,1836.1
Бүгд,            Архангай,2000,2216.1
Бүгд,            Архангай,1999,2335.5
Бүгд,            Архангай,1998,2119.3
Бүгд,            Архангай,1997,1924.2
Бүгд,            Архангай,1996,1725.1
Бүгд,            Архангай,1995,1626.4
Бүгд,            Архангай,1994,1626.3
Бүгд,            Архангай,1993,1494.7
Бүгд,            Архангай,1992,1495.9
Бүгд,            Архангай,1991,1504.0
Бүгд,            Архангай,1990,1496.3
Бүгд,            Архангай,1989,1382.2
Бүгд,            Архангай,1988,1296.6
Бүгд,            Архангай,1987,1243.1
Бүгд,            Архангай,1986,1211.1
Бүгд,            Архангай,1985,1202.5
Бүгд,            Архангай,1984,1315.4
Бүгд,            Архангай,1983,1386.3
Бүгд,            Архангай,1982,1527.5
Бүгд,            Архангай,1981,1512.3
Бүгд,            Архангай,1980,1451.9
Бүгд,            Архангай,1979,1428.0
Бүгд,            Архангай,1978,1426.0
Бүгд,            Архангай,1977,1393.2
Бүгд,            Архангай,1976,1490.1
Бүгд,            Архангай,1975,1550.4
Бүгд,            Архангай,1974,1549.1
Бүгд,            Архангай,1973,1492.0
Бүгд,            Архангай,1972,1499.7
Бүгд,            Архангай,1971,1511.0
Бүгд,            Архангай,1970,1479.3
Бүгд,            Баянхонгор,2024,4027.1
Бүгд,            Баянхонгор,2023,4072.2
Бүгд,            Баянхонгор,2022,3719.6
Бүгд,            Баянхонгор,2021,3127.1
Бүгд,            Баянхонгор,2020,3839.9
Бүгд,            Баянхонгор,2019,4644.9
Бүгд,            Баянхонгор,2018,4249.5
Бүгд,            Баянхонгор,2017,4587.7
Бүгд,            Баянхонгор,2016,4236.3
Бүгд,            Баянхонгор,2015,3771.9
Бүгд,            Баянхонгор,2014,3465.9
Бүгд,            Баянхонгор,2013,2987.1
Бүгд,            Баянхонгор,2012,2640.8
Бүгд,            Баянхонгор,2011,2237.8
Бүгд,            Баянхонгор,2010,1963.0
Бүгд,            Баянхонгор,2009,2684.7
Бүгд,            Баянхонгор,2008,2643.5
Бүгд,            Баянхонгор,2007,2284.7
Бүгд,            Баянхонгор,2006,1878.4
Бүгд,            Баянхонгор,2005,1553.5
Бүгд,            Баянхонгор,2004,1323.7
Бүгд,            Баянхонгор,2003,1099.2
Бүгд,            Баянхонгор,2002,862.2
Бүгд,            Баянхонгор,2001,1581.7
Бүгд,            Баянхонгор,2000,2375.7
Бүгд,            Баянхонгор,1999,2475.1
Бүгд,            Баянхонгор,1998,2511.3
Бүгд,            Баянхонгор,1997,2428.0
Бүгд,            Баянхонгор,1996,2233.1
Бүгд,            Баянхонгор,1995,2227.2
Бүгд,            Баянхонгор,1994,1995.2
Бүгд,            Баянхонгор,1993,1713.5
Бүгд,            Баянхонгор,1992,1761.9
Бүгд,            Баянхонгор,1991,1674.5
Бүгд,            Баянхонгор,1990,1599.1
Бүгд,            Баянхонгор,1989,1475.4
Бүгд,            Баянхонгор,1988,1339.6
Бүгд,            Баянхонгор,1987,1453.8
Бүгд,            Баянхонгор,1986,1416.3
Бүгд,            Баянхонгор,1985,1399.9
Бүгд,            Баянхонгор,1984,1486.9
Бүгд,            Баянхонгор,1983,1847.1
Бүгд,            Баянхонгор,1982,1938.4
Бүгд,            Баянхонгор,1981,1887.8
Бүгд,            Баянхонгор,1980,1832.7
Бүгд,            Баянхонгор,1979,1790.6
Бүгд,            Баянхонгор,1978,1821.3
