Location,Types of income,Year,value
National average,Total income,2024,2567889.0
National average,Total income,2023,2162342.0
National average,Total income,2022,1860584.0
National average,Total income,2021,1621454.0
National average,Total income,2020,1508837.0
National average,Total income,2019,1343428.0
National average,Total income,2018,1181067.0
National average,Total income,2017,1035506.0
National average,Total income,2016,944153.0
National average,Total income,2015,1047255.0
National average,Total income,2014,1080145.0
National average,Total income,2013,959247.0
National average,Total income,2012,819996.0
National average,Total income,2011,573541.0
National average,Total income,2010,448027.0
National average,Total income,2009,402525.0
National average,Total income,2008,363594.0
National average,Total income,2007,263681.0
National average,Total income,2006,200179.0
National average,Total income,2005,172421.0
National average,Total income,2004,185989.0
National average,Total income,2003,178866.0
National average,Total income,2002,156159.0
National average,Total income,2001,111119.0
National average,Total income,2000,108011.0
National average,Total income,1999,67426.0
National average,Total income,1998,66492.0
National average,Total income,1997,56218.0
National average,1. Monetary income,2024,2409836.0
National average,1. Monetary income,2023,2021952.0
National average,1. Monetary income,2022,1728919.0
National average,1. Monetary income,2021,1500995.0
National average,1. Monetary income,2020,1394136.0
National average,1. Monetary income,2019,1230300.0
National average,1. Monetary income,2018,1082372.0
National average,1. Monetary income,2017,936187.0
National average,1. Monetary income,2016,863259.0
National average,1. Monetary income,2015,945118.0
National average,1. Monetary income,2014,974392.0
National average,1. Monetary income,2013,862511.0
National average,1. Monetary income,2012,741917.0
National average,1. Monetary income,2011,503936.0
National average,1. Monetary income,2010,387099.0
National average,1. Monetary income,2009,354967.0
National average,1. Monetary income,2008,325270.0
National average,1. Monetary income,2007,239179.0
National average,1. Monetary income,2006,173477.0
National average,1. Monetary income,2005,150208.0
National average,1. Monetary income,2004,144127.0
National average,1. Monetary income,2003,144354.0
National average,1. Monetary income,2002,124930.0
National average,1. Monetary income,2001,102133.0
National average,1. Monetary income,2000,101375.0
National average,1. Monetary income,1999,67426.0
National average,1. Monetary income,1998,66492.0
National average,1. Monetary income,1997,56218.0
National average,    Wages and salaries,2024,1360216.0
National average,    Wages and salaries,2023,1083367.0
National average,    Wages and salaries,2022,860693.0
National average,    Wages and salaries,2021,694576.0
National average,    Wages and salaries,2020,754492.0
National average,    Wages and salaries,2019,678901.0
National average,    Wages and salaries,2018,577813.0
National average,    Wages and salaries,2017,517121.0
National average,    Wages and salaries,2016,477742.0
National average,    Wages and salaries,2015,503714.0
National average,    Wages and salaries,2014,500649.0
National average,    Wages and salaries,2013,439289.0
National average,    Wages and salaries,2012,372114.0
National average,    Wages and salaries,2011,248385.0
National average,    Wages and salaries,2010,200167.0
National average,    Wages and salaries,2009,181022.0
National average,    Wages and salaries,2008,158963.0
National average,    Wages and salaries,2007,105058.0
National average,    Wages and salaries,2006,75730.0
National average,    Wages and salaries,2005,66679.0
National average,    Wages and salaries,2004,54653.0
National average,    Wages and salaries,2003,45872.0
National average,    Wages and salaries,2002,40150.0
National average,    Wages and salaries,2001,32459.0
National average,    Wages and salaries,2000,31004.0
National average,    Wages and salaries,1999,23314.0
National average,    Wages and salaries,1998,23279.0
National average,    Wages and salaries,1997,22197.0
National average,    Pensions and allowances,2024,549924.0
National average,    Pensions and allowances,2023,480455.0
National average,    Pensions and allowances,2022,452833.0
National average,    Pensions and allowances,2021,441046.0
National average,    Pensions and allowances,2020,294996.0
National average,    Pensions and allowances,2019,226474.0
National average,    Pensions and allowances,2018,210235.0
National average,    Pensions and allowances,2017,182497.0
National average,    Pensions and allowances,2016,165621.0
National average,    Pensions and allowances,2015,163776.0
National average,    Pensions and allowances,2014,143520.0
National average,    Pensions and allowances,2013,151841.0
National average,    Pensions and allowances,2012,155686.0
