Байршил,Орлогын төрөл,Он,value
Улсын дундаж,Нийт орлого,2024,2567889.0
Улсын дундаж,Нийт орлого,2023,2162342.0
Улсын дундаж,Нийт орлого,2022,1860584.0
Улсын дундаж,Нийт орлого,2021,1621454.0
Улсын дундаж,Нийт орлого,2020,1508837.0
Улсын дундаж,Нийт орлого,2019,1343428.0
Улсын дундаж,Нийт орлого,2018,1181067.0
Улсын дундаж,Нийт орлого,2017,1035506.0
Улсын дундаж,Нийт орлого,2016,944153.0
Улсын дундаж,Нийт орлого,2015,1047255.0
Улсын дундаж,Нийт орлого,2014,1080145.0
Улсын дундаж,Нийт орлого,2013,959247.0
Улсын дундаж,Нийт орлого,2012,819996.0
Улсын дундаж,Нийт орлого,2011,573541.0
Улсын дундаж,Нийт орлого,2010,448027.0
Улсын дундаж,Нийт орлого,2009,402525.0
Улсын дундаж,Нийт орлого,2008,363594.0
Улсын дундаж,Нийт орлого,2007,263681.0
Улсын дундаж,Нийт орлого,2006,200179.0
Улсын дундаж,Нийт орлого,2005,172421.0
Улсын дундаж,Нийт орлого,2004,185989.0
Улсын дундаж,Нийт орлого,2003,178866.0
Улсын дундаж,Нийт орлого,2002,156159.0
Улсын дундаж,Нийт орлого,2001,111119.0
Улсын дундаж,Нийт орлого,2000,108011.0
Улсын дундаж,Нийт орлого,1999,67426.0
Улсын дундаж,Нийт орлого,1998,66492.0
Улсын дундаж,Нийт орлого,1997,56218.0
Улсын дундаж,1. Мөнгөн орлого,2024,2409836.0
Улсын дундаж,1. Мөнгөн орлого,2023,2021952.0
Улсын дундаж,1. Мөнгөн орлого,2022,1728919.0
Улсын дундаж,1. Мөнгөн орлого,2021,1500995.0
Улсын дундаж,1. Мөнгөн орлого,2020,1394136.0
Улсын дундаж,1. Мөнгөн орлого,2019,1230300.0
Улсын дундаж,1. Мөнгөн орлого,2018,1082372.0
Улсын дундаж,1. Мөнгөн орлого,2017,936187.0
Улсын дундаж,1. Мөнгөн орлого,2016,863259.0
Улсын дундаж,1. Мөнгөн орлого,2015,945118.0
Улсын дундаж,1. Мөнгөн орлого,2014,974392.0
Улсын дундаж,1. Мөнгөн орлого,2013,862511.0
Улсын дундаж,1. Мөнгөн орлого,2012,741917.0
Улсын дундаж,1. Мөнгөн орлого,2011,503936.0
Улсын дундаж,1. Мөнгөн орлого,2010,387099.0
Улсын дундаж,1. Мөнгөн орлого,2009,354967.0
Улсын дундаж,1. Мөнгөн орлого,2008,325270.0
Улсын дундаж,1. Мөнгөн орлого,2007,239179.0
Улсын дундаж,1. Мөнгөн орлого,2006,173477.0
Улсын дундаж,1. Мөнгөн орлого,2005,150208.0
Улсын дундаж,1. Мөнгөн орлого,2004,144127.0
Улсын дундаж,1. Мөнгөн орлого,2003,144354.0
Улсын дундаж,1. Мөнгөн орлого,2002,124930.0
Улсын дундаж,1. Мөнгөн орлого,2001,102133.0
Улсын дундаж,1. Мөнгөн орлого,2000,101375.0
Улсын дундаж,1. Мөнгөн орлого,1999,67426.0
Улсын дундаж,1. Мөнгөн орлого,1998,66492.0
Улсын дундаж,1. Мөнгөн орлого,1997,56218.0
Улсын дундаж,    Цалин хөлс,2024,1360216.0
Улсын дундаж,    Цалин хөлс,2023,1083367.0
Улсын дундаж,    Цалин хөлс,2022,860693.0
Улсын дундаж,    Цалин хөлс,2021,694576.0
Улсын дундаж,    Цалин хөлс,2020,754492.0
Улсын дундаж,    Цалин хөлс,2019,678901.0
Улсын дундаж,    Цалин хөлс,2018,577813.0
Улсын дундаж,    Цалин хөлс,2017,517121.0
Улсын дундаж,    Цалин хөлс,2016,477742.0
Улсын дундаж,    Цалин хөлс,2015,503714.0
Улсын дундаж,    Цалин хөлс,2014,500649.0
Улсын дундаж,    Цалин хөлс,2013,439289.0
Улсын дундаж,    Цалин хөлс,2012,372114.0
Улсын дундаж,    Цалин хөлс,2011,248385.0
Улсын дундаж,    Цалин хөлс,2010,200167.0
Улсын дундаж,    Цалин хөлс,2009,181022.0
Улсын дундаж,    Цалин хөлс,2008,158963.0
Улсын дундаж,    Цалин хөлс,2007,105058.0
Улсын дундаж,    Цалин хөлс,2006,75730.0
Улсын дундаж,    Цалин хөлс,2005,66679.0
Улсын дундаж,    Цалин хөлс,2004,54653.0
Улсын дундаж,    Цалин хөлс,2003,45872.0
Улсын дундаж,    Цалин хөлс,2002,40150.0
Улсын дундаж,    Цалин хөлс,2001,32459.0
Улсын дундаж,    Цалин хөлс,2000,31004.0
Улсын дундаж,    Цалин хөлс,1999,23314.0
Улсын дундаж,    Цалин хөлс,1998,23279.0
Улсын дундаж,    Цалин хөлс,1997,22197.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2024,549924.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2023,480455.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2022,452833.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2021,441046.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2020,294996.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2019,226474.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2018,210235.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2017,182497.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2016,165621.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2015,163776.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2014,143520.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2013,151841.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2012,155686.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2011,114368.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2010,67131.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2009,67237.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2008,61055.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2007,40205.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2006,22822.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2005,17745.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2004,15376.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2003,11717.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2002,10934.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2001,8929.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",2000,7916.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",1999,6014.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",1998,5777.0
Улсын дундаж,"    Тэтгэвэр, тэтгэмж",1997,4346.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2024,323170.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2023,304262.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2022,247788.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2021,223982.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2020,203898.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2019,215022.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2018,185014.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2017,153270.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2016,131723.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2015,182810.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2014,221665.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2013,179938.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2012,145740.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2011,98627.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2010,82855.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2009,76062.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2008,78534.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2007,72019.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2006,60032.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2005,52443.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2004,57955.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2003,53621.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2002,54229.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2001,31775.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",2000,32270.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",1999,19684.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",1998,18531.0
Улсын дундаж,"    Өрхийн үйлдвэрлэл, үйлчилгээний орлого",1997,14143.0
Улсын дундаж,    Бусад,2024,176526.0
Улсын дундаж,    Бусад,2023,153868.0
Улсын дундаж,    Бусад,2022,167605.0
Улсын дундаж,    Бусад,2021,141391.0
Улсын дундаж,    Бусад,2020,140750.0
Улсын дундаж,    Бусад,2019,109903.0
Улсын дундаж,    Бусад,2018,109310.0
Улсын дундаж,    Бусад,2017,83299.0
Улсын дундаж,    Бусад,2016,88173.0
Улсын дундаж,    Бусад,2015,94818.0
Улсын дундаж,    Бусад,2014,108558.0
Улсын дундаж,    Бусад,2013,91443.0
Улсын дундаж,    Бусад,2012,68377.0
Улсын дундаж,    Бусад,2011,42556.0
Улсын дундаж,    Бусад,2010,36946.0
Улсын дундаж,    Бусад,2009,30646.0
Улсын дундаж,    Бусад,2008,26718.0
Улсын дундаж,    Бусад,2007,21897.0
Улсын дундаж,    Бусад,2006,14893.0
Улсын дундаж,    Бусад,2005,13341.0
Улсын дундаж,    Бусад,2004,16143.0
Улсын дундаж,    Бусад,2003,33144.0
Улсын дундаж,    Бусад,2002,19617.0
Улсын дундаж,    Бусад,2001,28970.0
Улсын дундаж,    Бусад,2000,30185.0
Улсын дундаж,    Бусад,1999,18414.0
Улсын дундаж,    Бусад,1998,18905.0
Улсын дундаж,    Бусад,1997,15532.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2024,61399.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2023,52796.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2022,58817.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2021,41603.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2020,52142.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2019,61345.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2018,55949.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2017,54724.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2016,43022.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2015,50508.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2014,46083.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2013,37285.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2012,31967.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2011,22626.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2010,19356.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2009,14743.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2008,10451.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2007,8134.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2006,4282.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2005,6672.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2004,7306.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2003,7790.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2002,6428.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2001,1987.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,2000,1120.0
Улсын дундаж,2. Бусдаас үнэгүй авсан,1999,
Улсын дундаж,2. Бусдаас үнэгүй авсан,1998,
Улсын дундаж,2. Бусдаас үнэгүй авсан,1997,
