id,district_code,khoroo_code
4989,14,1407
4990,13,1304
4991,14,1410
4992,15,1501
4993,14,1401
4994,15,1504
4995,15,1506
4996,18,1803
4997,17,1716
4998,18,1811
4999,15,1515
5000,14,1414
5001,15,1513
5002,14,1409
5003,15,1511
5004,13,1306
5005,13,1318
5006,13,1304
5007,13,1341
5008,16,1607
5009,16,1632
5010,16,1608
5011,16,1618
5012,16,1604
5013,16,1606
5014,15,1503
5015,16,1603
5016,14,1403
5017,16,1633
5018,16,1619
5019,16,1611
5020,16,1613
5021,14,1404
5022,18,1814
5023,18,1812
5024,18,1813
5025,18,1817
5026,18,1818
5027,18,1819
5028,18,1806
5029,14,1405
5030,17,1703
5031,13,1305
5032,13,1316
5033,13,1316
5034,13,1338
5035,13,1308
5036,13,1334
5037,16,1620
5038,17,1707
5039,17,1723
5040,17,1705
5041,18,1802
5042,18,1815
5043,18,1816
5044,16,1602
5045,16,1627
5046,16,1607
5047,17,1704
5048,14,1402
5049,14,1411
5050,14,1415
5051,15,1513
5052,15,1517
5053,13,1301
5054,13,1303
5055,17,1722
5056,17,1702
5057,17,1701
5058,18,1808
5059,18,1809
5060,15,1510
5061,14,1405
5062,14,1410
5063,14,1408
5064,13,1323
5065,13,1325
5066,13,1313
5067,16,1615
5068,17,1713
5069,15,1504
5070,15,1502
5071,13,1308
5072,13,1339
5073,12,1203
5074,13,1308
5075,14,1402
5076,16,1617
5077,15,1524
5078,16,1618
5079,16,1610
5080,16,1613
5081,16,1633
5082,16,1617
5083,12,1203
5084,12,1201
5085,16,1608
5086,16,1618
5087,16,1630
5088,13,1301
5089,13,1301
5090,13,1325
5091,13,1325
5092,14,1407
5093,14,1406
5094,14,1407
5095,14,1410
5096,14,1408
5097,14,1407
5098,17,1720
5099,16,1611
5100,14,1411
5101,18,1816
5102,18,1825
5103,18,1834
5104,18,1801
5105,18,1814
5106,18,1817
5107,17,1718
5108,17,1723
5109,17,1712
5110,17,1708
5111,17,1714
5112,17,1719
5113,17,1709
5114,11,1103
5115,11,1107
5116,11,1108
5117,11,1102
5118,11,1108
5119,11,1105
5120,14,1401
5121,14,1408
5122,14,1408
5123,14,1402
5124,14,1409
5125,14,1408
5126,14,1410
5127,14,1406
5128,13,1301
5129,18,1834
5130,18,1833
5131,18,1821
5132,18,1817
5133,18,1819
5134,14,1402
5135,13,1320
5136,13,1311
5137,16,1633
5138,13,1328
5139,14,1418
5140,13,1329
5141,13,1330
5142,13,1328
5143,15,1506
5144,13,1311
5145,11,1101
5146,11,1108
5147,19,1902
5148,14,1408
5149,14,1401
5150,14,1401
5151,18,1821
5152,18,1809
5153,15,1504
5154,16,1629
5155,13,1325
5156,13,1343
5157,13,1340
5158,14,1408
5159,14,1411
5160,14,1411
5161,16,1604
5162,13,1327
5163,13,1319
5164,13,1332
5165,18,1834
5166,14,1411
5167,18,1841
5168,18,1811
5169,18,1841
5170,15,1505
5171,15,1521
5172,17,1715
5173,17,1710
5174,12,1204
5175,15,1512
5176,15,1504
5177,15,1505
5178,15,1503
5179,15,1505
5180,15,1505
5181,11,1108
5182,19,1901
5183,14,1414
5184,14,1408
5185,11,1106
5186,14,1407
5187,14,1402
5188,14,1402
5189,14,1410
5190,14,1406
5191,14,1410
5192,18,1819
5193,18,1834
5194,17,1711
5195,17,1717
5196,17,1718
5197,17,1720
5198,17,1715
5199,17,1724
5200,17,1720
5201,17,1703
5202,17,1703
5203,17,1720
5204,17,1724
5205,17,1719
5206,16,1632
5207,16,1618
5208,16,1603
5209,16,1605
5210,16,1603
5211,16,1627
5212,16,1602
5213,16,1625
5214,16,1606
5215,16,1634
5216,16,1611
5217,16,1602
5218,16,1633
5219,16,1607
5220,16,1611
5221,17,1711
5222,16,1626
5223,16,1624
5224,16,1604
5225,16,1633
5226,16,1626
5227,13,1321
5228,13,1326
5229,13,1326
5230,13,1315
5231,13,1315
5232,13,1303
5233,13,1313
5234,13,1314
5235,13,1325
5236,13,1326
5237,13,1315
5238,13,1325
5239,15,1522
5240,15,1523
5241,16,1606
5242,14,1417
5243,14,1408
5244,14,1408
5245,14,1406
5246,14,1401
5247,16,1626
5248,16,1607
5249,16,1613
5250,16,1611
5251,16,1611
5252,16,1611
5253,16,1633
5254,16,1620
5255,16,1628
5256,14,1407
5257,14,1402
5258,14,1403
5259,14,1404
5260,14,1414
5261,14,1415
5262,18,1806
5263,18,1818
5264,18,1819
5265,18,1803
5266,18,1808
5267,18,1809
5268,18,1825
5269,18,1811
5270,18,1816
5271,18,1819
5272,15,1501
5273,15,1513
5274,15,1515
5275,15,1510
5276,15,1512
5277,13,1303
5278,13,1301
5279,13,1316
5280,13,1338
5281,13,1309
5282,13,1334
5283,13,1308
5284,13,1308
5285,13,1318
5286,13,1323
5287,13,1308
5288,13,1306
5289,13,1303
5290,13,1332
5291,13,1318
5292,13,1326
5293,13,1326
5294,17,1716
5295,17,1724
5296,17,1707
5297,14,1402
5298,15,1517
5299,17,1720
5300,17,1719
5301,17,1723
5302,17,1722
5303,12,1201
5304,12,1205
5305,12,1203
5306,13,1313
5307,13,1313
5308,19,1902
5309,17,1701
5310,14,1401
5311,17,1714
