unit_code,unit_name,Cultural_heritage_building,built_building,d902_as,data_auto_service,data_auto_shts,data_clinic_gov,data_clinic_pharmacy,data_cul_entertainment,data_cul_statue,data_edu_kindergarten,data_edu_private_kinder,data_edu_school,data_edu_university,data_gam_nuulgeh,data_gam_turtsuglarah_2023_58,data_gam_turtsuglarah_old_192sh,data_gov_org,data_pub_atm,data_pub_bank,data_pub_camp_resorts,data_pub_hotel,data_pub_restaurant,data_pub_shopping,data_pub_supermarket,data_pub_toilet,data_pz_cemetry,data_solidwaste,data_sport_complex,data_sport_halls,data_sport_org,data_street_name,data_trans_bus_route,data_trans_bus_station,ddp_boundary,ddp_build_bound,ddp_daguul_haya_hot,ddp_dahin_tolovlolt_block,ddp_heating_line,ddp_het_buschlel,ddp_hunam_nygtral_bairshil,ddp_road,ddt_aoz_tuluvlult_2030,ddt_plan_units_2030,ddt_road_2030,map_office_khoroo,map_road,plan_building,plan_dedbutets,plan_landscaping,plan_road,plannig_road,planning_area,planning_landscaping,pz_air_strip,pz_bulag_200m,pz_city_line,pz_city_substation,pz_comm_atc,pz_land_using,pz_nuur_200m,pz_solid_waste,pz_yer_drainage,special_economic_zone_border,special_economic_zone_road,special_economic_zoning,sub_center_border,technological_park_planning_road,technological_park_zoning,technological_planning_border,town_2023,zoning,built_area_m2
1503,3-р хороо,0,271,0,0,0,0,20,1,3,2,3,2,1,0,3,2,2,6,6,0,5,1,4,3,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,3,0,8,0,18,1,25,16,0,7,6,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67727
1613,13-р хороо,0,200,0,0,0,0,8,1,0,2,5,3,0,0,2,2,0,5,5,0,1,1,3,22,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,1,25,14,2,15,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50748
1334,34-р хороо,0,2829,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0,1,44,0,14,0,1,17,2,6,7,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107189
1406,6-р хороо,2,418,0,2,1,0,10,2,23,3,6,4,11,0,4,3,6,4,3,0,2,7,3,2,0,0,0,1,3,0,5,1,5,0,0,0,0,11,0,2,3,18,0,16,1,34,56,1,26,6,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,122917
1405,5-р хороо,0,295,0,0,1,0,8,0,1,0,0,2,0,0,2,1,2,2,2,0,2,2,3,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,7,0,2,1,21,16,2,26,4,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59057
1404,4-р хороо,0,276,0,0,0,1,14,2,8,4,1,2,0,0,1,1,2,6,5,0,1,3,4,1,0,0,0,0,1,0,4,2,4,0,0,0,0,0,0,2,0,17,0,10,1,23,28,4,17,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74213
1403,3-р хороо,0,391,0,0,2,0,9,2,2,4,7,2,0,0,1,1,0,6,2,0,4,6,5,3,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,0,8,1,3,1,23,50,0,33,8,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135696
1340,40-р хороо,1,524,0,0,1,0,6,0,1,0,4,1,2,0,0,1,0,3,1,0,2,0,0,12,1,0,0,1,1,0,1,0,2,0,0,0,1,1,7,1,1,9,0,7,0,19,39,1,11,1,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,77759
1524,24-р хороо,0,4795,8,1,3,0,1,0,0,0,0,1,0,2,1,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,13,9,0,0,0,0,1,0,8,13,0,2,0,79,63,0,14,8,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315804
1416,16-р хороо,0,5497,0,0,0,0,7,0,0,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,24,50,0,15,88,1,5,1,10,30,1,26,8,0,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,243455
