id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Барилгын зориулалт,Дүүрэг,Хороо,Хаягийн бүс,Барилгыг барьсан он,"Барилга, байгууламжийн нэр",Ашиглалтад орсон он,Барилга ашиглагчийн нэр,Барилгыг барьсан байгууллага
3245324,1460500268,Чин ван Ханддоржийн байшин (МУ-ын засгийн газрын 2020 оны 13 дугаар тогтоолоор батлагдсан),Polygon,106.909569,47.913893,Соёлын өвд бүртгэлтэй дурсгалт барилга,Музейн,Сүхбаатар,2-р хороо,5-р хороолол-2 /14251/,,,,,
3245325,1460500393,"Улсын драмын эрдмийн театр (2021 оны  НИТХТ 12/35, дүүргийн хамгаалалтад авсан)",Polygon,106.914225,47.91459,Соёлын өвд бүртгэлтэй дурсгалт барилга,Соёлын ордон,Сүхбаатар,1-р хороо,5-р хороолол-2 /14251/,1956,Улсын Драмын эрдмийн театрын барилга,1956,,
3245326,1460600043,Үндэсний төв номын сангийн барилга (2021 оны НИТХТ 12/35 дүүргийн хамгаалалтад авсан),Polygon,106.916117,47.91483,Соёлын өвд бүртгэлтэй дурсгалт барилга,Номын сангийн барилга,Сүхбаатар,1-р хороо,Соёл амралтын хүрээлэн-1 /14240/,1951,Үндэсний номын сангийн барилга,1951,,
3245328,1500400134,Элдэв Очирын нэрэмжит хүүхдийн кино театр барилга,Polygon,106.915831,47.917903,Соёлын өвд бүртгэлтэй дурсгалт барилга,Банк,Чингэлтэй,1-р хороо,Бага тойруу-3  /15160/,1948,Эрдэв Очирын нэрэмжит Хүүхдийн кино театр байрлаж байсан барилга,1948,Монголын хөрөнгийн бирж,
3245329,1500400118,Монголын орчин үеийн анхны зочид буудлын барилга (2021 оны НИТХТ 12/35 дүүргийн хамгаалалтад авсан),MultiPolygon,106.915841,47.91867,Соёлын өвд бүртгэлтэй дурсгалт барилга,Нийслэл хотын захиргаа,Чингэлтэй,1-р хороо,Бага тойруу-3  /15160/,1946,Монголын орчин үеийн анхны Алтай зочид буудал,1946,Нийслэлийн Засаг даргын Тамгын газар,
3245330,1500300295,Туул зоогийн газар (2021 оны НИТХТ 12/35) дүүргийн хамгаалалтад авсан,Polygon,106.907817,47.920065,Соёлын өвд бүртгэлтэй дурсгалт барилга,Ресторан,Чингэлтэй,1-р хороо,"40, 50 мянгат-1 /15170/",1948,Туул зоогийн газар,1948,,
3245331,1500300357,Анхны европ эмийн сангийн байшин (2021 оны НИТХТ 12/35 дүүргийн хамгаалалтад авсан),Polygon,106.909325,47.920346,Соёлын өвд бүртгэлтэй дурсгалт барилга,Агуулахын барилга,Чингэлтэй,4-р хороо,"40, 50 мянгат-1 /15170/",1909,Анхны европ эмийн сан байрлаж байсан байшин,1909,,1909
3245332,,Анхны кино театр байрлаж байсан байшин (2021 оны НИТХТ 12/35 дүүргийн хамгаалалтад авсан),Polygon,106.908969,47.919723,Соёлын өвд бүртгэлтэй дурсгалт барилга,Католик шашны сүм,Чингэлтэй,1-р хороо,"40, 50 мянгат-1 /15170/",1931,Хүүхдийн ба баримтат кино театр байрлаж байсан байшин ( 2021 оны НИТХТ 12/35 дүүргийн хамгаалалтад авсан),1931,Есүс Христийн хожмын үеийн гэгээнтнүүдийн сүм,
3245333,1500300364,Өндөр хоршооны 2 давхар барилга  (МУ-ын Засгийн газрын 2020 оны 13 дугаар тогтоолоор улсын хамгаалалтад авсан),Polygon,106.909654,47.920168,Соёлын өвд бүртгэлтэй дурсгалт барилга,Музейн,Чингэлтэй,4-р хороо,"40, 50 мянгат-1 /15170/",1913,Өндөр хоршоо (МУ-ын Засгийн газрын 2020 оны 13 дугаар тогтоолоор улсын хамгаалалтад авсан),1913,Занабазарын Нэрэмжит Дүрслэх Урлагийн Музей,1913-1915
3245334,1500400126,Монголын Үйлдвэрчний төв зөвлөлийн барилга ( 2021 оны НИТХТ 12/35 дүүргийн хамгаалалтад авсан),Polygon,106.915564,47.919539,Соёлын өвд бүртгэлтэй дурсгалт барилга,Үйлчилгээтэй албан конторын барилга,Чингэлтэй,1-р хороо,Бага тойруу-3  /15160/,1955,Монголын Үйлдвэрчний төв Зөвлөлийн барилга,1955,Монголын Үйлдвэрчний Эвлэлийн холбоо,
3245335,,Ерөнхий сайд жигжиджавын амьдарч байсан байшин,Polygon,106.915371,47.919272,Соёлын өвд бүртгэлтэй дурсгалт барилга,Үйлчилгээтэй албан конторын барилга,Чингэлтэй,1-р хороо,Бага тойруу-3  /15160/,1920,Ерөнхий сайд Ц.Жигжиджавын байшин,1920,,
3245336,1460900055,"Улсын дуурь бүжгийн эрдмийн театрын барилга (2021 оны НИТХТ 12/35, дүүргийн хамгаалалтад авсан)",Polygon,106.919842,47.918622,Соёлын өвд бүртгэлтэй дурсгалт барилга,Соёлын ордон,Сүхбаатар,8-р хороо,Бага тойруу-1 /14200/,1949,"Улсын дуурь, бүжгийн эрдмийн театрын барилга",1949,,
3245337,1460700331,"Гадаад харилцааны яамны барилга (2021 оны  НИТХТ 12/35, дүүргийн хамгаалалтад авсан)",Polygon,106.921023,47.916927,Соёлын өвд бүртгэлтэй дурсгалт барилга,"Гадаадын элчин сайдын яам, төлөөлөгчийн газар",Сүхбаатар,1-р хороо,13-р хороолол 1-1 /14210/,1947,Гадаад харилцааны яамны барилга,1949,Гадаад харилцааны яамны барилга,
3245338,1460700196,"Монгол Улсын их сургуулийн анхны хичээлийн байр (2021 оны НИТХТ 12/35, дүүргийн хамгаалалтад авсан)",Polygon,106.921828,47.917154,Соёлын өвд бүртгэлтэй дурсгалт барилга,Албан конторын /хувийн байгууллага/,Сүхбаатар,1-р хороо,13-р хороолол 1-1 /14210/,1926,Монгол Улсын Их сургуулийн анхны хичээлийн байр,1926,,
