id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
712,,,Polygon,107.051642,48.058089,Ой мод
713,,,Polygon,107.010496,48.05955,Ой мод
714,,,Polygon,107.016283,48.056621,Ой мод
715,,,Polygon,107.322186,48.053284,Ой мод
716,,,Polygon,106.992528,48.058641,Ой мод
717,,,Polygon,106.919752,48.054443,Ой мод
718,,,Polygon,106.983399,48.051704,Ой мод
719,,,Polygon,107.470094,47.870651,Ой мод
720,,,Polygon,106.992505,48.057244,Ой мод
721,,,Polygon,106.991734,48.055265,Ой мод
722,,,Polygon,106.92966,48.05578,Ой мод
723,,,Polygon,106.88334,48.055263,Ой мод
724,,,Polygon,107.235521,48.053681,Ой мод
725,,,Polygon,107.038348,48.048133,Ой мод
726,,,Polygon,106.690573,48.05397,Ой мод
727,,,Polygon,107.07843,48.05379,Ой мод
728,,,Polygon,107.221322,48.052501,Ой мод
729,,,Polygon,107.006242,48.053266,Ой мод
730,,,Polygon,107.078388,48.049701,Ой мод
731,,,Polygon,107.007718,48.050746,Ой мод
732,,,Polygon,107.05611,48.049964,Ой мод
733,,,Polygon,107.020594,48.05091,Ой мод
734,,,Polygon,107.018148,48.049331,Ой мод
735,,,Polygon,106.948444,48.047965,Ой мод
736,,,Polygon,107.207455,48.046616,Ой мод
737,,,Polygon,107.32333,48.046235,Ой мод
738,,,Polygon,107.039484,48.029976,Ой мод
739,,,Polygon,106.959003,48.046311,Ой мод
740,,,Polygon,107.243352,48.047126,Ой мод
741,,,Polygon,106.991895,48.048821,Ой мод
742,,,Polygon,107.249929,48.04843,Ой мод
743,,,Polygon,107.238717,48.048459,Ой мод
744,,,Polygon,106.916209,48.047198,Ой мод
745,,,Polygon,106.994245,48.047269,Ой мод
746,,,Polygon,107.302921,48.023281,Ой мод
747,,,Polygon,107.01618,48.045192,Ой мод
748,,,Polygon,107.214165,48.044251,Ой мод
749,,,Polygon,107.250505,48.045426,Ой мод
750,,,Polygon,107.073875,48.045426,Ой мод
751,,,Polygon,107.22609,48.044377,Ой мод
752,,,Polygon,106.990002,48.044858,Ой мод
753,,,Polygon,107.228761,48.043788,Ой мод
