id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Дүүрэг,Хороо,Хаягийн бүс
1542,,,Point,106.902311,47.933231,Авто үйлчилгээ,,,
1543,,,Point,106.89379,47.916581,Авто үйлчилгээ,,,
1544,,,Point,106.905342,47.927848,Авто үйлчилгээ,,,
1545,,,Point,106.8899,47.933642,Авто үйлчилгээ,,,
1546,,,Point,106.898202,47.944197,Авто үйлчилгээ,,,
1547,,,Point,106.910223,47.947607,Авто үйлчилгээ,,,
1548,,,Point,106.892717,47.940312,Авто үйлчилгээ,,,
1549,,,Point,106.912657,47.927717,Авто үйлчилгээ,,,
1550,,,Point,106.914482,47.928752,Авто үйлчилгээ,,,
1551,,,Point,106.819575,47.925432,Авто үйлчилгээ,,,
1552,,,Point,106.826796,47.928956,Авто үйлчилгээ,,,
1553,,,Point,106.813958,47.929326,Авто үйлчилгээ,,,
1554,,,Point,106.983643,47.941328,Авто үйлчилгээ,,,
1555,,,Point,106.923375,47.948134,Авто үйлчилгээ,,,
1556,,,Point,106.877698,47.939141,Авто үйлчилгээ,,,
1557,,,Point,106.869554,47.937304,Авто үйлчилгээ,,,
1558,,,Point,106.844067,47.930318,Авто үйлчилгээ,,,
1559,,,Point,106.914606,47.947524,Авто үйлчилгээ,,,
1560,,,Point,106.983078,47.931989,Авто үйлчилгээ,,,
1561,,,Point,106.999974,47.948255,Авто үйлчилгээ,,,
1562,,,Point,106.980614,47.943926,Авто үйлчилгээ,,,
1563,,,Point,106.903129,47.945669,Авто үйлчилгээ,,,
1564,,,Point,106.904193,47.946859,Авто үйлчилгээ,,,
1565,,,Point,106.903829,47.945394,Авто үйлчилгээ,,,
1566,,,Point,106.909366,47.947028,Авто үйлчилгээ,,,
1567,,,Point,106.928207,47.927848,Авто үйлчилгээ,,,
1568,,,Point,106.938385,47.92702,Авто үйлчилгээ,,,
1569,,,Point,106.933847,47.927449,Авто үйлчилгээ,,,
1570,,,Point,106.945844,47.937295,Авто үйлчилгээ,,,
1571,,,Point,106.943546,47.9456,Авто үйлчилгээ,,,
1572,,,Point,106.938048,47.947928,Авто үйлчилгээ,,,
1573,,,Point,106.901591,47.946397,Авто үйлчилгээ,,,
1574,,,Point,106.915309,47.927916,Авто үйлчилгээ,,,
1575,,,Point,106.914381,47.928134,Авто үйлчилгээ,,,
1576,,,Point,106.908623,47.929241,Авто үйлчилгээ,,,
1577,,,Point,106.87454,47.932047,Авто үйлчилгээ,,,
1578,,,Point,106.878649,47.928654,Авто үйлчилгээ,,,
1579,,,Point,106.873135,47.933419,Авто үйлчилгээ,,,
1580,,,Point,106.860556,47.932654,Авто үйлчилгээ,,,
1581,,,Point,106.857953,47.937605,Авто үйлчилгээ,,,
1582,,,Point,106.866668,47.941919,Авто үйлчилгээ,,,
1583,,,Point,106.887844,47.945985,Авто үйлчилгээ,,,
1584,,,Point,106.892375,47.947416,Авто үйлчилгээ,,,
1585,,,Point,106.89109,47.943101,Авто үйлчилгээ,,,
1586,,,Point,106.928261,47.949232,Авто үйлчилгээ,,,
1587,,,Point,106.936443,47.947958,Авто үйлчилгээ,,,
1588,,,Point,106.938214,47.947283,Авто үйлчилгээ,,,
1589,,,Point,106.951254,47.943353,Авто үйлчилгээ,,,
1590,,,Point,106.96665,47.942801,Авто үйлчилгээ,,,
1591,,,Point,106.987036,47.942626,Авто үйлчилгээ,,,
1592,,,Point,106.977265,47.935185,Авто үйлчилгээ,,,
1593,,,Point,106.965329,47.936131,Авто үйлчилгээ,,,
1594,,,Point,106.944102,47.937645,Авто үйлчилгээ,,,
1595,,,Point,106.954388,47.92725,Авто үйлчилгээ,,,
1596,,,Point,106.913065,47.925205,Авто үйлчилгээ,,,
1597,,,Point,106.887106,47.915367,Авто үйлчилгээ,,,
1598,,,Point,106.889992,47.916778,Авто үйлчилгээ,,,
1599,,,Point,106.87766,47.939562,Авто үйлчилгээ,,,
1600,,,Point,106.937677,47.947422,Авто үйлчилгээ,,,
1601,,,Point,106.936486,47.9492,Авто үйлчилгээ,,,
1602,,,Point,106.917125,47.95907,Авто үйлчилгээ,,,
1603,,,Point,106.916533,47.961366,Авто үйлчилгээ,,,
1604,,,Point,106.915075,47.968714,Авто үйлчилгээ,,,
1605,,,Point,106.924463,48.001582,Авто үйлчилгээ,,,
1606,,,Point,106.826404,47.888419,Авто үйлчилгээ,,,
1607,,,Point,106.788917,47.877751,Авто үйлчилгээ,,,
1608,,,Point,106.787653,47.876297,Авто үйлчилгээ,,,
1609,,,Point,106.770704,47.875567,Авто үйлчилгээ,,,
1610,,,Point,106.681328,47.86253,Авто үйлчилгээ,,,
1611,,,Point,106.798722,47.927869,Авто үйлчилгээ,,,
1612,,,Point,106.779446,47.925492,Авто үйлчилгээ,,,
1613,,,Point,106.827761,47.930716,Авто үйлчилгээ,,,
1614,,,Point,106.827514,47.975931,Авто үйлчилгээ,,,
1615,,,Point,107.073517,47.906524,Авто үйлчилгээ,,,
1616,,,Point,107.036038,47.92604,Авто үйлчилгээ,,,
1617,,,Point,107.020245,47.92423,Авто үйлчилгээ,,,
1618,,,Point,106.994294,47.931754,Авто үйлчилгээ,,,
1619,,,Point,107.001113,47.931887,Авто үйлчилгээ,,,
1620,,,Point,106.942107,47.927369,Авто үйлчилгээ,,,
1621,,,Point,106.765883,47.918806,Авто үйлчилгээ,,,
