id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
1641,,,Point,106.903898,47.908659,ШТС
1642,,,Point,106.888449,47.914552,ШТС
1643,,,Point,106.896841,47.925054,ШТС
1644,,,Point,106.900708,47.92637,ШТС
1645,,,Point,106.902731,47.927764,ШТС
1646,,,Point,106.902367,47.926299,ШТС
1647,,,Point,106.907899,47.927933,ШТС
1648,,,Point,106.925439,47.908502,ШТС
1649,,,Point,106.935111,47.907892,ШТС
1650,,,Point,106.934514,47.908583,ШТС
1651,,,Point,106.944349,47.918205,ШТС
1652,,,Point,106.941932,47.926676,ШТС
1653,,,Point,106.936559,47.928833,ШТС
1654,,,Point,106.912912,47.909046,ШТС
1655,,,Point,106.907244,47.910152,ШТС
1656,,,Point,106.873101,47.912958,ШТС
1657,,,Point,106.877207,47.909566,ШТС
1658,,,Point,106.871696,47.914329,ШТС
1659,,,Point,106.859127,47.913565,ШТС
1660,,,Point,106.85614,47.918415,ШТС
1661,,,Point,106.865234,47.922826,ШТС
1662,,,Point,106.886394,47.92689,ШТС
1663,,,Point,106.890922,47.928321,ШТС
1664,,,Point,106.889746,47.923875,ШТС
1665,,,Point,106.92678,47.930137,ШТС
1666,,,Point,106.934956,47.928863,ШТС
1667,,,Point,106.936919,47.928294,ШТС
1668,,,Point,106.949495,47.924146,ШТС
1669,,,Point,106.965588,47.923726,ШТС
1670,,,Point,106.986015,47.923147,ШТС
1671,,,Point,106.975773,47.916048,ШТС
1672,,,Point,106.963815,47.91692,ШТС
1673,,,Point,106.94261,47.918555,ШТС
1674,,,Point,106.951982,47.908203,ШТС
1675,,,Point,106.911597,47.906119,ШТС
1676,,,Point,106.885658,47.896284,ШТС
1677,,,Point,106.887202,47.897247,ШТС
1678,,,Point,106.876218,47.92047,ШТС
1679,,,Point,106.936337,47.928277,ШТС
1680,,,Point,106.934998,47.930105,ШТС
1681,,,Point,106.915652,47.939971,ШТС
1682,,,Point,106.913639,47.95002,ШТС
1683,,,Point,106.922983,47.982465,ШТС
1684,,,Point,106.825444,47.869013,ШТС
1685,,,Point,106.786126,47.857046,ШТС
1686,,,Point,106.769346,47.856498,ШТС
1687,,,Point,106.68004,47.843465,ШТС
1688,,,Point,106.797341,47.90878,ШТС
1689,,,Point,106.77808,47.906404,ШТС
1690,,,Point,106.826358,47.911626,ШТС
1691,,,Point,106.826109,47.956823,ШТС
1692,,,Point,107.035841,47.907729,ШТС
1693,,,Point,107.018694,47.905147,ШТС
1694,,,Point,106.992763,47.912667,ШТС
1695,,,Point,106.999576,47.9128,ШТС
1696,,,Point,106.853333,47.911455,ШТС
1697,,,Point,106.976846,47.913621,ШТС
