id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Хаяг
1900,,,Point,106.884689,47.921039,Эмийн сан,Нью ремеди,BGD-18
1901,,,Point,106.864495,47.917314,Эмийн сан,Золо Фарм,BGD-6
1902,,,Point,106.884965,47.915168,Эмийн сан,Бейссан,BGD-2
1903,,,Point,106.890771,47.914395,Эмийн сан,Хүрмэн гранп плаза,BGD-2
1904,,,Point,106.877011,47.915738,Эмийн сан,Монос туул,BGD-2
1905,,,Point,106.877002,47.914827,Эмийн сан,Жи энд Пик ХХК,BGD-2
1906,,,Point,106.879573,47.91294,Эмийн сан,Шанхат,BGD-4
1907,,,Point,106.876707,47.913635,Эмийн сан,Хонхлой арвижих,BGD-4
1908,,,Point,106.882358,47.912888,Эмийн сан,Наран эс,BGD-4
1909,,,Point,106.884931,47.909745,Эмийн сан,Юнимед,BGD-1
1910,,,Point,106.889681,47.91017,Эмийн сан,Ивээхүй эс,BGD-1
1911,,,Point,106.88542,47.913119,Эмийн сан,Мөнгөн-Үүрэгт ХХК,BGD-1
1912,,,Point,106.88369,47.912165,Эмийн сан,Хайтан тун,BGD-1
1913,,,Point,106.891663,47.915405,Эмийн сан,МОнос макс моол,BGD-16
1914,,,Point,106.890393,47.913655,Эмийн сан,НЧД,BGD-3
1915,,,Point,106.894515,47.912336,Эмийн сан,Сумараз,BGD-3
1916,,,Point,106.894472,47.91117,Эмийн сан,Их төгөл,BGD-3
1917,,,Point,106.883676,47.923678,Эмийн сан,Төхөм,BGD-15
1918,,,Point,106.887676,47.925701,Эмийн сан,Батбямба,BGD-15
1919,,,Point,106.889299,47.925748,Эмийн сан,Вест фарм,BGD-11
1920,,,Point,106.890601,47.927387,Эмийн сан,Ганга-Ц,BGD-11
1921,,,Point,106.876724,47.921275,Эмийн сан,Төгөлдөр ариун жавхлангууд,BGD-19
1922,,,Point,106.881857,47.922183,Эмийн сан,Нобо,BGD-18
1923,,,Point,106.88283,47.922612,Эмийн сан,Монос Баянгол,BGD-18
1924,,,Point,106.940799,47.912562,Эмийн сан,Од фарм,BZD-18
1925,,,Point,106.942656,47.915944,Эмийн сан,Ач фарм-24,BZD-18
1926,,,Point,106.94329,47.915495,Эмийн сан,Монос биоген эс,BZD-18
1927,,,Point,106.9367,47.918024,Эмийн сан,Булга медикал эс,BZD-15
1928,,,Point,106.940345,47.918205,Эмийн сан,Итгэл жам фарм - Сансар ХХК,BZD-15
1929,,,Point,106.934558,47.915697,Эмийн сан,Дашмаг,BZD-6
1930,,,Point,106.933417,47.918247,Эмийн сан,Билэг бат эс,BZD-6
1931,,,Point,106.933807,47.91259,Эмийн сан,Төхөм,BZD-25
1932,,,Point,106.934017,47.919455,Эмийн сан,Баянбүрэн,BZD-1
1933,,,Point,106.941054,47.924286,Эмийн сан,Хүрмэн,BZD-1
1934,,,Point,106.941182,47.925211,Эмийн сан,Ааг фарм,BZD-1
1935,,,Point,106.941493,47.92287,Эмийн сан,Хонгор,BZD-3
1936,,,Point,106.937471,47.919704,Эмийн сан,Сакура фарм,BZD-3
1937,,,Point,106.947827,47.919876,Эмийн сан,Астра фарм,BZD-4
1938,,,Point,106.948813,47.918313,Эмийн сан,Алтан мэлмий,BZD-4
1939,,,Point,106.945042,47.920212,Эмийн сан,Оригмаг,BZD-4
1940,,,Point,106.946436,47.919755,Эмийн сан,Улиастай фарм,BZD-4
1941,,,Point,106.94444,47.919044,Эмийн сан,Оригфарм,BZD-4
1942,,,Point,106.944477,47.922284,Эмийн сан,Хорго эс,BZD-7
1943,,,Point,106.950185,47.917959,Эмийн сан,Тавин ус бзс,BZD-4
1944,,,Point,106.964659,47.916963,Эмийн сан,Жаргал эрдэнэ эс,BZD-22
1945,,,Point,106.942869,47.922251,Эмийн сан,Цахиур төмөр эс,BZD-7
1946,,,Point,106.98493,47.920203,Эмийн сан,Энэрэх заяа эс,BZD-16
1947,,,Point,106.978834,47.923619,Эмийн сан,Ази фарм баянзүрх,BZD-16
1948,,,Point,106.956379,47.910447,Эмийн сан,Саргун-Асрангүй,BZD-14
1949,,,Point,106.934539,47.905319,Эмийн сан,Монос баянгол,BZD-26
1950,,,Point,106.965546,47.919368,Эмийн сан,Хүдэрбаян эс,BZD-22
1951,,,Point,106.816687,47.919342,Эмийн сан,Астра фарм эс,SHD-19
1952,,,Point,106.84648,47.9137,Эмийн сан,Болор Д эс,SHD-13
1953,,,Point,106.848124,47.912845,Эмийн сан,Их ар үр эс,SHD-13
1954,,,Point,106.880239,47.926404,Эмийн сан,Гашуун булаг,BGD-12
1955,,,Point,106.881885,47.925889,Эмийн сан,Мөнхжил,BGD-12
1956,,,Point,106.860327,47.914451,Эмийн сан,Намуун дэлбээ,BGD-5
1957,,,Point,106.864027,47.914159,Эмийн сан,Түвшинфарм,BGD-5
1958,,,Point,106.859121,47.914429,Эмийн сан,Бэришзул,BGD-5
