id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг,Үүсгэн байгуулсан он,Сургууль,Барилгын дугаар,Хичээлийн байрны дугаар,Ашиглалтад орсон он,Нэр
4989,,,Point,106.924536,47.926482,Ерөнхий боловсролын сургууль,СБД 7-р хороо 11-р хороолол Хуучин гэмтэлийн эмнэлэгийн ард,1931 - 1978,2-р сургууль,2,1,1978,2-р сургууль
4990,,,Point,106.949563,47.920236,Ерөнхий боловсролын сургууль,"БЗД 4-р хороо, Хилийн цэргийн ангийн урд",1957/2008,Русский лицей сургууль,14,1,,Русский лицей сургууль
4991,,,Point,106.919367,47.929756,Ерөнхий боловсролын сургууль,"СБД 9-р хороо,100 айлын баруун тал Өдрийн сонингийн байрны хойно",1921,3-р сургууль,3,1,2015,3-р сургууль
4992,,,Point,106.90917,47.919131,Ерөнхий боловсролын сургууль,"ЧД 1-р хороо, Худалдаачны гудамж 12-2-р байр",1957,23-р сургууль,23,2,1977,23-р сургууль
4993,,,Point,106.911856,47.915409,Ерөнхий боловсролын сургууль,"СБД 1-р хороо, Сөүлийн гудамж",1923/1940/2013,1-р сургууль,1,1,1939,1-р сургууль
4994,,,Point,106.911163,47.925122,Ерөнхий боловсролын сургууль,"ЧД 4-р хороо Бага тойруу, Анкарагийн гудамжинд",1939/1957,5-р сургууль,5,1,1957,5-р сургууль
4995,,,Point,106.906451,47.926392,Ерөнхий боловсролын сургууль,ЧД 6-р хороо,1972,50-р сургууль,50,1,1972,50-р сургууль
4996,,,Point,106.795235,47.921473,Ерөнхий боловсролын сургууль,СХД 3-р хороо Баганарангийн 44-р гудамж,1975/2001,65-р сургууль,65,1,1987,65-р сургууль
4997,,,Point,106.76358,47.859746,Ерөнхий боловсролын сургууль,ХУД 16-р хороо,1962/1972/2001,Буянт-Ухаа ЦС /7-р сургууль/,С7,1,1972,Буянт-Ухаа ЦС /7-р сургууль/
4998,,,Point,106.848509,47.954092,Ерөнхий боловсролын сургууль,"СХД 11-р хороо Хөтөл, Баянхошуу",1997/2003,105-р сургууль,105,1,1997,105-р сургууль
4999,,,Point,106.898467,47.960567,Ерөнхий боловсролын сургууль,ЧД 15-р хороо Хайлаастын хуучин эцэс,1979/2001,72-р сургууль,С72,1,1979,72-р сургууль
5000,,,Point,106.918726,47.965394,Ерөнхий боловсролын сургууль,"СБД 14-р хороо 6, 7-р буудлын хооронд",1967 - 1974,35-р сургууль,35,1,1974,35-р сургууль
5001,,,Point,106.903399,47.956903,Ерөнхий боловсролын сургууль,"ЧД 13-р хороо, хайлаастын гудамж",1972,49-р сургууль,49,1,1972,49-р сургууль
5002,,,Point,106.91321,47.929921,Ерөнхий боловсролын сургууль,СБД 9-р хороо Алтайн гудамж,1930 - 1989,4-р сургууль,4,1,1989,4-р сургууль
5003,,,Point,106.910142,47.941458,Ерөнхий боловсролын сургууль,ЧД 11-р хороо 32-ын тойргоос дэнжийн 1000-руу салсан замын урд,1974 - 1975,57-р сургууль,57,1,1974,57-р сургууль
5004,,,Point,106.931872,47.914998,Ерөнхий боловсролын сургууль,"БЗД 6-р хороо,Сэлбэ голын зүүн талд",1956,21-р сургууль,21,1,1956,21-р сургууль
5005,,,Point,106.939381,47.915962,Ерөнхий боловсролын сургууль,БЗД 18-р хороо 13-р хороололд,1989,84-р сургууль,С84,1,1989,84-р сургууль
5006,,,Point,106.947018,47.923506,Ерөнхий боловсролын сургууль,БЗД 4-р хороо 15-р хороолол Сэлэнгэ зочид буудын хажууд,1970/2008,97-р сургууль,С97,1,1970,97-р сургууль
5007,,,Point,106.956634,47.918759,Ерөнхий боловсролын сургууль,"БЗД 5-р хороо, Отгонтэнгэр их сургуулийн хойд талд",1978/1997 - 1966,Шавь цогцолбор сургууль /30-р сургууль/,30,1,1968,Шавь цогцолбор сургууль /30-р сургууль/
5008,,,Point,106.864566,47.919232,Ерөнхий боловсролын сургууль,БГД 7-р хороо,,Эрдийн Ундраа ЦС 78-р сургууль,С78,1,1984,Эрдийн Ундраа ЦС 78-р сургууль
