id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
5424,,,Point,107.110482,47.941575,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5425,,,Point,107.110744,47.910619,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5426,,,Point,107.140321,47.924119,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5427,,,Point,107.026584,47.978455,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5428,,,Point,106.716125,47.983901,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5429,,,Point,106.790345,48.010621,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5430,,,Point,106.799818,47.882912,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5431,,,Point,106.965412,47.993306,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5432,,,Point,106.950307,47.983993,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5433,,,Point,106.910567,48.113834,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5434,,,Point,106.903631,48.116615,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5435,,,Point,106.931771,48.009323,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5436,,,Point,106.528151,47.995807,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5437,,,Point,106.524812,47.928194,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5438,,,Point,106.837307,48.084773,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5439,,,Point,106.846755,48.082696,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5440,,,Point,106.905558,47.986709,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5441,,,Point,106.881268,48.123062,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5442,,,Point,106.683489,47.778234,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5443,,,Point,106.816234,47.851173,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5444,,,Point,108.32041,47.794329,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5445,,,Point,108.421468,47.775524,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5446,,,Point,108.3956,47.735828,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5447,,,Point,107.428922,47.362748,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5448,,,Point,107.436234,47.341976,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5449,,,Point,107.454722,47.364855,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5450,,,Point,107.497686,47.350772,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5451,,,Point,107.21509,47.751019,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5452,,,Point,107.335745,47.772983,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5453,,,Point,107.239882,47.78174,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5454,,,Point,107.380454,47.756291,Гамшгийн үед нүүлгэн шилжүүлэх байршил
5455,,,Point,107.342189,47.784756,Гамшгийн үед нүүлгэн шилжүүлэх байршил
