id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,"Барилга, байгууламжийн нэр"
5692,,,Point,106.91371,47.920461,Төрийн байгууллага,Тагнуулын ерөнхий газар
5693,,,Point,106.911766,47.920323,Төрийн байгууллага,"Цаг уур, орчны шинжилгээний газар"
5694,,,Point,106.912496,47.920991,Төрийн байгууллага,Шүүхийн шийдвэр гүйцэтгэх ерөнхий газар
5695,,,Point,106.915857,47.91868,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 1 байр
5696,,,Point,106.920482,47.919055,Төрийн байгууллага,City төв
5697,,,Point,106.912161,47.922889,Төрийн байгууллага,Татварын ерөнхий газар
5698,,,Point,106.914877,47.919578,Төрийн байгууллага,МОНЦАМЭ байр
5699,,,Point,106.912022,47.921191,Төрийн байгууллага,Нийгмийн даатгалын ерөнхий газрын байр
5700,,,Point,106.907884,47.921167,Төрийн байгууллага,Засгийн газрын XII байр
5701,,,Point,106.908018,47.92099,Төрийн байгууллага,Засгийн газрын XII байр
5702,,,Point,106.915385,47.918913,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 9 давхар"
5703,,,Point,106.913476,47.921843,Төрийн байгууллага,Цагдаагийн ерөнхий газрын төв байр
5704,,,Point,106.908353,47.922525,Төрийн байгууллага,Нийслэлийн онцгой байдлын газрын байр
5705,,,Point,106.912104,47.923261,Төрийн байгууллага,Нийслэлийн татварын газар
5706,,,Point,106.789751,47.841264,Төрийн байгууллага,Архивын ерөнхий газар өөрийн байранд
5707,,,Point,106.922446,47.921815,Төрийн байгууллага,Мэдээлэл технологийн парк
5708,,,Point,106.924225,47.921066,Төрийн байгууллага,Төрийн өмчийн XI байр
5709,,,Point,106.923854,47.915412,Төрийн байгууллага,
5710,,,Point,106.782487,47.85349,Төрийн байгууллага,"Гадаадын иргэн, харьяатын газар"
5711,,,Point,106.892562,47.91289,Төрийн байгууллага,Төмөр замын удирдах газар
5712,,,Point,106.849445,47.907318,Төрийн байгууллага,Зам тээврийн хөгжлийн төв өөрийн байранд
5713,,,Point,106.932788,47.918953,Төрийн байгууллага,Засгийн газрын IX байр
5714,,,Point,106.951633,47.922936,Төрийн байгууллага,Хил хамгааллын ерөнхий газрын байр
5715,,,Point,106.950728,47.918094,Төрийн байгууллага,"Стандарт, хэмжил зүйн газар"
5716,,,Point,106.908885,47.921016,Төрийн байгууллага,Засгийн газрын XII байр
5717,,,Point,106.877072,47.915472,Төрийн байгууллага,Монгол ус
5718,,,Point,106.889313,47.899634,Төрийн байгууллага,Засгийн газрын XIV байр
5719,,,Point,106.915239,47.895841,Төрийн байгууллага,Удирдлагын академи
5720,,,Point,106.889188,47.929431,Төрийн байгууллага,МҮОНРТ-ийн  байр
5721,,,Point,106.920579,47.928259,Төрийн байгууллага,МУ-ын Гаалийн ерөнхий газрын байр
5722,,,Point,106.917189,47.921075,Төрийн байгууллага,Төрийн ордон
5723,,,Point,106.912864,47.923286,Төрийн байгууллага,Засгийн газрын II байр
5724,,,Point,106.907537,47.921502,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 3 байр
5725,,,Point,106.911888,47.921325,Төрийн байгууллага,Нийгмийн даатгалын ерөнхий газрын байр
5726,,,Point,106.907367,47.921588,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 3 байр
5727,,,Point,106.877258,47.916075,Төрийн байгууллага,Нийслэлийн мал эмнэлгийн газрын байр
5728,,,Point,106.895623,47.91063,Төрийн байгууллага,Нийслэлийн Шийдвэр гүйцэтгэх албын байр
5729,,,Point,106.907752,47.922639,Төрийн байгууллага,Нийслэлийн Цагдаагийн газар
5730,,,Point,106.921261,47.919747,Төрийн байгууллага,"Нийслэлийн өмчийн I байр, Соёлын төв өргөө Г корпус"
