id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
7059,,,Point,106.940511,47.928212,Ресторан
7060,,,Point,106.939892,47.919126,Ресторан
7061,,,Point,106.876875,47.916476,Ресторан
7062,,,Point,106.916258,47.91566,Ресторан
7063,,,Point,106.902777,47.912917,Ресторан
7064,,,Point,106.914047,47.912177,Ресторан
7065,,,Point,106.890669,47.917333,Ресторан
7066,,,Point,106.906664,47.923572,Ресторан
7067,,,Point,106.762261,47.852917,Ресторан
7068,,,Point,106.890908,47.922932,Ресторан
7069,,,Point,106.902705,47.919343,Ресторан
7070,,,Point,106.913357,47.926144,Ресторан
7071,,,Point,106.92218,47.920403,Ресторан
7072,,,Point,106.906177,47.911745,Ресторан
7073,,,Point,106.923023,47.918833,Ресторан
7074,,,Point,106.9158,47.919511,Ресторан
7075,,,Point,106.897426,47.91331,Ресторан
7076,,,Point,106.910396,47.898839,Ресторан
7077,,,Point,106.915579,47.922948,Ресторан
7078,,,Point,106.915761,47.925786,Ресторан
7079,,,Point,106.943507,47.919895,Ресторан
7080,,,Point,106.906244,47.919524,Ресторан
7081,,,Point,106.898718,47.917142,Ресторан
7082,,,Point,106.935254,47.921688,Ресторан
7083,,,Point,106.875379,47.924706,Ресторан
7084,,,Point,106.913882,47.915214,Ресторан
7085,,,Point,106.876195,47.923872,Ресторан
7086,,,Point,106.878815,47.923132,Ресторан
7087,,,Point,106.944376,47.915149,Ресторан
7088,,,Point,106.855545,47.913546,Ресторан
7089,,,Point,106.91764,47.915462,Ресторан
7090,,,Point,106.918326,47.926007,Ресторан
7091,,,Point,106.909313,47.900876,Ресторан
7092,,,Point,106.908339,47.913504,Ресторан
7093,,,Point,106.91406,47.912659,Ресторан
7094,,,Point,106.90243,47.915465,Ресторан
7095,,,Point,106.932756,47.922155,Ресторан
7096,,,Point,106.943537,47.919961,Ресторан
7097,,,Point,106.934148,47.928754,Ресторан
7098,,,Point,106.944879,47.917211,Ресторан
7099,,,Point,106.973326,47.912975,Ресторан
7100,,,Point,106.921342,47.920352,Ресторан
7101,,,Point,106.900002,47.912815,Ресторан
7102,,,Point,106.893416,47.913681,Ресторан
7103,,,Point,106.893683,47.913126,Ресторан
7104,,,Point,106.889537,47.912354,Ресторан
7105,,,Point,106.864986,47.914164,Ресторан
7106,,,Point,106.934748,47.9183,Ресторан
7107,,,Point,106.911532,47.921156,Ресторан
7108,,,Point,106.911282,47.92353,Ресторан
7109,,,Point,106.897527,47.913445,Ресторан
7110,,,Point,106.909065,47.916686,Ресторан
7111,,,Point,106.884021,47.922616,Ресторан
7112,,,Point,106.918001,47.925765,Ресторан
7113,,,Point,106.91224,47.910022,Ресторан
7114,,,Point,106.915335,47.924528,Ресторан
7115,,,Point,106.90531,47.911612,Ресторан
7116,,,Point,106.959473,47.917544,Ресторан
7117,,,Point,106.911578,47.905503,Ресторан
7118,,,Point,106.907235,47.914389,Ресторан
7119,,,Point,106.876784,47.91619,Ресторан
7120,,,Point,106.91111,47.919461,Ресторан
7121,,,Point,106.902344,47.913001,Ресторан
7122,,,Point,106.944367,47.914354,Ресторан
7123,,,Point,106.906614,47.920372,Ресторан
7124,,,Point,106.883697,47.922676,Ресторан
7125,,,Point,106.890214,47.918338,Ресторан
7126,,,Point,106.888436,47.917019,Ресторан
7128,,,Point,106.918877,47.92167,Ресторан
7129,,,Point,106.916011,47.925783,Ресторан
7130,,,Point,106.900816,47.914801,Ресторан
7131,,,Point,106.919336,47.925888,Ресторан
7132,,,Point,106.903514,47.912952,Ресторан
7133,,,Point,106.919845,47.926277,Ресторан
7134,,,Point,106.911247,47.881611,Ресторан
