id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Үүсгэн байгуулсан он
7135,,,Point,106.905055,47.916936,"Дэлгүүр, худалдааны төв",2007
7136,,,Point,106.879629,47.900404,"Дэлгүүр, худалдааны төв",1993
7137,,,Point,106.867377,47.901792,"Дэлгүүр, худалдааны төв",1981
7138,,,Point,106.885251,47.894049,"Дэлгүүр, худалдааны төв",
7139,,,Point,106.866265,47.914546,"Дэлгүүр, худалдааны төв",1993
7140,,,Point,106.895176,47.91353,"Дэлгүүр, худалдааны төв",2006
7141,,,Point,106.913235,47.922347,"Дэлгүүр, худалдааны төв",
7142,,,Point,106.92522,47.928675,"Дэлгүүр, худалдааны төв",2007
7143,,,Point,106.943051,47.911966,"Дэлгүүр, худалдааны төв",2009
7144,,,Point,106.93112,47.918093,"Дэлгүүр, худалдааны төв",
7145,,,Point,106.944049,47.910187,"Дэлгүүр, худалдааны төв",2008
7146,,,Point,106.947258,47.909725,"Дэлгүүр, худалдааны төв",
7147,,,Point,106.943992,47.910976,"Дэлгүүр, худалдааны төв",2008
7148,,,Point,106.936353,47.926192,"Дэлгүүр, худалдааны төв",
7149,,,Point,106.954828,47.916676,"Дэлгүүр, худалдааны төв",
7150,,,Point,106.87899,47.911616,"Дэлгүүр, худалдааны төв",2006
7151,,,Point,106.885891,47.914236,"Дэлгүүр, худалдааны төв",
7152,,,Point,106.886291,47.915202,"Дэлгүүр, худалдааны төв",1996
7153,,,Point,106.884046,47.922648,"Дэлгүүр, худалдааны төв",
7154,,,Point,106.875008,47.922318,"Дэлгүүр, худалдааны төв",
7155,,,Point,106.868964,47.922905,"Дэлгүүр, худалдааны төв",2003
7156,,,Point,106.871154,47.922913,"Дэлгүүр, худалдааны төв",
7157,,,Point,106.895305,47.914891,"Дэлгүүр, худалдааны төв",
7158,,,Point,106.896478,47.916628,"Дэлгүүр, худалдааны төв",1995
7159,,,Point,106.88858,47.922788,"Дэлгүүр, худалдааны төв",
7160,,,Point,106.888596,47.923963,"Дэлгүүр, худалдааны төв",2007
7161,,,Point,106.934207,47.928775,"Дэлгүүр, худалдааны төв",2008
7162,,,Point,106.933517,47.928895,"Дэлгүүр, худалдааны төв",2008
7163,,,Point,106.90151,47.915332,"Дэлгүүр, худалдааны төв",2009
7164,,,Point,106.912189,47.91727,"Дэлгүүр, худалдааны төв",2001
7165,,,Point,106.913072,47.909678,"Дэлгүүр, худалдааны төв",2006
7166,,,Point,106.917821,47.913796,"Дэлгүүр, худалдааны төв",
7167,,,Point,106.888636,47.923506,"Дэлгүүр, худалдааны төв",
7168,,,Point,106.916136,47.914009,"Дэлгүүр, худалдааны төв",
7169,,,Point,106.876417,47.923168,"Дэлгүүр, худалдааны төв",
7170,,,Point,106.882908,47.923351,"Дэлгүүр, худалдааны төв",2001
7171,,,Point,106.900034,47.912836,"Дэлгүүр, худалдааны төв",1995
7172,,,Point,106.932729,47.922027,"Дэлгүүр, худалдааны төв",1995
7173,,,Point,106.906258,47.916988,"Дэлгүүр, худалдааны төв",1961
7174,,,Point,106.915086,47.926374,"Дэлгүүр, худалдааны төв",2007
7175,,,Point,106.886246,47.897793,"Дэлгүүр, худалдааны төв",2006
7176,,,Point,106.886581,47.895599,"Дэлгүүр, худалдааны төв",
7177,,,Point,106.933867,47.908743,"Дэлгүүр, худалдааны төв",
7178,,,Point,106.903208,47.921438,"Дэлгүүр, худалдааны төв",
7179,,,Point,106.91684,47.939612,"Дэлгүүр, худалдааны төв",
7180,,,Point,106.90727,47.917532,"Дэлгүүр, худалдааны төв",2009
7181,,,Point,106.935352,47.921262,"Дэлгүүр, худалдааны төв",
7182,,,Point,106.886054,47.923419,"Дэлгүүр, худалдааны төв",1999
7183,,,Point,106.938646,47.9184,"Дэлгүүр, худалдааны төв",
7184,,,Point,106.892282,47.90879,"Дэлгүүр, худалдааны төв",1995
7185,,,Point,106.900363,47.919965,"Дэлгүүр, худалдааны төв",
7186,,,Point,106.914442,47.9219,"Дэлгүүр, худалдааны төв",
7187,,,Point,106.903506,47.912957,"Дэлгүүр, худалдааны төв",
7188,,,Point,106.916736,47.922305,"Дэлгүүр, худалдааны төв",
7189,,,Point,106.94316,47.921154,"Дэлгүүр, худалдааны төв",
7190,,,Point,106.897034,47.898584,"Дэлгүүр, худалдааны төв",
7191,,,Point,106.925054,47.929438,"Дэлгүүр, худалдааны төв",
7192,,,Point,106.906726,47.916603,"Дэлгүүр, худалдааны төв",
7193,,,Point,106.83706,47.912088,"Дэлгүүр, худалдааны төв",
7194,,,Point,106.911479,47.921104,"Дэлгүүр, худалдааны төв",
7195,,,Point,106.907739,47.914191,"Дэлгүүр, худалдааны төв",2009
7196,,,Point,106.922816,47.920915,"Дэлгүүр, худалдааны төв",
7197,,,Point,106.905142,47.921348,"Дэлгүүр, худалдааны төв",
7198,,,Point,106.904342,47.911976,"Дэлгүүр, худалдааны төв",1996
7199,,,Point,106.90807,47.895552,"Дэлгүүр, худалдааны төв",2009
7200,,,Point,106.982146,47.914627,"Дэлгүүр, худалдааны төв",
7201,,,Point,106.935901,47.927472,"Дэлгүүр, худалдааны төв",
7202,,,Point,106.905066,47.913644,"Дэлгүүр, худалдааны төв",
7203,,,Point,106.915934,47.928351,"Дэлгүүр, худалдааны төв",
7204,,,Point,106.934058,47.923009,"Дэлгүүр, худалдааны төв",2016
7205,,,Point,106.836509,47.910241,"Дэлгүүр, худалдааны төв",2015
7206,,,Point,106.93351,47.917301,"Дэлгүүр, худалдааны төв",2009
7207,,,Point,107.000651,47.928922,"Дэлгүүр, худалдааны төв",1991
7208,,,Point,106.926837,47.931208,"Дэлгүүр, худалдааны төв",1994
7209,,,Point,106.902128,47.942402,"Дэлгүүр, худалдааны төв",1995
7210,,,Point,106.901468,47.94631,"Дэлгүүр, худалдааны төв",
7211,,,Point,106.881299,47.922149,"Дэлгүүр, худалдааны төв",
7212,,,Point,106.874875,47.91529,"Дэлгүүр, худалдааны төв",
7213,,,Point,106.818385,47.922709,"Дэлгүүр, худалдааны төв",
7214,,,Point,106.903058,47.909604,"Дэлгүүр, худалдааны төв",
7215,,,Point,106.91154,47.90545,"Дэлгүүр, худалдааны төв",
7216,,,Point,106.908433,47.90014,"Дэлгүүр, худалдааны төв",
7217,,,Point,106.901225,47.9022,"Дэлгүүр, худалдааны төв",1974
7218,,,Point,106.88765,47.895023,"Дэлгүүр, худалдааны төв",
7219,,,Point,106.911247,47.881611,"Дэлгүүр, худалдааны төв",2008
7220,,,Point,106.890506,47.914415,"Дэлгүүр, худалдааны төв",2009
7221,,,Point,106.846425,47.911726,"Дэлгүүр, худалдааны төв",2009
7222,,,Point,106.901638,47.922861,"Дэлгүүр, худалдааны төв",2014
7223,,,Point,106.919468,47.916279,"Дэлгүүр, худалдааны төв",
7224,,,Point,106.929434,47.907934,"Дэлгүүр, худалдааны төв",2006
7225,,,Point,106.907876,47.908772,"Дэлгүүр, худалдааны төв",2002
7226,,,Point,106.900762,47.912872,"Дэлгүүр, худалдааны төв",
7227,,,Point,106.908202,47.914303,"Дэлгүүр, худалдааны төв",
7228,,,Point,106.92505,47.91833,"Дэлгүүр, худалдааны төв",2008
7229,,,Point,106.926271,47.922598,"Дэлгүүр, худалдааны төв",
7230,,,Point,106.982201,47.91199,"Дэлгүүр, худалдааны төв",2016
7231,,,Point,106.990181,47.912374,"Дэлгүүр, худалдааны төв",
7232,,,Point,106.988497,47.912254,"Дэлгүүр, худалдааны төв",
7233,,,Point,106.947521,47.92507,"Дэлгүүр, худалдааны төв",2008
7234,,,Point,106.940029,47.923425,"Дэлгүүр, худалдааны төв",1965
7235,,,Point,106.792588,47.90845,"Дэлгүүр, худалдааны төв",2005
7236,,,Point,106.853831,47.913365,"Дэлгүүр, худалдааны төв",
7237,,,Point,106.837359,47.912148,"Дэлгүүр, худалдааны төв",
7238,,,Point,106.817312,47.918222,"Дэлгүүр, худалдааны төв",2009
7239,,,Point,106.827992,47.911643,"Дэлгүүр, худалдааны төв",2008
7240,,,Point,106.839116,47.96011,"Дэлгүүр, худалдааны төв",2013
7241,,,Point,106.905705,47.921257,"Дэлгүүр, худалдааны төв",1996
7242,,,Point,107.000941,47.912199,"Дэлгүүр, худалдааны төв",2011
7243,,,Point,106.890936,47.922488,"Дэлгүүр, худалдааны төв",2011
7244,,,Point,106.888965,47.896555,"Дэлгүүр, худалдааны төв",
7245,,,Point,106.96311,47.916207,"Дэлгүүр, худалдааны төв",2013
7246,,,Point,106.944357,47.914041,"Дэлгүүр, худалдааны төв",2013
7247,,,Point,106.915669,47.94117,"Дэлгүүр, худалдааны төв",2009
7248,,,Point,106.92729,47.927696,"Дэлгүүр, худалдааны төв",2012
7249,,,Point,106.90219,47.91626,"Дэлгүүр, худалдааны төв",2009
7250,,,Point,106.921646,47.913444,"Дэлгүүр, худалдааны төв",2016
7251,,,Point,106.851228,47.878561,"Дэлгүүр, худалдааны төв",2015
7252,,,Point,106.830563,47.8719,"Дэлгүүр, худалдааны төв",2015
7253,,,Point,106.817625,47.920451,"Дэлгүүр, худалдааны төв",2014
7254,,,Point,106.895683,47.909986,"Дэлгүүр, худалдааны төв",
7255,,,Point,106.785085,47.858302,"Дэлгүүр, худалдааны төв",2016
7256,,,Point,106.909606,47.888092,"Дэлгүүр, худалдааны төв",2014
7257,,,Point,106.930372,47.901092,"Дэлгүүр, худалдааны төв",2013
7258,,,Point,107.002869,47.911159,"Дэлгүүр, худалдааны төв",2011
7259,,,Point,106.921577,47.918861,"Дэлгүүр, худалдааны төв",2012
7260,,,Point,107.218263,47.791747,"Дэлгүүр, худалдааны төв",2015
7261,,,Point,106.924864,48.005275,"Дэлгүүр, худалдааны төв",2015
7262,,,Point,106.917773,47.962347,"Дэлгүүр, худалдааны төв",2016
7263,,,Point,106.805453,47.864111,"Дэлгүүр, худалдааны төв",2017
7264,,,Point,106.870066,47.922888,"Дэлгүүр, худалдааны төв",2009
7265,,,Point,106.938185,47.908785,"Дэлгүүр, худалдааны төв",2011
7266,,,Point,107.216581,47.791251,"Дэлгүүр, худалдааны төв",2007
7267,,,Point,106.765628,47.919841,"Дэлгүүр, худалдааны төв",2001
7268,,,Point,106.825741,47.954075,"Дэлгүүр, худалдааны төв",2017
7269,,,Point,106.825867,47.954246,"Дэлгүүр, худалдааны төв",2014
7270,,,Point,106.826409,47.953798,"Дэлгүүр, худалдааны төв",2014
7271,,,Point,106.840398,47.955617,"Дэлгүүр, худалдааны төв",2011
7272,,,Point,106.746395,47.919212,"Дэлгүүр, худалдааны төв",2012
7273,,,Point,106.815035,47.921832,"Дэлгүүр, худалдааны төв",2012
7274,,,Point,106.852211,47.953978,"Дэлгүүр, худалдааны төв",2014
7275,,,Point,106.822049,47.911369,"Дэлгүүр, худалдааны төв",2011
7276,,,Point,106.820276,47.910911,"Дэлгүүр, худалдааны төв",2015
7277,,,Point,106.823367,47.911224,"Дэлгүүр, худалдааны төв",2017
7278,,,Point,106.804763,47.910533,"Дэлгүүр, худалдааны төв",2012
