id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр
11297,,,Point,106.763937,47.859464,Спорт заалууд,7 сургууль
11298,,,Point,106.894987,47.900335,Спорт заалууд,18 сургууль
11299,,,Point,106.803836,47.865723,Спорт заалууд,60 сургууль
11300,,,Point,106.829558,47.866723,Спорт заалууд,63 сургууль
11301,,,Point,106.818165,47.869696,Спорт заалууд,41 сургууль
11302,,,Point,106.83211,47.873275,Спорт заалууд,34 сургууль
11303,,,Point,106.910361,47.88392,Спорт заалууд,32 сургууль
11304,,,Point,106.898542,47.901109,Спорт заалууд,15 сургууль
11305,,,Point,106.905708,47.901466,Спорт заалууд,52 сургууль
11306,,,Point,106.558583,47.754195,Спорт заалууд,26 сургууль
11307,,,Point,106.67837,47.845259,Спорт заалууд,10 сургууль
11308,,,Point,106.763239,47.866297,Спорт заалууд,114 сургууль
11309,,,Point,106.970039,47.915098,Спорт заалууд,14 сургууль
11310,,,Point,107.162615,47.810206,Спорт заалууд,88 сургууль
11311,,,Point,106.936466,47.925916,Спорт заалууд,48 сургууль
11312,,,Point,106.884113,47.925433,Спорт заалууд,40 сургууль
11313,,,Point,106.868687,47.923871,Спорт заалууд,13 сургууль дотор
11314,,,Point,106.792897,47.907258,Спорт заалууд,19 сургууль
11315,,,Point,106.941639,47.916061,Спорт заалууд,129 цэцэрлэг
11316,,,Point,106.866496,47.925958,Спорт заалууд,113-р сургуулийн 3 давхарт
11317,,,Point,106.911825,47.915475,Спорт заалууд,1 сургууль
11318,,,Point,106.919104,47.929687,Спорт заалууд,3 сургууль
11319,,,Point,106.924197,47.926516,Спорт заалууд,2 сургууль
11320,,,Point,106.913179,47.929996,Спорт заалууд,4 сургууль
11321,,,Point,106.898066,47.910226,Спорт заалууд,6 сургууль
11322,,,Point,106.897936,47.915048,Спорт заалууд,11 сургууль
11323,,,Point,106.929652,47.920932,Спорт заалууд,25 сургууль
11324,,,Point,106.920153,47.932382,Спорт заалууд,16 сургууль
11325,,,Point,106.908651,47.909704,Спорт заалууд,31 сургууль
11326,,,Point,106.918734,47.9654,Спорт заалууд,35 сургууль
11327,,,Point,106.902902,47.914039,Спорт заалууд,45 сургууль
11328,,,Point,106.934342,47.978181,Спорт заалууд,58 сургууль
11329,,,Point,106.910142,47.913738,Спорт заалууд,ӨЗБЛАСургууль
11330,,,Point,106.906587,47.926394,Спорт заалууд,50 сургууль
11331,,,Point,106.982742,47.919683,Спорт заалууд,82-р цэцэрлэг
11332,,,Point,106.902973,47.970974,Спорт заалууд,37 сургууль
11333,,,Point,106.909125,47.91933,Спорт заалууд,23 сургууль
11334,,,Point,106.901517,47.918051,Спорт заалууд,24 сургууль
11335,,,Point,107.03455,47.913796,Спорт заалууд,6 цэцэрлэг
11336,,,Point,106.939618,47.911156,Спорт заалууд,111 сургууль
11337,,,Point,106.931706,47.914962,Спорт заалууд,21 сургууль
11338,,,Point,106.996029,47.920183,Спорт заалууд,92 сургууль
11339,,,Point,107.036581,47.918566,Спорт заалууд,87 сургууль
11340,,,Point,107.001401,47.913584,Спорт заалууд,Амгалан цогцолбор сургууль
11341,,,Point,106.957126,47.918763,Спорт заалууд,Шавь цогцолбор
11342,,,Point,106.986203,47.916099,Спорт заалууд,Баянзүрх цогцолбор
11343,,,Point,106.93935,47.915987,Спорт заалууд,84 сургууль
11344,,,Point,107.004929,47.932837,Спорт заалууд,79 сургууль
11345,,,Point,106.980804,47.920442,Спорт заалууд,44 сургууль
11346,,,Point,106.940176,47.922497,Спорт заалууд,33 сургууль
11347,,,Point,106.898758,47.96053,Спорт заалууд,72 сургууль
11348,,,Point,106.91043,47.941425,Спорт заалууд,57 сургууль
11349,,,Point,106.906781,47.936141,Спорт заалууд,39 сургууль
11350,,,Point,106.9109,47.925244,Спорт заалууд,5 сургууль
11351,,,Point,106.912521,47.948358,Спорт заалууд,17 сургууль
11352,,,Point,106.878603,47.921626,Спорт заалууд,47 сургууль
11353,,,Point,106.872183,47.919466,Спорт заалууд,77 сургууль
11354,,,Point,106.882265,47.919994,Спорт заалууд,70 сургууль
11355,,,Point,106.881516,47.913549,Спорт заалууд,20 сургууль
11356,,,Point,106.87848,47.916491,Спорт заалууд,51 сургууль
11357,,,Point,106.879268,47.910407,Спорт заалууд,38 сургууль
11358,,,Point,106.884209,47.917434,Спорт заалууд,Монгени цогцолбор сургууль
11359,,,Point,106.869454,47.919238,Спорт заалууд,Эрдмийн ундраа цогцолбор сургууль 54
11360,,,Point,106.865943,47.916009,Спорт заалууд,Эрдмийн өргөө цогцолбор сургууль 54
11361,,,Point,106.891028,47.910874,Спорт заалууд,Гэгээрэл сургууль
11362,,,Point,106.886071,47.920862,Спорт заалууд,Оюуны ундраа цогцолбор сургууль
11363,,,Point,106.869351,47.919995,Спорт заалууд,93 сургууль
11364,,,Point,106.863722,47.919555,Спорт заалууд,78 сургууль
11365,,,Point,106.885602,47.918734,Спорт заалууд,Русская гимназия
11366,,,Point,106.87508,47.924136,Спорт заалууд,Гурван тамир
11367,,,Point,106.889736,47.916842,Спорт заалууд,Эхлэл сургууль
11368,,,Point,106.893826,47.910291,Спорт заалууд,Монгол од
11369,,,Point,106.886191,47.91732,Спорт заалууд,Мон-Алтиус БТДС
11370,,,Point,106.890168,47.916326,Спорт заалууд,Сан дээд сургууль
11371,,,Point,106.887529,47.917291,Спорт заалууд,Сургуулийн өмнөх боловсролын сургууль
11372,,,Point,106.859604,47.916113,Спорт заалууд,Сувлахуйн сургууль
11373,,,Point,106.893346,47.915619,Спорт заалууд,Баригын политехникийн коллеж
11374,,,Point,106.861098,47.914395,Спорт заалууд,Техник технологийн дээд сургууль
11375,,,Point,106.866956,47.916957,Спорт заалууд,Эрдмийн өргөө цогцолбор сургууль
11376,,,Point,106.805278,47.896611,Спорт заалууд,ДЦС-4
11377,,,Point,106.809443,47.90474,Спорт заалууд,ДЦС-2
11378,,,Point,106.888452,47.912875,Спорт заалууд,Ахмадын өргөө
11379,,,Point,106.859624,47.914192,Спорт заалууд,Христийн сүм
11380,,,Point,106.800837,47.885625,Спорт заалууд,Хавай спорт центр
11381,,,Point,106.930506,47.938548,Спорт заалууд,102 сургууль
11382,,,Point,106.938839,47.911141,Спорт заалууд,Шинэ монгол сургууль
11383,,,Point,106.946302,47.923582,Спорт заалууд,97 сургууль
11384,,,Point,106.980881,47.919458,Спорт заалууд,53 сургууль
11385,,,Point,107.070224,47.919117,Спорт заалууд,120 сургууль
11386,,,Point,106.986707,47.91561,Спорт заалууд,Баянзүрх цогцолбор
11387,,,Point,106.966112,47.915487,Спорт заалууд,55 сургууль
11388,,,Point,106.961994,47.920657,Спорт заалууд,Шавь цогцолбор
11389,,,Point,107.156777,47.926489,Спорт заалууд,85 сургууль
11390,,,Point,106.969684,47.942322,Спорт заалууд,137 сургууль
11391,,,Point,106.945442,47.952684,Спорт заалууд,127 сургууль
11392,,,Point,106.938385,47.916592,Спорт заалууд,Оюунлаг сургууль
11393,,,Point,106.934841,47.915026,Спорт заалууд,Арвис бүрэн дунд сургууль
11394,,,Point,106.944849,47.911789,Спорт заалууд,Улаанбаатар бүрэн дунд сургууль
11395,,,Point,106.983177,47.913876,Спорт заалууд,Хишиг бүрэн дунд сургууль
11396,,,Point,106.944228,47.904279,Спорт заалууд,Глобал
11397,,,Point,107.001456,47.914104,Спорт заалууд,Улаанбаатар импати
11398,,,Point,106.947523,47.917041,Спорт заалууд,Плехановын нэрэгмжит сургууль
11399,,,Point,106.995879,47.915429,Спорт заалууд,Хууль сахиулахын их сургууль Соёмбо ССтөв
11400,,,Point,107.107708,47.882593,Спорт заалууд,90 бага сургууль
11401,,,Point,106.9319,47.919159,Спорт заалууд,ХХААХҮЯам
11402,,,Point,106.986154,47.928105,Спорт заалууд,Газарчин дээд сургууль
11403,,,Point,106.972368,47.918131,Спорт заалууд,ЗХ Алдар спорт хороо
11404,,,Point,106.952517,47.92397,Спорт заалууд,Их засаг их сургууль
11405,,,Point,106.988156,47.919793,Спорт заалууд,Батлан хамгаалах их сургууль
11406,,,Point,106.973783,47.914758,Спорт заалууд,Монголын олон улсын дээд сургууль фитнес зал
11407,,,Point,106.955267,47.918092,Спорт заалууд,Отгон тэнгэр ИС
11408,,,Point,106.956696,47.919608,Спорт заалууд,Улаанбаатар ИС
11409,,,Point,106.930965,47.919334,Спорт заалууд,Санхүү эдийн засгийн ИС
11410,,,Point,106.941503,47.911232,Спорт заалууд,Олон улсын Улаанбаатар ИС
11411,,,Point,106.943812,47.927597,Спорт заалууд,ШУТИС БУХИС
11412,,,Point,106.966282,47.921004,Спорт заалууд,ШУТИС МХТИС
11413,,,Point,108.37475,47.785131,Спорт заалууд,"Биеийн тамир, спортын хорооны заал"
11414,,,Point,108.375575,47.781403,Спорт заалууд,125 сургууль
11415,,,Point,108.371193,47.777469,Спорт заалууд,Уурхайчин спорт заал
11416,,,Point,108.372304,47.780773,Спорт заалууд,Боловсрол цогцолбор сургууль
11417,,,Point,108.374357,47.782784,Спорт заалууд,Боловсрол цогцолбор
11418,,,Point,108.367342,47.783928,Спорт заалууд,Гүн галуутай цогцолбор сургууль
11419,,,Point,107.432828,47.349809,Спорт заалууд,"Биеийн тамир, спорт хороо"
11420,,,Point,107.429586,47.351194,Спорт заалууд,Хангай цогцолбор Б байр
11421,,,Point,107.491062,47.352149,Спорт заалууд,Хангай цогцолбор А байр
11422,,,Point,107.25352,47.774592,Спорт заалууд,Голомт цогцолбор ахлах сургууль
11423,,,Point,107.252159,47.774681,Спорт заалууд,Голомт цогцолбор бага сургууль
11424,,,Point,107.248975,47.7691,Спорт заалууд,Эрдмийн оргил цогцолбор сургууль
11425,,,Point,107.2451,47.767848,Спорт заалууд,119 сургууль
11426,,,Point,107.267275,47.765266,Спорт заалууд,109 сургууль
11427,,,Point,107.25059,47.778544,Спорт заалууд,"Гэр бүл, Хүүхэд, Залуучуудын хөгжлийн хэлтэс"
11428,,,Point,107.258859,47.789122,Спорт заалууд,353-р цэргийн анги
11429,,,Point,107.254888,47.766802,Спорт заалууд,Уул уурхайн аврах анги
11430,,,Point,107.252031,47.767572,Спорт заалууд,Мэргэжил сургалт үйлдвэрлэлийн төв
11431,,,Point,106.78487,47.919293,Спорт заалууд,Star спорт заал
11432,,,Point,106.831773,47.956027,Спорт заалууд,Хан чандсань спорт заал
11433,,,Point,106.810002,47.924792,Спорт заалууд,СХД цагдаагийн 1-р хэлтэс
11434,,,Point,106.815691,47.927199,Спорт заалууд,Sm спорт заал
11435,,,Point,106.776301,47.915626,Спорт заалууд,42 сургууль
11436,,,Point,106.813288,47.92252,Спорт заалууд,Их засаг ИС
11437,,,Point,106.78495,47.906715,Спорт заалууд,Монос дээд сургууль
11438,,,Point,106.739505,47.9276,Спорт заалууд,123 сургууль
11439,,,Point,106.695631,47.919909,Спорт заалууд,122 сургууль
11440,,,Point,106.555739,47.99749,Спорт заалууд,121 сургууль
