id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
12197,1,Манлайбаатар Дамдинсүрэнгийн гудамж,LineString,106.936866,47.912737,"Гудамж, талбайн нэр"
12198,2,Дандарбаатарын гудамж,LineString,106.973864,47.920015,"Гудамж, талбайн нэр"
12199,148,Улаанхуарангийн гудамж,LineString,106.979761,47.917172,"Гудамж, талбайн нэр"
12200,5,Б.Доржийн гудамж,LineString,106.957039,47.92567,"Гудамж, талбайн нэр"
12201,7,Цагдаагийн гудамж,LineString,106.921232,47.934932,"Гудамж, талбайн нэр"
12202,8,Эрхүүгийн гудамж,LineString,106.927152,47.926361,"Гудамж, талбайн нэр"
12203,9,Токиогийн гудамж,LineString,106.935995,47.923538,"Гудамж, талбайн нэр"
12204,10,Залуучуудын гудамж,LineString,106.938352,47.92386,"Гудамж, талбайн нэр"
12205,12,Ж.Лхагвасүрэнгийн гудамж,LineString,106.952319,47.919459,"Гудамж, талбайн нэр"
12206,13,Ж.Самбуугийн гудамж,LineString,106.911499,47.921943,"Гудамж, талбайн нэр"
12207,14,Төмөрчний гудамж,LineString,106.902874,47.920412,"Гудамж, талбайн нэр"
12208,15,Баруун Сэлбийн гудамж,LineString,106.906614,47.91906,"Гудамж, талбайн нэр"
12209,17,Ц.Жигжиджавын гудамж,LineString,106.915725,47.918949,"Гудамж, талбайн нэр"
12210,18,Сүхбаатарын гудамж,LineString,106.914905,47.925505,"Гудамж, талбайн нэр"
12211,19,Их сургуулийн гудамж,LineString,106.917839,47.925674,"Гудамж, талбайн нэр"
12212,21,Ерөнхий сайд Амарын гудамж,LineString,106.921059,47.920102,"Гудамж, талбайн нэр"
12213,22,П.Гэндэнгийн гудамж,LineString,106.918443,47.913667,"Гудамж, талбайн нэр"
12214,23,Жамъяан гүний гудамж,LineString,106.918085,47.915829,"Гудамж, талбайн нэр"
12215,24,Д.Чойдогийн гудамж,LineString,106.92177,47.916322,"Гудамж, талбайн нэр"
12216,25,Олимпийн гудамж,LineString,106.922972,47.912769,"Гудамж, талбайн нэр"
12217,27,Өндөр гэгээн Занабазарын гудамж,LineString,106.894858,47.918627,"Гудамж, талбайн нэр"
12218,28,С.Чоймболын гудамж,LineString,106.898468,47.917078,"Гудамж, талбайн нэр"
12219,29,Сайн ноён хан Намнансүрэнгийн гудамж,LineString,106.902254,47.914487,"Гудамж, талбайн нэр"
12220,30,Хичээнгүй сайд Цэрэндоржийн гудамж,LineString,106.906691,47.915023,"Гудамж, талбайн нэр"
12221,31,С.Амарсанаагийн гудамж,LineString,106.890839,47.91906,"Гудамж, талбайн нэр"
12222,32,Жалханз Хутагт Дамдинбазарын гудамж,LineString,106.883609,47.918344,"Гудамж, талбайн нэр"
12223,33,Чингүнжавын гудамж,LineString,106.876313,47.918485,"Гудамж, талбайн нэр"
12224,34,Дилав хутагт Жамсранжавын гудамж,LineString,106.865709,47.918475,"Гудамж, талбайн нэр"
12225,35,Хасбаатарын гудамж,LineString,106.878696,47.925176,"Гудамж, талбайн нэр"
12226,37,Ард Аюушийн өргөн чөлөө,LineString,106.865467,47.917863,"Гудамж, талбайн нэр"
12227,38,Замчдын гудамж,LineString,106.88625,47.910706,"Гудамж, талбайн нэр"
12228,39,Үйлдвэрчний эвлэлийн гудамж,LineString,106.817865,47.915937,"Гудамж, талбайн нэр"
12229,40,Нарны зам,LineString,106.924465,47.910837,"Гудамж, талбайн нэр"
12230,42,Энгельсийн гудамж,LineString,106.893893,47.903072,"Гудамж, талбайн нэр"
12231,44,Сонсголонгийн зам,LineString,106.786122,47.882737,"Гудамж, талбайн нэр"
12232,45,Наадамчдын зам,LineString,106.815701,47.870665,"Гудамж, талбайн нэр"
12233,46,Зайсангийн гудамж,LineString,106.909724,47.891066,"Гудамж, талбайн нэр"
12234,47,Хатанбаатар Магсаржавын гудамж,LineString,106.884031,47.912188,"Гудамж, талбайн нэр"
12235,153,Партизаны гудамж,LineString,106.898757,47.914285,"Гудамж, талбайн нэр"
12236,49,Б.Шаравын гудамж,LineString,106.896109,47.898814,"Гудамж, талбайн нэр"
12237,50,То вангийн гудамж,LineString,106.901052,47.900902,"Гудамж, талбайн нэр"
12238,51,Да хүрээ гудамж,LineString,106.986556,47.92678,"Гудамж, талбайн нэр"
12239,52,Г.Бумцэндийн гудамж,LineString,106.911595,47.926792,"Гудамж, талбайн нэр"
12240,54,Ажилчны гудамж,LineString,106.865684,47.90307,"Гудамж, талбайн нэр"
12241,55,Нэгдсэн үндэстний гудамж,LineString,106.916435,47.924747,"Гудамж, талбайн нэр"
12242,56,Усны гудамж,LineString,106.907915,47.911138,"Гудамж, талбайн нэр"
12243,57,Чин ван Ханддоржийн гудамж,LineString,106.909002,47.915306,"Гудамж, талбайн нэр"
12244,59,Хувьсгалын зам,LineString,106.870473,47.938768,"Гудамж, талбайн нэр"
12245,60,Дунд голын гудамж,LineString,106.902762,47.904063,"Гудамж, талбайн нэр"
12246,63,Оюутны гудамж,LineString,106.9271,47.919101,"Гудамж, талбайн нэр"
12247,64,Үндсэн хуулийн гудамж,LineString,106.894692,47.912065,"Гудамж, талбайн нэр"
12248,77,Денверийн гудамж,LineString,106.930397,47.926584,"Гудамж, талбайн нэр"
12249,114,Эв нэгдлийн гудамж,LineString,106.874759,47.897478,"Гудамж, талбайн нэр"
12250,113,Хуульчдын гудамж,LineString,106.913402,47.921319,"Гудамж, талбайн нэр"
12251,72,Цэнд гүний гудамж,LineString,106.93688,47.922394,"Гудамж, талбайн нэр"
12252,104,Анкарагийн гудамж,LineString,106.912739,47.924056,"Гудамж, талбайн нэр"
12253,6,Их тойруу,LineString,106.918971,47.922543,"Гудамж, талбайн нэр"
12254,68,Намъянжугийн гудамж,LineString,106.943601,47.913563,"Гудамж, талбайн нэр"
12255,112,Д.Чимид-Осорын гудамж,LineString,106.907182,47.901912,"Гудамж, талбайн нэр"
12257,115,Ю.Цэдэнбалын талбай,LineString,106.91497,47.915158,"Гудамж, талбайн нэр"
12258,78,Сансрын нисгэгчдийн талбай,LineString,106.939779,47.923441,"Гудамж, талбайн нэр"
12259,62,Д.Сүхбаатарын талбай,LineString,106.917548,47.91948,"Гудамж, талбайн нэр"
12260,66,Тусгаар тогтнолын талбай,LineString,106.905969,47.922612,"Гудамж, талбайн нэр"
