id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Автобусны дугаар,Нэр
12768,,,Point,106.851815,47.912856,Автобусны буудал,"М4, М5, М6, М12, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, М53, ХО Найрамдал",Саппора (том)
12769,,,Point,106.853319,47.912561,Автобусны буудал,"М4, М5, М6, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, М53, ХО Найрамдал",Саппора (том)
12770,,,Point,106.847234,47.912112,Автобусны буудал,"М4, М5, М12, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, М53, ХО Найрамдал",Цамбагарав
12771,,,Point,106.845409,47.912397,Автобусны буудал,"М4, М5, М6, М12, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, М53, ХО Найрамдал",Цамбагарав
12772,,,Point,106.839464,47.911935,Автобусны буудал,"М4, М5, М6, М12, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, М53, ХО Найрамдал",19-р байр (том)
12773,,,Point,106.839174,47.911539,Автобусны буудал,"М4, М5, М12, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, М53, ХО Найрамдал",Хар хорин
12774,,,Point,106.83272,47.911418,Автобусны буудал,"М4, М5, М6, М12, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, ХО Найрамдал",32-р байр
12775,,,Point,106.833581,47.911042,Автобусны буудал,"М4, М5, М12, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, М53, ХО Найрамдал",32-р байр
12776,,,Point,106.832768,47.915391,Автобусны буудал,М53,34-р байр
12777,,,Point,106.832219,47.915457,Автобусны буудал,М53,34-р байр
12778,,,Point,106.846621,47.916792,Автобусны буудал,М6,11-р байр
12779,,,Point,106.852161,47.917055,Автобусны буудал,М6,1-р байр
12780,,,Point,106.840607,47.916961,Автобусны буудал,М6,23-р байр
12781,,,Point,106.839197,47.916728,Автобусны буудал,М6,23-р байр
12782,,,Point,106.82645,47.910571,Автобусны буудал,"М4, М5, М6, М12, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, М53, ХО Найрамдал",Монгол хюндэй киа компани
12783,,,Point,106.823982,47.910761,Автобусны буудал,"М4, М5, М6, М12, М17, М22, М23, М24, М26, М27, М31, М37, М39, М41, М44, М46, Т2, М32, М35, М36, М53, ХО Найрамдал",Сүлжмэлийн үйлдвэр
12784,,,Point,106.814475,47.909557,Автобусны буудал,"М17, М22, М27, М31, М37, М41, М35, ХО Найрамдал",5 шар
12785,,,Point,106.81355,47.909914,Автобусны буудал,"М17, М22, М27, М31, М37, М41, М35, ХО Найрамдал",5 шар
12786,,,Point,106.798339,47.909742,Автобусны буудал,"М17, М37, М41, ХО Найрамдал",10 буудал
12787,,,Point,106.799347,47.90958,Автобусны буудал,"М17, М37, М41, ХО Найрамдал",10 буудал
12788,,,Point,106.787208,47.910446,Автобусны буудал,"М17, М37, М41, ХО Найрамдал",Нефьт хотхон
12789,,,Point,106.786674,47.910622,Автобусны буудал,"М17, М37, М41, ХО Найрамдал",Нефьт хотхон
12790,,,Point,106.779183,47.910436,Автобусны буудал,"М17, ХО Найрамдал",Цэргийн байр
12791,,,Point,106.77925,47.910311,Автобусны буудал,"М17, ХО Найрамдал",Цэргийн байр
12792,,,Point,106.762756,47.907913,Автобусны буудал,"М17, ХО Найрамдал",Хүнс трейд
12793,,,Point,106.763111,47.907488,Автобусны буудал,"М17, ХО Найрамдал",Хүнс трейд
12794,,,Point,106.749806,47.91646,Автобусны буудал,М17,Орбитын хуучин эцэс
12795,,,Point,106.75067,47.915954,Автобусны буудал,"М17, ХО Найрамдал",Орбитын хуучин эцэс
12796,,,Point,106.738714,47.911789,Автобусны буудал,М17,05-р цэргийн анги (Орбит)
