id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Дүүрэг,Хороо,Хаягийн бүс
30787,,Аэросити дагуул хотын суурьшлын бүсийн хил,Polygon,106.818642,47.642182,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Аэросити дагуул хот,,,
30788,,361-ын гарам хаяа тосгоны суурьшлын бүсийн хил хязгаар,Polygon,106.550558,47.996112,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",361-ийн Гарам хаяа тосгон,,,
30789,,Аргалант-Эмээлт хаяа тосгоны суурьшлын бүсийн хил хязгаар,Polygon,106.56771,47.850656,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Аргалант-Эмээлт хаяа хот,,,
30790,,Багахангай дагуул хотын суурьшлын бүсийн хил хязгаар,Polygon,107.460563,47.36383,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Багахангай дагуул хот,,,
30791,,Багануур дагуул хотын суурьшлын бүсийн хил хязгаар,Polygon,108.380109,47.749566,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Багануур дагуул хот,,,
30792,,"Био Сонгино, Туул хаяа тосгоны суурьшлын бүсийн хил хязгаар",Polygon,106.610354,47.799343,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс","Биосонгино, Туул хаяа тосгон",,,
30793,,Гачуурт хаяа тосгоны суурьшлын бүсийн хил хязгаар,Polygon,107.143058,47.936768,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Гачуурт хаяа тосгон,,,
30794,,Хонхор хаяа хотын суурьшлын бүсийн хил хязгаар,Polygon,107.190342,47.795347,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Хонхор хаяа хот,,,
30795,,Жаргалант хаяа тосгоны суурьшлын бүсийн хил хязгаар,Polygon,106.636699,48.125502,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Жаргалант хаяа тосгон,,,
30796,,Налайх хаяа хотын суурьшлын бүсийн хил хязгаар,MultiPolygon,107.318298,47.772389,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Налайх хаяа хот,,,
30797,,Рашаант хаяа тосгоны суурьшлын бүсийн хил хязгаар,Polygon,106.573222,48.06187,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Рашаант хаяа тосгон,,,
30798,,Өлзийт хаяа тосгоны суурьшлын бүсийн хил хязгаар,Polygon,106.711652,47.783548,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Өлзийт хаяа тосгон,,,
1437329,,,Polygon,106.670561,48.184748,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс","""Агро сити"" Эдийн засгийн тусгай бүс",Сонгинохайрхан,21-р хороо,"335-ын гарам /18217/, Суурьшилгүй бүс /18501/, Тарвагатайн урд ам /18330/, Нарийны хөндий /18480/, Бороочийн ам /18212/, Суурьшилгүй бүс /18218/, Цагаанчулуутын ам /18210/, Халзангийн ам /18215/, Өвөр уулын овоо /18213/, Хүйн хөндий /18216/"
1439771,,,Polygon,106.790422,47.626962,"Дагуул хаяа хотын суурьшлын бүсийн хязгаар, Эдийн засгийн тусгай бүс",Шинэ Зуунмод,Хан-Уул,13-р хороо,"Шувуун фабрик-2 /17172/, Шувуун фабрик-1 /17170/"
