id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Батлагдсан дугаар,Дүүрэг,Хороо,Хаягийн бүс
32568,,,Polygon,106.898998,47.930334,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Дэнжийн 1000 орчмын ХЕТ,А/1041,,,
32569,,,Polygon,106.891249,47.929327,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,МҮОНРТ орчмын ХЕТ,А/831,,,
32570,,,Polygon,106.895316,47.920082,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Гандантэгчинлэн хийд орчмийн ХЕТ,7.29,,,
32571,,,Polygon,106.926613,47.938042,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 7-р хорооллийн ХЕТ,А/635,,,
32572,,,Polygon,106.900453,47.958903,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,72-р сургууль орчмийн ХЕТ,"А/465, А/538",,,
32573,,,Polygon,106.888127,47.934192,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,МҮОНРТ орчмын ХЕТ,А/962,,,
32574,,,Polygon,106.851318,47.961671,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Арьс ширний үйлдвэрийн ажилчдын байр орчмийн ХЕТ,"А/243, А/1042",,,
32575,,,Polygon,106.81797,47.933081,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,"СХД-ийн 5,6,7-р хороо",А/1043,,,
32576,,,Polygon,106.990589,47.920483,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,"БЗД-ийн 8,16-р хороо",А/535,,,
32577,,,Polygon,106.95125,47.91625,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 14-р хорооллын ХЕТ,А/539,,,
32578,,,Polygon,106.969559,47.911057,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 14-р хорооллын ХЕТ,А/347,,,
32579,,,Polygon,106.951976,47.914027,Дахин төлөвлөлтийн хэсэгчилсэн талбайн хил,Орон сууцны 14-р хорооллын ХЕТ,А/537,,,
