id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
1415385,,,Polygon,106.909485,47.924477,Хүн амын нягтрал хэтэрсэн байршил
1415386,,,Polygon,106.913287,47.927347,Хүн амын нягтрал хэтэрсэн байршил
1415387,,,Polygon,106.912001,47.92686,Хүн амын нягтрал хэтэрсэн байршил
1415388,,,Polygon,106.91925,47.925355,Хүн амын нягтрал хэтэрсэн байршил
1415389,,,Polygon,106.915409,47.930776,Хүн амын нягтрал хэтэрсэн байршил
1415390,,,Polygon,106.924299,47.93205,Хүн амын нягтрал хэтэрсэн байршил
1415391,,,Polygon,106.922708,47.93361,Хүн амын нягтрал хэтэрсэн байршил
1415392,,,Polygon,106.922406,47.935195,Хүн амын нягтрал хэтэрсэн байршил
1415393,,,Polygon,106.922209,47.936971,Хүн амын нягтрал хэтэрсэн байршил
1415394,,,Polygon,106.918186,47.935323,Хүн амын нягтрал хэтэрсэн байршил
1415395,,,Polygon,106.917661,47.938088,Хүн амын нягтрал хэтэрсэн байршил
1415396,,,Polygon,106.927781,47.910488,Хүн амын нягтрал хэтэрсэн байршил
1415397,,,Polygon,106.92304,47.901536,Хүн амын нягтрал хэтэрсэн байршил
1415398,,,Polygon,106.917449,47.901843,Хүн амын нягтрал хэтэрсэн байршил
1415399,,,Polygon,106.912746,47.897766,Хүн амын нягтрал хэтэрсэн байршил
1415400,,,Polygon,106.922472,47.898425,Хүн амын нягтрал хэтэрсэн байршил
1415401,,,Polygon,106.924153,47.895802,Хүн амын нягтрал хэтэрсэн байршил
1415402,,,Polygon,106.919184,47.895884,Хүн амын нягтрал хэтэрсэн байршил
1415403,,,Polygon,106.930052,47.893436,Хүн амын нягтрал хэтэрсэн байршил
1415404,,,Polygon,106.89946,47.89128,Хүн амын нягтрал хэтэрсэн байршил
1415405,,,Polygon,106.898806,47.900888,Хүн амын нягтрал хэтэрсэн байршил
1415406,,,Polygon,106.89406,47.892389,Хүн амын нягтрал хэтэрсэн байршил
1415407,,,Polygon,106.930601,47.896113,Хүн амын нягтрал хэтэрсэн байршил
1415408,,,Polygon,106.85901,47.882843,Хүн амын нягтрал хэтэрсэн байршил
1415409,,,Polygon,106.852006,47.880041,Хүн амын нягтрал хэтэрсэн байршил
1415410,,,Polygon,106.853161,47.876406,Хүн амын нягтрал хэтэрсэн байршил
1415411,,,Polygon,106.93326,47.910482,Хүн амын нягтрал хэтэрсэн байршил
1415412,,,Polygon,106.937875,47.910426,Хүн амын нягтрал хэтэрсэн байршил
1415413,,,Polygon,106.941692,47.910367,Хүн амын нягтрал хэтэрсэн байршил
1415414,,,Polygon,106.93945,47.906386,Хүн амын нягтрал хэтэрсэн байршил
