id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Замын ангилал,Батлагдсан огноо,Замын зурвас газар,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Нэмэлт тайлбар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
524993,,,Polygon,106.788626,47.913647,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,-,4-8,Цэргийн хотхон хорооллын ХЕТ,2016.01.04 ний өдөр мэдээг оруулав,,,,
524994,,,Polygon,106.784543,47.915193,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,-,4-8,Цэргийн хотхон хорооллын ХЕТ,2016.01.04 ний өдөр мэдээг оруулав,,,,
524997,,,MultiPolygon,106.583863,47.838409,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,-,4-8,Аж үйлдвэр технологийн шинэ суурьшлын бүс,2016.01.04 ний өдөр мэдээг оруулав,,,,
524999,,,Polygon,106.520245,47.924229,ХЕТ-ний төлөвлөлтийн зам,"Төлөвлөж буй авто зам, аюулгүйн тойрог",2013.02.25,4-8,Хүй долоон худаг дахь Монгол наадам үндэсний спорт цогцолбор барих ажлын ХЕТ,2016.01.04 ний өдөр мэдээг оруулав,,,,
525001,,,Polygon,106.877764,48.129376,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Ойн булаг,2016.01.04 ний өдөр мэдээг оруулав,,,,
525003,,,Polygon,106.925981,48.115598,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Хандгайт,2016.01.04 ний өдөр мэдээг оруулав,,,,
525005,,,Polygon,106.90561,48.098126,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Хандгайтын богино,2016.01.04 ний өдөр мэдээг оруулав,,,,
525007,,,Polygon,106.878653,48.094593,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Майхан толгой,2016.01.04 ний өдөр мэдээг оруулав,,,,
525009,,,Polygon,106.90964,48.082175,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Баянбулаг,2016.01.04 ний өдөр мэдээг оруулав,,,,
525011,,,Polygon,106.870643,48.068078,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Гүнт,2016.01.04 ний өдөр мэдээг оруулав,,,,
525014,,,Polygon,106.909404,48.066885,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Хуурай мухар,2016.01.04 ний өдөр мэдээг оруулав,,,,
525016,,,MultiPolygon,106.933186,48.062454,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Шарга морьт,2016.01.04 ний өдөр мэдээг оруулав,,,,
525019,,,Polygon,106.88908,48.050894,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Жигжид,2016.01.04 ний өдөр мэдээг оруулав,,,,
525021,,,Polygon,106.928563,48.04477,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Гоодой,2016.01.04 ний өдөр мэдээг оруулав,,,,
525023,,,Polygon,106.899147,48.039877,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн авто зам,2011.01.24,2-4,Яргайтын богино,2016.01.04 ний өдөр мэдээг оруулав,,,,
