id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур орон зайн бүс,Нэр
69718,,,Polygon,106.757964,47.928962,Хамгаалалтын бүс,Хамгаалалтын бүс,Инженерийн барилга байгууламж
69719,,,Polygon,106.758835,47.929449,Сайжруулсан гэр хороолол,Сайжруулсан гэр хороолол,Инженерийн барилга байгууламж
69721,,,Polygon,106.757425,47.936225,Тусгай бүс,Тусгай бүс,Инженерийн барилга байгууламж
69723,,,Polygon,106.757343,47.938347,Тусгай бүс,Тусгай бүс,Инженерийн барилга байгууламж
69725,,,Polygon,106.758671,47.939917,Тусгай бүс,Тусгай бүс,Инженерийн барилга байгууламж
69726,,,Polygon,106.75672,47.939983,Хамгаалалтын бүс,Хамгаалалтын бүс,Инженерийн барилга байгууламж
69728,,,Polygon,106.755652,47.935375,Хамгаалалтын бүс,Хамгаалалтын бүс,Инженерийн барилга байгууламж
69730,,,Polygon,106.83723,47.918188,Хамгаалалтын бүс,Хамгаалалтын бүс,Ногоон байгууламж
69732,,,Polygon,106.749073,47.934113,Хамгаалалтын бүс,Хамгаалалтын бүс,Инженерийн барилга байгууламж
69733,,,Polygon,106.91037,47.895494,Орон сууцны хороолол,Орон сууцны хороолол,Инженерийн барилга байгууламж
69735,,,Polygon,106.91113,47.895071,Орон сууцны хороолол,Орон сууцны хороолол,Инженерийн барилга байгууламж
69737,,,Polygon,106.915412,47.895691,Орон сууцны хороолол,Орон сууцны хороолол,Инженерийн барилга байгууламж
69739,,,Polygon,106.915803,47.894922,Орон сууцны хороолол,Орон сууцны хороолол,Инженерийн барилга байгууламж
69741,,,Polygon,106.925607,47.895951,Орон сууцны хороолол,Орон сууцны хороолол,Инженерийн барилга байгууламж
69742,,,Polygon,106.90595,47.922781,Хамгаалалтын бүс,Хамгаалалтын бүс,Инженерийн барилга байгууламж
69744,,,Polygon,106.911397,47.925114,Хотын хөгжлийн тэнхлэг,Хотын хөгжлийн тэнхлэг,Инженерийн барилга байгууламж
69746,,,Polygon,106.910717,47.92547,"Хотын төв, олон нийтийн төв","Хотын төв, олон нийтийн төв",Инженерийн барилга байгууламж
69748,,,Polygon,106.759028,47.878043,Хамгаалалтын бүс,Хамгаалалтын бүс,Ногоон байгууламж
