id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр
521240,,Баруунтуруун,Polygon,106.639695,47.912378,47 нэгж хорооллын бүс,Баруунтуруун
521241,,Тахилт,Polygon,106.692773,47.937419,47 нэгж хорооллын бүс,Тахилт
521242,,24-р хороолол,Polygon,106.723887,47.940105,47 нэгж хорооллын бүс,24-р хороолол
521243,,Толгойт,Polygon,106.776308,47.936178,47 нэгж хорооллын бүс,Толгойт
521244,,Баянхошуу,Polygon,106.836045,47.963205,47 нэгж хорооллын бүс,Баянхошуу
521245,,Хайлааст,Polygon,106.891911,47.96005,47 нэгж хорооллын бүс,Хайлааст
521246,,Чингэлтэй,Polygon,106.89073,47.986192,47 нэгж хорооллын бүс,Чингэлтэй
521247,,Баянхошуу,Polygon,106.865478,47.941647,47 нэгж хорооллын бүс,Баянхошуу
521248,,Дамбадаржаа,Polygon,106.953605,47.974676,47 нэгж хорооллын бүс,Дамбадаржаа
521249,,Дарь-Эх,Polygon,106.951114,47.943963,47 нэгж хорооллын бүс,Дарь-Эх
521250,,Шархад,Polygon,106.995783,47.939362,47 нэгж хорооллын бүс,Шархад
521251,,"Y-4, Улиастай",Polygon,107.027118,47.915303,47 нэгж хорооллын бүс,"Y-4, Улиастай"
521252,,Хужир булган,Polygon,107.074831,47.923056,47 нэгж хорооллын бүс,Хужир булган
521253,,31-р хороолол,Polygon,107.102713,47.874175,47 нэгж хорооллын бүс,31-р хороолол
521254,,18-р хороолол,Polygon,106.992449,47.905955,47 нэгж хорооллын бүс,18-р хороолол
521255,,17-р хороолол,Polygon,106.995436,47.929197,47 нэгж хорооллын бүс,17-р хороолол
521256,,10-р хороолол,Polygon,106.952809,47.932001,47 нэгж хорооллын бүс,10-р хороолол
521257,,15-р хороолол,Polygon,106.958005,47.921095,47 нэгж хорооллын бүс,15-р хороолол
521258,,16-р хороолол,Polygon,106.991765,47.917583,47 нэгж хорооллын бүс,16-р хороолол
521259,,13-р хороолол,Polygon,106.932315,47.909466,47 нэгж хорооллын бүс,13-р хороолол
521260,,12-р хороолол,Polygon,106.936883,47.923779,47 нэгж хорооллын бүс,12-р хороолол
521261,,7-р хороолол,Polygon,106.918805,47.934186,47 нэгж хорооллын бүс,7-р хороолол
521262,,11-р хороолол,Polygon,106.92513,47.923828,47 нэгж хорооллын бүс,11-р хороолол
521263,,20-р хороолол,Polygon,106.924005,47.908571,47 нэгж хорооллын бүс,20-р хороолол
521264,,19-р хороолол,Polygon,106.903427,47.903943,47 нэгж хорооллын бүс,19-р хороолол
521265,,5-р хороолол,Polygon,106.905668,47.912398,47 нэгж хорооллын бүс,5-р хороолол
521266,,6-р хороолол,Polygon,106.905201,47.921862,47 нэгж хорооллын бүс,6-р хороолол
521267,,8-р хороолол,Polygon,106.898859,47.937457,47 нэгж хорооллын бүс,8-р хороолол
521268,,4-р хороолол,Polygon,106.875418,47.928821,47 нэгж хорооллын бүс,4-р хороолол
521269,,3-р хороолол,Polygon,106.873344,47.917949,47 нэгж хорооллын бүс,3-р хороолол
521270,,30-р хороолол,Polygon,106.89651,47.920834,47 нэгж хорооллын бүс,30-р хороолол
521271,,9-р хороолол,Polygon,106.921207,47.954494,47 нэгж хорооллын бүс,9-р хороолол
521272,,32-р хороолол,Polygon,106.690487,47.889567,47 нэгж хорооллын бүс,32-р хороолол
521273,,Y-3,Polygon,106.754076,47.892343,47 нэгж хорооллын бүс,Y-3
521274,,23-р хороолол,Polygon,106.760903,47.914613,47 нэгж хорооллын бүс,23-р хороолол
521275,,22-р хороолол,Polygon,106.799374,47.91786,47 нэгж хорооллын бүс,22-р хороолол
521276,,21-р хороолол,Polygon,106.820383,47.918973,47 нэгж хорооллын бүс,21-р хороолол
521277,,1-р хороолол,Polygon,106.843579,47.919254,47 нэгж хорооллын бүс,1-р хороолол
521278,,2-р хороолол,Polygon,106.862969,47.911796,47 нэгж хорооллын бүс,2-р хороолол
521279,,27-р хороолол,Polygon,106.814881,47.85275,47 нэгж хорооллын бүс,27-р хороолол
521280,,25-р хороолол,Polygon,106.822412,47.871065,47 нэгж хорооллын бүс,25-р хороолол
521281,,26-р хороолол,Polygon,106.769513,47.865202,47 нэгж хорооллын бүс,26-р хороолол
521282,,28-р хороолол,Polygon,106.750656,47.833303,47 нэгж хорооллын бүс,28-р хороолол
521283,,Y-1,Polygon,106.880025,47.89868,47 нэгж хорооллын бүс,Y-1
521284,,29-р хороолол,Polygon,106.909307,47.873628,47 нэгж хорооллын бүс,29-р хороолол
521285,,Толгойт,Polygon,106.802414,47.96769,47 нэгж хорооллын бүс,Толгойт
521286,,Y-2,Polygon,106.821948,47.893495,47 нэгж хорооллын бүс,Y-2
521287,,14-р хороолол,Polygon,106.960439,47.911359,47 нэгж хорооллын бүс,14-р хороолол
521288,,Y-5,Polygon,106.771424,47.838637,47 нэгж хорооллын бүс,Y-5
