id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
1053145,,,Point,106.820607,47.932733,Хорооны байр
1053148,,,Point,106.802094,47.923139,Хорооны байр
1053149,,,Point,106.815625,47.919313,Хорооны байр
1053151,,,Point,106.814929,47.911048,Хорооны байр
1053153,,,Point,106.832731,47.912947,Хорооны байр
1053154,,,Point,106.836235,47.91356,Хорооны байр
1053157,,,Point,106.839806,47.913573,Хорооны байр
1053158,,,Point,106.843528,47.914234,Хорооны байр
1053160,,,Point,106.847571,47.914077,Хорооны байр
1053162,,,Point,106.890242,47.93423,Хорооны байр
1053163,,,Point,106.890822,47.931619,Хорооны байр
1053165,,,Point,106.904764,47.924238,Хорооны байр
1053167,,,Point,106.899846,47.917159,Хорооны байр
1053169,,,Point,106.905326,47.917561,Хорооны байр
1053170,,,Point,106.897045,47.911891,Хорооны байр
1053172,,,Point,106.901919,47.911469,Хорооны байр
1053174,,,Point,106.853371,47.915268,Хорооны байр
1053176,,,Point,106.865699,47.924501,Хорооны байр
1053178,,,Point,106.868665,47.925786,Хорооны байр
1053179,,,Point,106.887992,47.930625,Хорооны байр
1053181,,,Point,106.880053,47.926371,Хорооны байр
1053183,,,Point,106.870162,47.923522,Хорооны байр
1053184,,,Point,106.879066,47.924627,Хорооны байр
1053187,,,Point,106.886001,47.923969,Хорооны байр
1053188,,,Point,106.865333,47.920868,Хорооны байр
1053190,,,Point,106.871727,47.921587,Хорооны байр
1053192,,,Point,106.879,47.920013,Хорооны байр
1053193,,,Point,106.887858,47.921864,Хорооны байр
1053196,,,Point,106.888619,47.922006,Хорооны байр
1053197,,,Point,106.893635,47.918588,Хорооны байр
1053199,,,Point,106.880061,47.915243,Хорооны байр
1053200,,,Point,106.868346,47.91494,Хорооны байр
1053202,,,Point,106.864231,47.914769,Хорооны байр
1053204,,,Point,106.876881,47.911626,Хорооны байр
1053206,,,Point,106.887696,47.911508,Хорооны байр
1053208,,,Point,106.887862,47.913406,Хорооны байр
1053209,,,Point,106.832347,47.873557,Хорооны байр
1053211,,,Point,106.887813,47.967957,Хорооны байр
1053213,,,Point,106.897591,47.961157,Хорооны байр
1053214,,,Point,106.852773,47.951846,Хорооны байр
1053217,,,Point,107.005911,47.935758,Хорооны байр
1053218,,,Point,107.003435,47.93002,Хорооны байр
1053220,,,Point,107.00028,47.916643,Хорооны байр
1053222,,,Point,106.985859,47.926323,Хорооны байр
1053223,,,Point,106.982336,47.920164,Хорооны байр
1053225,,,Point,106.97666,47.912446,Хорооны байр
1053227,,,Point,106.963053,47.919859,Хорооны байр
1053229,,,Point,106.901849,47.946003,Хорооны байр
1053231,,,Point,106.909572,47.941911,Хорооны байр
1053232,,,Point,106.906016,47.936934,Хорооны байр
1053234,,,Point,106.907238,47.926189,Хорооны байр
1053235,,,Point,106.909635,47.924709,Хорооны байр
1053238,,,Point,106.907594,47.918313,Хорооны байр
1053240,,,Point,106.903771,47.915456,Хорооны байр
1053241,,,Point,106.911807,47.911182,Хорооны байр
1053243,,,Point,106.9239,47.928899,Хорооны байр
1053244,,,Point,106.926051,47.928033,Хорооны байр
1053247,,,Point,106.920537,47.924485,Хорооны байр
1053249,,,Point,106.923086,47.931527,Хорооны байр
1053250,,,Point,106.928731,47.931068,Хорооны байр
1053252,,,Point,106.919127,47.942746,Хорооны байр
1053253,,,Point,106.935644,47.933702,Хорооны байр
1053255,,,Point,106.939527,47.924747,Хорооны байр
1053258,,,Point,106.939606,47.922906,Хорооны байр
1053259,,,Point,106.931913,47.915785,Хорооны байр
1053261,,,Point,106.939403,47.917952,Хорооны байр
1053262,,,Point,106.94239,47.916385,Хорооны байр
1053264,,,Point,106.944191,47.921881,Хорооны байр
1053267,,,Point,106.949283,47.918647,Хорооны байр
1053268,,,Point,106.95098,47.913091,Хорооны байр
1053270,,,Point,106.825037,47.945892,Хорооны байр
1053271,,,Point,106.839643,47.954866,Хорооны байр
1053273,,,Point,106.843766,47.961718,Хорооны байр
1053275,,,Point,106.836796,47.957451,Хорооны байр
1053277,,,Point,106.896875,47.977523,Хорооны байр
1053279,,,Point,106.904342,47.971424,Хорооны байр
1053280,,,Point,106.91439,47.954617,Хорооны байр
1053282,,,Point,106.912817,47.948747,Хорооны байр
1053284,,,Point,106.915182,47.953324,Хорооны байр
1053285,,,Point,106.918015,47.965156,Хорооны байр
1053288,,,Point,106.929905,47.968329,Хорооны байр
1053289,,,Point,106.93279,47.978367,Хорооны байр
1053291,,,Point,106.824021,47.869921,Хорооны байр
1053293,,,Point,106.809963,47.867159,Хорооны байр
1053294,,,Point,106.802732,47.866189,Хорооны байр
1053297,,,Point,106.803904,47.866311,Хорооны байр
1053298,,,Point,106.998601,47.907384,Хорооны байр
1053300,,,Point,106.765647,47.920747,Хорооны байр
1053302,,,Point,106.779034,47.916796,Хорооны байр
1053303,,,Point,106.794698,47.92287,Хорооны байр
1053305,,,Point,106.758176,47.856639,Хорооны байр
1053307,,,Point,106.759875,47.864658,Хорооны байр
1053309,,,Point,106.903099,47.900977,Хорооны байр
1053310,,,Point,106.896549,47.899632,Хорооны байр
1053312,,,Point,106.77848,47.911415,Хорооны байр
