id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Эхлэл,Төгсгөл,Замын ангилал,Нэр
87681,,,Polygon,106.919053,47.919711,Авто зам,Эрүүл мэндийн яамны уулзвараас,Ж.Самбуугийн гудамж хүртэл,Гол зам,Их эзэн Чингис хааны нэрэмжит талбай
87682,,,Polygon,106.921799,47.916316,Авто зам,Олимпийн гудамжнаас зүүн тийш Гадаад харилцааны яамны урд талаар 1-р нэгдсэн эмнэлэг хүртэлх зам,,Туслах зам,188 | Д.Чойдогийн гудамж
87683,,,Polygon,106.907941,47.911137,Авто зам,Хүнсний барааны 50-р дэлгүүрийн урд талын замын уулзвараас урагш,Циркийн зүүн талаар Нарны зам хүртэл,Туслах зам,188 | Усны гудамж
87684,,,Polygon,106.918153,47.915826,Авто зам,Улсын номын сангийн хойт талын уулзвараас,Олимпийн гудамж хүртэл,Туслах зам,188 | Жамъян гүний гудамж
87685,,,Polygon,106.918481,47.913636,Авто зам,Олимпийн гудамжнаас,Чингисийн өргөн чөлөө хүртэл,Туслах зам,188 | П.Гэндэнгийн гудамж
87686,,,Polygon,106.922893,47.912685,Авто зам,Энхтайваны өргөн чөлөө,Нарны зам,Гол зам,Олимпийн гудамж | 188
87687,,,Polygon,106.924519,47.914354,Авто зам,Олимпийн гудамж,Г.Чагдаржавын гудамж,Туслах зам,188 | Элчингийн гудамж
87688,,,Polygon,106.921369,47.918308,Авто зам,Д.Сүхбаатарын талбай,Бага тойруу,Туслах зам,195 | Б.Алтангэрэлийн гудамж
87689,,,Polygon,106.898495,47.913561,Авто зам,,,Хороолол доторх зам,
87690,,,Polygon,106.89837,47.914521,Авто зам,,,Туслах зам,
87691,,,Polygon,106.911656,47.915362,Авто зам,,,Хороолол доторх зам,
87692,,,Polygon,106.820429,47.917773,Авто зам,,,Хороолол доторх зам,
87693,,,Polygon,106.950969,47.898851,Авто зам,Үндэсний цэцэрлэгт хүрээн доторхи зам,,Хороолол доторх зам,189
87694,,,Polygon,106.8966,47.913626,Авто зам,,,Хороолол доторх зам,188
87695,,,Polygon,106.899532,47.913503,Авто зам,,,Хороолол доторх зам,
87696,,,Polygon,106.905131,47.914001,Авто зам,,,Хороолол доторх зам,188
87697,,,Polygon,106.904316,47.914856,Авто зам,,,Хороолол доторх зам,188
87698,,,Polygon,106.928655,47.89099,Авто зам,Их монгол улсын гудамж,Хан хиллс хотхон,Туслах зам,188
87699,,,Polygon,106.904964,47.912636,Авто зам,,,Хороолол доторх зам,
87700,,,Polygon,106.907773,47.908664,Авто зам,,,Хороолол доторх зам,
87701,,,Polygon,106.913729,47.915914,Авто зам,,,Хороолол доторх зам,
87702,,,Polygon,106.911292,47.908588,Авто зам,,,Хороолол доторх зам,
87703,,,Polygon,106.91193,47.90961,Авто зам,,,Хороолол доторх зам,
87704,,,Polygon,106.91144,47.910809,Авто зам,,,Хороолол доторх зам,
87705,,,Polygon,106.909239,47.911586,Авто зам,,,Хороолол доторх зам,188
87706,,,Polygon,106.912311,47.912038,Авто зам,,,Хороолол доторх зам,
87707,,,Polygon,106.912783,47.911966,Авто зам,,,Хороолол доторх зам,188
87708,,,Polygon,106.914774,47.915125,Авто зам,,,Хороолол доторх зам,Ю.Цэдэнбалын талбай
