id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур төлөвлөлтийн даалгаврын дугаар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
49570,ТШУ1411747621001,Дугуйн зам,Polygon,108.362572,47.764191,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
49885,ТШУ1458924236001,Авто зам,Polygon,107.239094,47.768496,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50032,ТШУ1492084861001,,Polygon,107.247231,47.767783,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50061,ТШУ1497362888001,Шилэн кабель,Polygon,107.420413,47.901778,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50090,ТШУ1502265710001,"Авто замын өргөтгөл, шинэчлэлт",Polygon,107.254593,47.764747,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50091,ТШУ1502266208001,,Polygon,107.264526,47.762926,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50092,ТШУ1502266448001,Авто зам,Polygon,107.27367,47.765627,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50210,ТШУ1518616965001,НД-ийн 1-р хорооны голын авто замаас Нефтийн гудам,Polygon,107.260828,47.785132,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50224,ТШУ1522689298001,,Polygon,108.374982,47.78008,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50449,ТШУ1530632199001,Бохирын шугам,Polygon,107.511204,47.350499,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50456,ТШУ1530632967001,,Polygon,107.437304,47.391397,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50458,ТШУ1529918940001,Налайхын БМҮТП хүртэлх төмөр зам,Polygon,107.248757,47.714843,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50542,ТШУ1548267721001,,Polygon,107.255272,47.768621,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50643,ТШУ1561643486001,Дулааны шугам,Polygon,107.433677,47.350005,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50690,ТШУ1567713274001,,Polygon,107.253501,47.76471,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50694,ТШУ1570465951001,НБМҮТП-ын үерийн далан суваг,Polygon,107.278447,47.727871,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50695,ТШУ1571918298001,Цэвэр усны шугам,MultiPolygon,108.326232,47.736048,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50715,ТШУ1575005970001,Авто зам,Polygon,106.93081,47.980737,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50732,ТШУ1576532202001,Авто зам,Polygon,106.779595,47.901619,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50734,ТШУ1576591846001,,Polygon,107.267183,47.762155,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50735,ТШУ1576592735001,,Polygon,107.266747,47.764315,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50736,ТШУ1576594424001,,Polygon,107.244131,47.76448,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50737,ТШУ1576595127001,,Polygon,107.231806,47.780972,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
50762,ТШУ1579797084001,,Polygon,107.243316,47.781428,Инженерийн дэд бүтцийн төлөвлөлтийн даалгавар,,,,,
