id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Барилгын зориулалт,"Барилга, байгууламжийн нэр",Архитектур төлөвлөлтийн даалгаврын дугаар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
96295,ТАЗ1306281600001,,Polygon,106.819874,47.909146,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
96296,ТАЗ1306281600002,,Polygon,106.811758,47.908672,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
96333,ТАЗ1306281600003,Авто зам,Polygon,106.867628,47.905031,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам,,,,,
96378,ТАЗ1306281600004,,Polygon,106.835731,47.90856,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Гүүрэн гарцын барилга,,,,,,
96405,ТАЗ1295222400001,,Polygon,106.878667,47.910311,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Усжуулалт,,,,,,
96422,ТАЗ1306281600005,,Polygon,106.886297,47.905908,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
96424,ТАЗ1306281600006,Орон сууцны хороолол доторхи замын шинэчлэлт,Polygon,106.886025,47.91078,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Орон сууцны хороолол доторхи замын шинэчлэлт,,,,,
96425,ТАЗ1320883200001,,Polygon,106.885067,47.916646,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Гүүрэн гарцын барилга,,,,,,
96428,ТАЗ1206576000001,,Polygon,106.884119,47.914677,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Газар доорх нүхэн гарцын барилга,,,,,,
96479,ТАЗ1306281600007,,Polygon,106.907305,47.90694,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,,,,,,
96622,ТАЗ1408618567001,Авто зам,Polygon,106.848286,47.910864,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам,,,,,
96833,ТАЗ1392940800001,Авто зам,Polygon,106.885788,47.91019,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам,2014/02-11,,,,
96834,ТАЗ1392940800002,Авто зам,Polygon,106.883188,47.924275,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам,2014/02-19,,,,
96835,ТАЗ1392940800003,Авто зам,Polygon,106.879915,47.927404,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам,2014/02-16,,,,
96899,ТАЗ1411039117001,113 сургуулиас хойш,Polygon,106.864043,47.935541,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,113 сургуулиас хойш,,,,,
96926,ТАЗ1413222058001,Дугуйн зам,Polygon,106.862579,47.917533,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Дугуйн зам,,,,,
97022,ТАЗ1510569358001,Хотын төвийн хэсэгт хийгдэх унадаг дугуйн замын тр,Polygon,106.875575,47.914193,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Хотын төвийн хэсэгт хийгдэх унадаг дугуйн замын тр,2017/16-15,,,,
97131,ТАЗ1429195553001,Борооны ус зайлуулах шугам,Polygon,106.868954,47.914087,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Ажилчдын түр байрны барилга,Борооны ус зайлуулах шугам,,,,,
97163,ТАЗ1429195646001,Борооны ус зайлуулах шугам,Polygon,106.873967,47.912651,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Ажилчдын түр байрны барилга,Борооны ус зайлуулах шугам,,,,,
97219,ТАЗ1429195994001,Борооны ус зайлуулах шугам,Polygon,106.888541,47.917867,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Ажилчдын түр байрны барилга,Борооны ус зайлуулах шугам,,,,,
97236,ТАЗ1429195338001,Борооны ус зайлуулах шугам,Polygon,106.863369,47.916583,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Ажилчдын түр байрны барилга,Борооны ус зайлуулах шугам,,,,,
97309,ТАЗ1439803225001,"Замын шинэчлэл, өргөтгөл",Polygon,106.884079,47.910809,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,"Замын шинэчлэл, өргөтгөл",,,,,
97356,ТАЗ1485251371001,,Polygon,106.85756,47.916989,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Онгоцны буудал,Хороолол доторх авто зам,,,,,
97361,ТАЗ1449218316001,Авто зам / 7-р хороолол В блок,Polygon,106.883058,47.932691,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам / 7-р хороолол В блок,,,,,
97362,ТАЗ1449218714001,Авто зам/7-р бичил хороолол А блок/,Polygon,106.869703,47.927525,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам/7-р бичил хороолол А блок/,,,,,
97408,ТАЗ1458294617001,2 түвшин дэхь уулзвар,Polygon,106.892241,47.916016,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,2 түвшин дэхь уулзвар,,,,,
97409,ТАЗ1458642053001,"Авто зам, Гүүрэн гарц /Төмөр зам дээгүүр/",Polygon,106.86906,47.906656,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,"Авто зам, Гүүрэн гарц /Төмөр зам дээгүүр/",,,,,
97411,ТАЗ1458734832001,Авто зам,Polygon,106.870371,47.937626,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Тодорхойгүй,Авто зам,,,,,
97412,ТАЗ1458922843001,авто зам,Polygon,106.868559,47.904984,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,авто зам,,,,,
97498,ТАЗ1461325463001,Авто зам /Голден парк хотхон/,Polygon,106.863294,47.913136,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам /Голден парк хотхон/,,,,,
97522,ТАЗ1462890655001,ГХДТ-н цэвэр усны шугам /1051м/,Polygon,106.869752,47.92606,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Амины орон сууц /үйлчилгээгүй/,ГХДТ-н цэвэр усны шугам /1051м/,,,,,
97531,ТАЗ1463749697001,Авто зам,Polygon,106.882074,47.922896,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам,,,,,
97532,ТАЗ1463749924001,Авто зам,Polygon,106.870641,47.922567,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Авто зам,,,,,
97573,ТАЗ1471015025001,Хатуу хучилттай авто зам,Polygon,106.869165,47.928925,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Авто замын барилга,Хатуу хучилттай авто зам,,,,,
97598,ТАЗ1477664471001,,Polygon,106.865958,47.912876,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",Онгоцны буудал,10-р хороолол дотоох зам,,,,,
97812,ТАЗ1510573557001,Хотын төвийн хэсэгт хийгдэх унадаг дугуйн замын тр,Polygon,106.844881,47.911832,"Авто зам, замын байгууламжийн архитектур төлөвлөлтийн даалгавар",,Хотын төвийн хэсэгт хийгдэх унадаг дугуйн замын тр,2017/16-15,,,,
