id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур төлөвлөлтийн даалгаврын дугаар,"Барилга, байгууламжийн нэр",Барилгын зориулалт,Дүүрэг,Хороо,Хаягийн бүс,Үйлчилгээ албан конторын давхарын тоо /бусад/,Гудамж,Хүчинтэй хугацаа,Орон сууцны давхарын тоо,Барилгын ажлыг эхлэх/үргэлжлүүлэх зөвшөөрлийн дугаар
123721,ТБА161542731906000,Үйлчилгээний барилга,Polygon,106.853904,47.910462,,,,,,,,,,,,
123733,ТБА161545158500000,"Контор, худалдаа үйлчилгээ, ачаа тээвэр ложистикий",Polygon,106.858049,47.911616,Архитектур төлөвлөлтийн даалгавар,МЗХ2018/29-04,"Контор, худалдаа үйлчилгээ, ачаа тээвэр ложистикий",Үйлчилгээтэй албан конторын барилга,Баянгол,4-р хороо,Үйлдвэрийн төвийн бүс-1 /16010/,,,,,
124153,ТБА161590575401000,Үйлчилгээний барилга,Polygon,106.869556,47.92509,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/22-048,Үйлчилгээний барилга,Үйлчилгээний барилга,Баянгол,10-р хороо,3-р хороолол-1 /16090/,7,,,,
124227,ТБА161600250454000,,Polygon,106.856199,47.911195,Архитектур төлөвлөлтийн даалгавар,ГБМЗХ2020/35-001,"Контор, агуулахын барилга","Гадаадын элчин сайдын яам, төлөөлөгчийн газар",Баянгол,4-р хороо,,,,,,
124304,ТБА161619997467000,"Худалдаа, үйлчилгээний цогцолбор",Polygon,106.789115,47.906391,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/06-041,"Худалдаа, үйлчилгээний цогцолбор",Үйлчилгээний барилга,Баянгол,20-р хороо,,,,,,
124318,ТБА161620652562000,"Орон сууц, үйлчилгээний цогцолбор",Polygon,106.903259,47.905025,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/07-034,"Орон сууц, үйлчилгээний цогцолбор",Үйлчилгээтэй орон сууц,Баянгол,3-р хороо,,,,,,
124414,ТБА161629824822000,"Сургууль, цэцэрлэг бүхий орон сууц, үйлчилгээний ц",Polygon,106.882282,47.90619,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/17-012,"Сургууль, цэцэрлэг бүхий орон сууц, үйлчилгээний ц",Үйлчилгээтэй орон сууц,Баянгол,24-р хороо,Үйлдвэрийн төвийн бүс-3 /16030/,,,,,
124432,ТБА161631043285000,Худалдаа үйлчилгээний цогцолбор,Polygon,106.787615,47.882235,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/17-013,Худалдаа үйлчилгээний цогцолбор,Үйлчилгээтэй албан конторын барилга,Баянгол,20-р хороо,,,,,,
124434,ТБА161631463606000,,Polygon,106.899019,47.904328,,,,,,,,,,,,
124459,ТБА161635249383000,Сургуулийн барилга,Polygon,106.884361,47.927001,Архитектур төлөвлөлтийн даалгавар,МЗХ2021/20-013,Сургуулийн барилга,Сургуулийн барилга,Баянгол,11-р хороо,,,,,,
