id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Хаяг
85934,,,Polygon,107.465694,47.651417,Булгийн хамгаалалт 200м,Хар чулуутын булаг,Баянбүрд
85935,,,Polygon,107.396389,47.679194,Булгийн хамгаалалт 200м,Хагархайн булаг,Баянбүрд
85936,,,Polygon,107.368889,47.733558,Булгийн хамгаалалт 200м,Хонхорын булаг,Хөшиг
85937,,,Polygon,106.927454,47.754596,Булгийн хамгаалалт 200м,Баруун дэлгэрийн булаг,Эрдэнэ-Уул
85938,,,Polygon,106.933342,47.772778,Булгийн хамгаалалт 200м,Номуун далайн булаг,Хайрхан
85939,,,Polygon,107.201944,47.7925,Булгийн хамгаалалт 200м,Ар булаг,Авдар
85940,,,Polygon,107.204722,47.829722,Булгийн хамгаалалт 200м,Бяцган булаг,Хөшиг
85941,,,Polygon,107.2669,47.931944,Булгийн хамгаалалт 200м,Согоочийн булаг,Баянбүрд
85942,,,Polygon,106.615333,47.952778,Булгийн хамгаалалт 200м,Хангайн булаг,
85943,,,Polygon,106.46047,48.015858,Булгийн хамгаалалт 200м,Их булагийн амны булаг,Цагаан чулуут
