id,object_no,object_name,geom_type,lon,lat
70146,,,Polygon,106.836215,47.90359
70147,,,Polygon,106.926171,47.954876
70148,,,Polygon,107.003838,47.904151
70149,,,Polygon,106.995365,47.936985
70150,,,Polygon,106.89818,47.936287
70151,,,Polygon,106.853993,47.92041
70152,,,MultiPolygon,106.799289,47.911205
70153,,,MultiPolygon,106.771854,47.90943
70154,,,Polygon,106.880359,47.672987
70155,,,Polygon,106.941475,47.902245
70156,,,Polygon,106.640915,47.872881
70157,,,Polygon,107.300104,47.756263
70158,,,Polygon,106.793911,47.879709
70159,,,Polygon,106.779961,47.868026
70160,,,Polygon,106.959935,47.899364
70161,,,Polygon,106.903319,47.890496
70162,,,Polygon,106.852826,47.869787
70163,,,Polygon,106.434317,47.384764
70164,,,Polygon,107.352907,47.834253
70165,,,Polygon,106.706473,47.881433
70166,,,Polygon,106.926883,47.929686
70167,,,Polygon,106.645464,48.156995
70168,,,Polygon,106.769595,47.64651
70169,,,Polygon,106.986855,47.934915
70170,,,Polygon,106.898472,47.959354
70171,,,Polygon,106.80789,47.969032
70172,,,Polygon,106.666636,47.915536
70173,,,Polygon,107.006292,47.91311
70174,,,Polygon,106.760438,47.841265
70175,,,Polygon,106.990368,47.897758
70176,,,Polygon,107.259561,47.679001
70177,,,MultiPolygon,106.702142,47.75856
70178,,,Polygon,107.016537,47.686565
70179,,,Polygon,107.260122,47.733314
70180,,,Polygon,106.541165,48.055847
70181,,,Polygon,106.25278,48.344077
70182,,,Polygon,106.833876,47.894808
70183,,,Polygon,106.991463,47.922407
70184,,,Polygon,106.907803,47.896708
70185,,,Polygon,106.996475,47.899848
70186,,,Polygon,107.15487,47.84238
70187,,,Polygon,106.806246,47.832891
70188,,,Polygon,107.027576,47.890918
70189,,,Polygon,106.575995,47.819471
70190,,,Polygon,106.847765,47.916711
70191,,,Polygon,106.915909,47.941203
70192,,,Polygon,106.787989,47.904244
70193,,,Polygon,106.751836,47.900823
70194,,,Polygon,107.340448,47.540259
