id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
85944,,АТС-34,Polygon,106.908052,47.899974,Холбоо дамжуулах станц
85945,,АТС-63,Polygon,106.816689,47.911135,Холбоо дамжуулах станц
85946,,АТС-68,Polygon,106.837069,47.912318,Холбоо дамжуулах станц
85948,,АТС-36,Polygon,106.880057,47.920361,Холбоо дамжуулах станц
85950,,АТС-32,Polygon,106.915605,47.91708,Холбоо дамжуулах станц
85951,,АТС-35,Polygon,106.921573,47.928678,Холбоо дамжуулах станц
85952,,АТС-45,Polygon,106.953237,47.918241,Холбоо дамжуулах станц
85953,,Холбох АТС-352,Polygon,106.91444,47.95427,Холбоо дамжуулах станц
1046033,,Наран станц,Polygon,106.757846,47.91145,Холбоо дамжуулах станц
1046034,,Холбох АТС-379,Polygon,106.818258,47.869621,Холбоо дамжуулах станц
1046037,,Баянхошуу дэд төв,Polygon,106.833385,47.954118,Холбоо дамжуулах станц
