id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Огноо,Тогтоолын дугаар,Нэр
87378,,,Polygon,107.064221,48.052587,Тусгай хамгаалалттай газар нутаг,2014-05-20 00:00:00,73,"Улиастай голын эх, Хязгаарлалтын бүс"
87379,,,Polygon,106.799486,48.079937,Тусгай хамгаалалттай газар нутаг,2014-02-21 00:00:00,50,Чингэлтэй хайрхан уул 2-р хэсэг
87380,,,Polygon,107.138496,48.089127,Тусгай хамгаалалттай газар нутаг,2014-05-20 00:00:00,73,"Улиастай голын эх, Аялал жуулчлалын бүс"
87381,,,Polygon,106.80668,48.139602,Тусгай хамгаалалттай газар нутаг,2014-02-21 00:00:00,50,Чингэлтэй хайрхан уул 1-р хэсэг
87382,,,Polygon,106.914738,48.17256,Тусгай хамгаалалттай газар нутаг,2012-11-26 00:00:00,66,Сэлбэ голын эх
87383,,,Polygon,107.09557,48.147304,Тусгай хамгаалалттай газар нутаг,2014-05-20 00:00:00,73,"Улиастай голын эх, Онцгой бүс"
87384,,,Polygon,107.485959,47.898811,Тусгай хамгаалалттай газар нутаг,1993-11-12 00:00:00,83,Горхи-Тэрэлж
87386,,,Polygon,106.329803,47.934725,Тусгай хамгаалалттай газар нутаг,2015-11-23 00:00:00,456,
87387,,,MultiPolygon,106.518458,47.938164,Тусгай хамгаалалттай газар нутаг,2015-11-23 00:00:00,456,
87388,,,Polygon,106.334795,47.934725,Тусгай хамгаалалттай газар нутаг,2015-11-23 00:00:00,456,Үндэсний их баяр наадам
