id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Батлагдсан дугаар,Бүсчлэл,Дүүрэг,Хороо,Хаягийн бүс
3252804,,Төмөр замын хамгаалалтын зурвас,MultiPolygon,106.630129,48.091852,Инженерийн дэд бүтцийн бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Төмөр замын хамгаалалтын зурвас,Сонгинохайрхан,"32-р хороо, 21-р хороо","335-ын гарам /18217/, 369-ын гарам /18440/, 361-ын гарам /18410/, Рашаант тосгон /18390/, Шижир /18290/, Бурхант /18280/, Тарвагатайн урд ам /18330/, Хүй 7 худаг /18460/, Цагаанчулуутын ам /18210/, Саалийн ам /18370/, Жаргалант тосгон /18361/, Долоон худгийн хөндий /18403/, Өвөр уулын овоо /18213/, 347-ийн гарам /18360/, Хужрын хяр /18450/"
3252806,,Авто замын хамгаалалтын зурвас,MultiPolygon,106.669003,48.13276,Инженерийн дэд бүтцийн бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Авто замын хамгаалалтын зурвас,Сонгинохайрхан,21-р хороо,"Бурхант /18280/, Цагаанчулуутын ам /18210/"
3252808,,Авто замын хамгаалалтын зурвас,MultiPolygon,106.581782,48.020591,Инженерийн дэд бүтцийн бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Авто замын хамгаалалтын зурвас,Сонгинохайрхан,"32-р хороо, 21-р хороо","Таширын ам /18312/, 361-ын гарам /18410/, Рашаант тосгон /18390/, Хуст уул, Тахилт уул /18300/, Шижир /18290/, Бурхант /18280/, Баруун туруун-2 /18341/, Соёондын ам /18311/, Долоон худгийн хөндий /18403/, Хужрын хяр /18450/"
3252809,,Авто замын хамгаалалтын зурвас,Polygon,106.592498,48.18805,Инженерийн дэд бүтцийн бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Авто замын хамгаалалтын зурвас,Сонгинохайрхан,21-р хороо,"Суурьшилгүй бүс /18501/, Нарийны хөндий /18480/"
3252838,,Амины орон сууцны дэд бүс,Polygon,106.564288,48.00492,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
3252839,,,Polygon,106.572148,47.993596,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
3252840,,Амины орон сууцны дэд бүс,Polygon,106.567742,47.993075,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
3252841,,Амины орон сууцны дэд бүс,Polygon,106.579976,47.989019,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
3252842,,Амины орон сууцны дэд бүс,Polygon,106.57587,47.98588,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
3252843,,Амины орон сууцны дэд бүс,Polygon,106.577329,47.99199,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
3252845,,Амины орон сууцны дэд бүс,Polygon,106.56895,48.005102,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
3252846,,Амины орон сууцны дэд бүс,Polygon,106.564507,48.007626,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
3252847,,Амины орон сууцны дэд бүс,Polygon,106.559221,48.008193,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
3252848,,Амины орон сууцны дэд бүс,Polygon,106.579506,47.982353,Орон сууцны бүс,“Агро-сити эдийн засгийн тусгай бүс орчмын хөгжлийн ерөнхий төлөвлөгөө”,Нийслэлийн иргэдийн Төлөөлөгчдийн Хурлын 2026 оны 06 дугаар сарын 17-ны өдрийн 26/56 дугаар тогтоол,Амины орон сууцны дэд бүс,Сонгинохайрхан,21-р хороо,Рашаант тосгон /18390/
