id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Дүүрэг,Хороо,Хаягийн бүс
3241252,,Төлөвлөлтийн зам,Polygon,107.47764,47.346579,Үйлдвэр технологийн паркийн зам,Багахангай,1-р хороо,"Өндөр толгой /12330/, Үйлдвэрийн хэсэг /12340/, Өртөөний хэсэг /12310/"
3241262,,Төлөвлөлтийн зам,MultiPolygon,106.570788,47.834934,Үйлдвэр технологийн паркийн зам,"Хан-Уул, Сонгинохайрхан","32-р хороо, 13-р хороо","Хурганы аж ахуй /18420/, Эмээлт уулын баруун хоолой /18472/, Улаан овоот /17175/, Суурьшилгүй бүс /18471/, Аж үйлдвэрийн парк хэсэг /17174/"
3248869,,Төлөвлөлтийн зам,Polygon,107.265683,47.723417,Үйлдвэр технологийн паркийн зам,Налайх,3-р хороо,Баян /12614/
3248888,,Төлөвлөлтийн зам,Polygon,108.324789,47.704772,Үйлдвэр технологийн паркийн зам,Багануур,3-р хороо,Нүүрэнтэйн хөндий /12171/
3248889,,Төлөвлөлтийн зам,Polygon,108.332299,47.713836,Үйлдвэр технологийн паркийн зам,Багануур,3-р хороо,Нүүрэнтэйн хөндий /12171/
3248921,,Төлөвлөлтийн зам,Polygon,108.36835,47.763764,Үйлдвэр технологийн паркийн зам,Багануур,3-р хороо,"Үйлдвэрийн хэсэг-3 /12151/, Үйлдвэрийн хэсэг-1 /12170/, Үйлдвэрийн хэсэг-2 /12150/"
3248929,,Төлөвлөлтийн зам,Polygon,108.373389,47.747577,Үйлдвэр технологийн паркийн зам,Багануур,3-р хороо,"Үйлдвэрийн хэсэг-1 /12170/, Замчин-БНД /12160/"
3248964,,Төлөвлөлтийн зам,Polygon,108.399534,47.760054,Үйлдвэр технологийн паркийн зам,Багануур,"3-р хороо, 5-р хороо","Нарийн нуур /12003/, Нугын тал /12004/"
3248987,,Төлөвлөлтийн зам,Polygon,108.351851,47.76314,Үйлдвэр технологийн паркийн зам,Багануур,2-р хороо,Үйлдвэрийн хэсэг-3 /12151/
3249194,,Төлөвлөлтийн зам,Polygon,107.271097,47.741872,Үйлдвэр технологийн паркийн зам,Налайх,4-р хороо,Хонхор нуур /13085/
