id,object_no,object_name,geom_type,lon,lat
1052513,,,MultiPolygon,106.810693,47.924105
1052515,,,MultiPolygon,106.828324,47.912585
1052516,,,MultiPolygon,106.827952,47.913973
1052518,,,MultiPolygon,106.820679,47.932506
1052519,,,MultiPolygon,106.868353,47.912199
1052521,,,MultiPolygon,106.86648,47.912086
1052523,,,MultiPolygon,106.862023,47.915956
1052525,,,MultiPolygon,106.925473,47.903877
1052526,,,MultiPolygon,106.875755,47.915338
1052528,,,MultiPolygon,106.874619,47.919391
1052529,,,MultiPolygon,106.885299,47.91239
1052531,,,MultiPolygon,106.857646,47.920558
1052532,,,MultiPolygon,106.888409,47.919604
1052535,,,MultiPolygon,106.911253,47.905149
1052536,,,MultiPolygon,106.908406,47.904629
1052537,,,MultiPolygon,106.896762,47.901129
1052539,,,MultiPolygon,106.88774,47.903332
1052540,,,MultiPolygon,106.910974,47.904217
1052542,,,MultiPolygon,106.923412,47.905208
1052543,,,MultiPolygon,106.920035,47.905156
1052546,,,MultiPolygon,106.783566,47.848728
1052547,,,MultiPolygon,106.926092,47.902952
1052549,,,MultiPolygon,106.919764,47.902864
1052550,,,MultiPolygon,106.918861,47.901374
1052552,,,MultiPolygon,106.919168,47.89841
1052553,,,MultiPolygon,106.909299,47.895222
1052555,,,MultiPolygon,106.907915,47.892897
1052556,,,MultiPolygon,106.90839,47.888119
1052559,,,MultiPolygon,106.902538,47.892231
1052560,,,MultiPolygon,106.902029,47.890244
1052562,,,MultiPolygon,106.899664,47.890303
1052563,,,MultiPolygon,106.898786,47.890062
1052565,,,MultiPolygon,106.896767,47.889954
1052566,,,MultiPolygon,106.896435,47.890716
1052568,,,MultiPolygon,106.894534,47.891485
1052570,,,MultiPolygon,106.907423,47.891505
1052572,,,MultiPolygon,106.906208,47.892245
1052573,,,MultiPolygon,106.905244,47.890806
1052574,,,MultiPolygon,106.901712,47.890948
1052576,,,MultiPolygon,106.918285,47.894613
1052578,,,MultiPolygon,106.919557,47.893912
1052580,,,MultiPolygon,106.922368,47.893597
1052582,,,MultiPolygon,106.941247,47.90971
1052583,,,MultiPolygon,106.906582,47.887914
1052585,,,MultiPolygon,106.903129,47.887231
1052586,,,MultiPolygon,106.911093,47.880504
1052589,,,MultiPolygon,106.910437,47.878422
