member_id,ordinal,name_mn,surname_initial_mn,given_name_mn,party_code,party_name_mn,party_name_en,district,district_label_mn,mandate_label_mn,committee_code,committee_name_mn,profile_url,photo_url,is_flagged
m1,1,О.Алтангэрэл,О,Алтангэрэл,AN,Ардчилсан Нам,Democratic Party,1,1-р тойрог,1-р тойрог,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/308/,/api/mp-photo/oyuunsaikhany-altangerel.jpg,False
m2,2,С.Ганбаатар,С,Ганбаатар,AN,Ардчилсан Нам,Democratic Party,1,1-р тойрог,1-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/83/,/api/mp-photo/sainkhuugiin-ganbaatar.jpg,False
m3,3,Б.Батцэцэг,Б,Батцэцэг,MAN,Монгол Ардын Нам,Mongolian People’s Party,1,1-р тойрог,1-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/323/,/api/mp-photo/batmunkhiin-battsetseg.jpg,False
m4,4,П.Мөнхтулга,П,Мөнхтулга,AN,Ардчилсан Нам,Democratic Party,1,1-р тойрог,1-р тойрог,real,Өргөдлийн байнгын хороо,https://www.parliament.mn/cv/355/,/api/mp-photo/purevbaataryn-munkhtulga.jpg,False
m5,5,Г.Тэмүүлэн,Г,Тэмүүлэн,MAN,Монгол Ардын Нам,Mongolian People’s Party,1,1-р тойрог,1-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/201/,/api/mp-photo/ganzorigiin-temuulen.jpg,False
m6,6,Д.Ганбат,Д,Ганбат,AN,Ардчилсан Нам,Democratic Party,1,1-р тойрог,1-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/84/,/api/mp-photo/dashdondogiin-ganbat.jpg,False
m7,7,Г.Хосбаяр,Г,Хосбаяр,AN,Ардчилсан Нам,Democratic Party,1,1-р тойрог,1-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/382/,/api/mp-photo/ganbatyn-khosbayar.jpg,False
m8,8,Д.Жаргалсайхан,Д,Жаргалсайхан,AN,Ардчилсан Нам,Democratic Party,1,1-р тойрог,1-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/342/,/api/mp-photo/damdinsurengiin-jargalsaikhan.jpg,False
m9,9,Дав.Цогтбаатар,Дав,Цогтбаатар,AN,Ардчилсан Нам,Democratic Party,1,1-р тойрог,1-р тойрог,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/384/,/api/mp-photo/davaagiin-tsogtbaatar.jpg,False
m10,10,С.Бямбацогт,С,Бямбацогт,MAN,Монгол Ардын Нам,Mongolian People’s Party,2,2-р тойрог,2-р тойрог,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/224/,/api/mp-photo/sandagiin-byambatsogt.jpg,False
