session_id,session_number,date,parliamentary_year,session_kind,scheduled_start_time,actual_start_time,start_delay_minutes,title_mn,agenda_count,on_time,late,excused_general,excused_medical,mission_local,mission_foreign,absent_unexplained,total_members,data_provisional,dashboard_url,source_article_url,source_attachment_url
s154,1,2024-10-17,2024,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 10 дугаар сарын 17-ны өдрийн ирцийн мэдээ,0,69,31,2,4,2,12,6,126,False,https://att.parliament.mn/sessions/2024-10-17,https://www.parliament.mn/nn/63100/,
s155,2,2024-10-18,2024,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 10 дугаар сарын 18-ны өдрийн ирцийн мэдээ,0,78,20,0,6,2,13,7,126,False,https://att.parliament.mn/sessions/2024-10-18,https://www.parliament.mn/nn/63122/,
s156,3,2024-10-25,2024,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 10 дугаар сарын 25-ны өдрийн ирцийн мэдээ,0,72,35,3,6,0,10,0,126,False,https://att.parliament.mn/sessions/2024-10-25,https://www.parliament.mn/nn/63169/,
s157,4,2024-10-31,2024,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 10 дугаар сарын 31-ний өдрийн ирцийн мэдээ,0,73,29,2,4,0,14,4,126,False,https://att.parliament.mn/sessions/2024-10-31,https://www.parliament.mn/nn/63246/,
s158,5,2024-11-01,2024,AUTUMN,10:00,,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 11 дүгээр сарын 1-ний өдрийн ирцийн мэдээ,0,70,30,3,5,2,12,4,126,False,https://att.parliament.mn/sessions/2024-11-01,https://www.parliament.mn/nn/63256/,
s159,6,2024-11-08,2024,AUTUMN,10:00,,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 11 дүгээр сарын 08-ны өдрийн ирцийн мэдээ,0,72,35,5,5,0,3,6,126,False,https://att.parliament.mn/sessions/2024-11-08,https://www.parliament.mn/nn/63306/,
s160,7,2024-11-14,2024,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 11 дүгээр сарын 14-ний өдрийн ирцийн мэдээ,0,79,32,1,3,0,7,4,126,False,https://att.parliament.mn/sessions/2024-11-14,https://www.parliament.mn/nn/63344/,
s161,8,2024-11-15,2024,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 11 дүгээр сарын 15-ны өдрийн ирцийн мэдээ,0,71,34,1,4,1,7,8,126,False,https://att.parliament.mn/sessions/2024-11-15,https://www.parliament.mn/nn/63350/,
s162,9,2024-11-21,2024,AUTUMN,10:00,10:02,2,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 11 дүгээр сарын 21-ний өдрийн ирцийн мэдээ,0,69,25,3,3,0,22,4,126,False,https://att.parliament.mn/sessions/2024-11-21,https://www.parliament.mn/nn/63402/,
s163,10,2024-11-22,2024,AUTUMN,15:00,15:06,6,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 11 дүгээр сарын 22-ны өдрийн ирцийн мэдээ,1,70,20,4,3,2,17,10,126,False,https://att.parliament.mn/sessions/2024-11-22,https://www.parliament.mn/nn/63410/,
s164,11,2024-11-28,2024,AUTUMN,10:00,,,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 11 дүгээр сарын 28-ны өдрийн ирцийн мэдээ,0,49,36,1,2,4,32,2,126,False,https://att.parliament.mn/sessions/2024-11-28,https://www.parliament.mn/nn/63471/,
s165,12,2024-11-29,2024,AUTUMN,10:00,10:06,6,Монгол Улсын Их Хурлын 2024 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 11 дүгээр сарын 29-ний өдрийн ирцийн мэдээ,0,68,19,2,2,1,30,4,126,False,https://att.parliament.mn/sessions/2024-11-29,https://www.parliament.mn/nn/63485/,
