сар,бохирдуулагч,утга_мг_м3
2002-01,Хүхэрлэг хий SO₂,0.0267
2002-02,Хүхэрлэг хий SO₂,0.0193
2002-03,Хүхэрлэг хий SO₂,0.0137
2002-04,Хүхэрлэг хий SO₂,0.008
2002-05,Хүхэрлэг хий SO₂,0.0037
2002-06,Хүхэрлэг хий SO₂,0.003
2002-07,Хүхэрлэг хий SO₂,0.0027
2002-08,Хүхэрлэг хий SO₂,0.004
2002-09,Хүхэрлэг хий SO₂,0.004
2002-10,Хүхэрлэг хий SO₂,0.0047
2002-11,Хүхэрлэг хий SO₂,0.013
2002-12,Хүхэрлэг хий SO₂,0.0277
2003-01,Хүхэрлэг хий SO₂,0.022
2003-02,Хүхэрлэг хий SO₂,0.016
2003-03,Хүхэрлэг хий SO₂,0.014
2003-04,Хүхэрлэг хий SO₂,0.0083
2003-05,Хүхэрлэг хий SO₂,0.0053
2003-06,Хүхэрлэг хий SO₂,0.0047
2003-07,Хүхэрлэг хий SO₂,0.003
2003-08,Хүхэрлэг хий SO₂,0.0027
2003-09,Хүхэрлэг хий SO₂,0.0025
2003-10,Хүхэрлэг хий SO₂,0.0075
2003-11,Хүхэрлэг хий SO₂,0.02
2003-12,Хүхэрлэг хий SO₂,0.0407
2004-01,Хүхэрлэг хий SO₂,0.0395
2004-02,Хүхэрлэг хий SO₂,0.028
2004-03,Хүхэрлэг хий SO₂,0.0157
2004-04,Хүхэрлэг хий SO₂,0.0072
2004-05,Хүхэрлэг хий SO₂,0.0038
2004-06,Хүхэрлэг хий SO₂,0.0032
2004-07,Хүхэрлэг хий SO₂,0.0037
2004-08,Хүхэрлэг хий SO₂,0.0037
2004-09,Хүхэрлэг хий SO₂,0.0047
2004-10,Хүхэрлэг хий SO₂,0.0105
2004-11,Хүхэрлэг хий SO₂,0.0233
2004-12,Хүхэрлэг хий SO₂,0.027
2005-01,Хүхэрлэг хий SO₂,0.0373
2005-02,Хүхэрлэг хий SO₂,0.029
2005-03,Хүхэрлэг хий SO₂,0.0162
2005-04,Хүхэрлэг хий SO₂,0.0088
2005-05,Хүхэрлэг хий SO₂,0.0052
2005-06,Хүхэрлэг хий SO₂,0.0028
2005-07,Хүхэрлэг хий SO₂,0.0028
2005-08,Хүхэрлэг хий SO₂,0.003
2005-09,Хүхэрлэг хий SO₂,0.0043
2005-10,Хүхэрлэг хий SO₂,0.0082
2005-11,Хүхэрлэг хий SO₂,0.0145
2005-12,Хүхэрлэг хий SO₂,0.0207
2006-01,Хүхэрлэг хий SO₂,0.027
2006-02,Хүхэрлэг хий SO₂,0.0207
2006-03,Хүхэрлэг хий SO₂,0.0135
2006-04,Хүхэрлэг хий SO₂,0.009
2006-05,Хүхэрлэг хий SO₂,0.0068
2006-06,Хүхэрлэг хий SO₂,0.0018
2006-07,Хүхэрлэг хий SO₂,0.0018
2006-08,Хүхэрлэг хий SO₂,0.003
2006-09,Хүхэрлэг хий SO₂,0.0038
2006-10,Хүхэрлэг хий SO₂,0.0118
2006-11,Хүхэрлэг хий SO₂,0.022
2006-12,Хүхэрлэг хий SO₂,0.031
2007-01,Хүхэрлэг хий SO₂,0.034
2007-02,Хүхэрлэг хий SO₂,0.024
2007-03,Хүхэрлэг хий SO₂,0.0185
2007-04,Хүхэрлэг хий SO₂,0.0072
2007-05,Хүхэрлэг хий SO₂,0.0042
2007-06,Хүхэрлэг хий SO₂,0.0042
2007-07,Хүхэрлэг хий SO₂,0.0038
2007-08,Хүхэрлэг хий SO₂,0.0015
2007-09,Хүхэрлэг хий SO₂,0.0025
2007-10,Хүхэрлэг хий SO₂,0.0062
2007-11,Хүхэрлэг хий SO₂,0.01
2007-12,Хүхэрлэг хий SO₂,0.0173
2008-01,Хүхэрлэг хий SO₂,0.0262
2008-02,Хүхэрлэг хий SO₂,0.0258
