Indicator,Location,Month,value
Sulphur dioxide SO₂: Average,Misheel-Expo center,2026-08,
Sulphur dioxide SO₂: Average,Misheel-Expo center,2026-07,0.008
Sulphur dioxide SO₂: Average,Misheel-Expo center,2026-06,0.006
Sulphur dioxide SO₂: Average,Misheel-Expo center,2026-05,0.01
Sulphur dioxide SO₂: Average,Misheel-Expo center,2026-04,0.014
Sulphur dioxide SO₂: Average,Misheel-Expo center,2026-03,0.02
Sulphur dioxide SO₂: Average,Misheel-Expo center,2026-02,0.022
Sulphur dioxide SO₂: Average,Misheel-Expo center,2026-01,0.043
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-12,0.034
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-11,0.024
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-10,0.02
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-09,0.013
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-08,0.012
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-07,0.009
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-06,0.008
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-05,0.013
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-04,0.023
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-03,0.028
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-02,0.041
Sulphur dioxide SO₂: Average,Misheel-Expo center,2025-01,0.05
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-12,0.05
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-11,0.025
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-10,0.017
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-09,0.011
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-08,0.006
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-07,0.01
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-06,0.011
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-05,0.025
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-04,0.02
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-03,0.031
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-02,0.05
Sulphur dioxide SO₂: Average,Misheel-Expo center,2024-01,0.071
Sulphur dioxide SO₂: Average,Misheel-Expo center,2023-12,0.047
Sulphur dioxide SO₂: Average,Misheel-Expo center,2023-11,0.026
Sulphur dioxide SO₂: Average,Misheel-Expo center,2023-10,0.016
Sulphur dioxide SO₂: Average,Misheel-Expo center,2023-09,0.008
Sulphur dioxide SO₂: Average,Misheel-Expo center,2023-08,0.007
Sulphur dioxide SO₂: Average,Misheel-Expo center,2023-07,0.008
