Үзүүлэлт,Станцын байршил,Сар,value
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2026-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2026-07,0.008
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2026-06,0.006
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2026-05,0.01
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2026-04,0.014
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2026-03,0.02
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2026-02,0.022
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2026-01,0.043
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-12,0.034
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-11,0.024
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-10,0.02
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-09,0.013
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-08,0.012
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-07,0.009
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-06,0.008
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-05,0.013
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-04,0.023
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-03,0.028
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-02,0.041
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2025-01,0.05
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-12,0.05
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-11,0.025
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-10,0.017
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-09,0.011
