indicator,month,price_million_mnt_per_sqm
Average price of new apartment,2022-02,3.08
Average price of old apartment,2022-02,2.94
Average price of new apartment,2022-03,3.12
Average price of old apartment,2022-03,3.05
Average price of new apartment,2022-04,3.2
Average price of old apartment,2022-04,3.01
Average price of new apartment,2022-05,3.14
Average price of old apartment,2022-05,3.02
Average price of new apartment,2022-06,3.2
Average price of old apartment,2022-06,3.09
Average price of new apartment,2022-07,3.22
Average price of old apartment,2022-07,3.08
Average price of new apartment,2022-08,3.32
Average price of old apartment,2022-08,3.13
Average price of new apartment,2022-09,3.32
Average price of old apartment,2022-09,3.09
Average price of new apartment,2022-10,3.3
Average price of old apartment,2022-10,3.09
Average price of new apartment,2022-11,3.44
Average price of old apartment,2022-11,3.21
Average price of new apartment,2022-12,3.49
Average price of old apartment,2022-12,3.25
Average price of new apartment,2023-01,3.5
Average price of old apartment,2023-01,3.33
Average price of new apartment,2023-02,3.46
Average price of old apartment,2023-02,3.3
Average price of new apartment,2023-03,3.51
Average price of old apartment,2023-03,3.32
Average price of new apartment,2023-04,3.53
Average price of old apartment,2023-04,3.34
Average price of new apartment,2023-05,3.71
Average price of old apartment,2023-05,3.32
Average price of new apartment,2023-06,3.79
Average price of old apartment,2023-06,3.41
Average price of new apartment,2023-07,3.69
Average price of old apartment,2023-07,3.4
Average price of new apartment,2023-08,3.72
Average price of old apartment,2023-08,3.38
Average price of new apartment,2023-09,3.85
Average price of old apartment,2023-09,3.44
Average price of new apartment,2023-10,3.95
Average price of old apartment,2023-10,3.47
Average price of new apartment,2023-11,4.04
Average price of old apartment,2023-11,3.58
Average price of new apartment,2023-12,4.02
Average price of old apartment,2023-12,3.59
Average price of new apartment,2024-01,3.91
Average price of old apartment,2024-01,3.79
Average price of new apartment,2024-02,3.99
Average price of old apartment,2024-02,3.78
Average price of new apartment,2024-03,3.98
Average price of old apartment,2024-03,3.71
Average price of new apartment,2024-04,4.03
Average price of old apartment,2024-04,3.81
Average price of new apartment,2024-05,4.02
Average price of old apartment,2024-05,3.9
Average price of new apartment,2024-06,4.01
Average price of old apartment,2024-06,3.88
Average price of new apartment,2024-07,4.11
Average price of old apartment,2024-07,3.96
Average price of new apartment,2024-08,4.06
Average price of old apartment,2024-08,3.87
Average price of new apartment,2024-09,4.39
Average price of old apartment,2024-09,4.02
Average price of new apartment,2024-10,4.57
Average price of old apartment,2024-10,4.16
Average price of new apartment,2024-11,4.68
Average price of old apartment,2024-11,4.25
Average price of new apartment,2024-12,4.65
Average price of old apartment,2024-12,4.27
Average price of new apartment,2025-01,4.53
Average price of old apartment,2025-01,4.42
Average price of new apartment,2025-02,4.4
Average price of old apartment,2025-02,4.5
Average price of new apartment,2025-03,4.48
Average price of old apartment,2025-03,4.49
Average price of new apartment,2025-04,4.52
Average price of old apartment,2025-04,4.52
Average price of new apartment,2025-05,4.55
Average price of old apartment,2025-05,4.57
Average price of new apartment,2025-06,4.56
Average price of old apartment,2025-06,4.55
Average price of new apartment,2025-07,4.66
Average price of old apartment,2025-07,4.54
Average price of new apartment,2025-08,4.75
Average price of old apartment,2025-08,4.58
Average price of new apartment,2025-09,4.79
Average price of old apartment,2025-09,4.66
Average price of new apartment,2025-10,4.87
Average price of old apartment,2025-10,4.78
Average price of new apartment,2025-11,4.97
Average price of old apartment,2025-11,4.97
Average price of new apartment,2025-12,5.03
Average price of old apartment,2025-12,5.06
Average price of new apartment,2026-01,5.05
Average price of old apartment,2026-01,4.94
Average price of new apartment,2026-02,4.76
Average price of old apartment,2026-02,5.03
Average price of new apartment,2026-03,4.71
Average price of old apartment,2026-03,4.91
Average price of new apartment,2026-04,4.79
Average price of old apartment,2026-04,5.0
Average price of new apartment,2026-05,4.71
Average price of old apartment,2026-05,4.84
Average price of new apartment,2026-06,4.74
Average price of old apartment,2026-06,4.88
Average price of new apartment,2026-07,4.73
Average price of old apartment,2026-07,4.78
