үзүүлэлт,сар,үнэ_сая_төг_м_кв
Хуучин орон сууцны дундаж үнэ,2022-02,2.94
Шинэ орон сууцны дундаж үнэ,2022-02,3.08
Хуучин орон сууцны дундаж үнэ,2022-03,3.05
Шинэ орон сууцны дундаж үнэ,2022-03,3.12
Хуучин орон сууцны дундаж үнэ,2022-04,3.01
Шинэ орон сууцны дундаж үнэ,2022-04,3.2
Хуучин орон сууцны дундаж үнэ,2022-05,3.02
Шинэ орон сууцны дундаж үнэ,2022-05,3.14
Хуучин орон сууцны дундаж үнэ,2022-06,3.09
Шинэ орон сууцны дундаж үнэ,2022-06,3.2
Хуучин орон сууцны дундаж үнэ,2022-07,3.08
Шинэ орон сууцны дундаж үнэ,2022-07,3.22
Хуучин орон сууцны дундаж үнэ,2022-08,3.13
Шинэ орон сууцны дундаж үнэ,2022-08,3.32
Хуучин орон сууцны дундаж үнэ,2022-09,3.09
Шинэ орон сууцны дундаж үнэ,2022-09,3.32
Хуучин орон сууцны дундаж үнэ,2022-10,3.09
Шинэ орон сууцны дундаж үнэ,2022-10,3.3
Хуучин орон сууцны дундаж үнэ,2022-11,3.21
Шинэ орон сууцны дундаж үнэ,2022-11,3.44
Хуучин орон сууцны дундаж үнэ,2022-12,3.25
Шинэ орон сууцны дундаж үнэ,2022-12,3.49
Хуучин орон сууцны дундаж үнэ,2023-01,3.33
Шинэ орон сууцны дундаж үнэ,2023-01,3.5
Хуучин орон сууцны дундаж үнэ,2023-02,3.3
Шинэ орон сууцны дундаж үнэ,2023-02,3.46
Хуучин орон сууцны дундаж үнэ,2023-03,3.32
Шинэ орон сууцны дундаж үнэ,2023-03,3.51
Хуучин орон сууцны дундаж үнэ,2023-04,3.34
Шинэ орон сууцны дундаж үнэ,2023-04,3.53
Хуучин орон сууцны дундаж үнэ,2023-05,3.32
Шинэ орон сууцны дундаж үнэ,2023-05,3.71
Хуучин орон сууцны дундаж үнэ,2023-06,3.41
Шинэ орон сууцны дундаж үнэ,2023-06,3.79
Хуучин орон сууцны дундаж үнэ,2023-07,3.4
Шинэ орон сууцны дундаж үнэ,2023-07,3.69
Хуучин орон сууцны дундаж үнэ,2023-08,3.38
Шинэ орон сууцны дундаж үнэ,2023-08,3.72
Хуучин орон сууцны дундаж үнэ,2023-09,3.44
Шинэ орон сууцны дундаж үнэ,2023-09,3.85
Хуучин орон сууцны дундаж үнэ,2023-10,3.47
Шинэ орон сууцны дундаж үнэ,2023-10,3.95
Хуучин орон сууцны дундаж үнэ,2023-11,3.58
Шинэ орон сууцны дундаж үнэ,2023-11,4.04
Хуучин орон сууцны дундаж үнэ,2023-12,3.59
Шинэ орон сууцны дундаж үнэ,2023-12,4.02
Хуучин орон сууцны дундаж үнэ,2024-01,3.79
Шинэ орон сууцны дундаж үнэ,2024-01,3.91
Хуучин орон сууцны дундаж үнэ,2024-02,3.78
Шинэ орон сууцны дундаж үнэ,2024-02,3.99
Хуучин орон сууцны дундаж үнэ,2024-03,3.71
Шинэ орон сууцны дундаж үнэ,2024-03,3.98
Хуучин орон сууцны дундаж үнэ,2024-04,3.81
Шинэ орон сууцны дундаж үнэ,2024-04,4.03
Хуучин орон сууцны дундаж үнэ,2024-05,3.9
Шинэ орон сууцны дундаж үнэ,2024-05,4.02
