Sector,Year,Salary (MNT 1000s)
National average,2001,65.2
"Agriculture, forestry, fishing and hunting",2001,50.3
Mining and quarrying,2001,57.3
Manufacturing,2001,66.6
"Electricity, gas, steam and air conditioning supply",2001,77.5
"Water supply, sewerage, waste management and remedation activities",2001,
Construction,2001,73.7
"Wholesale and retail trade, repair of motor vehicles and motorcycles",2001,54.9
Transportation and storage,2001,84.1
Accomodation and food service activities,2001,70.8
Information and communication,2001,
Financial and insurance activities,2001,59.2
Real estate activities,2001,58.7
"Professional, scientific and technical activities",2001,
Administrative and support service activities,2001,
Public administration and defense; compulsory social security,2001,59.3
Education,2001,60.8
Human health and social work activities,2001,48.4
"Arts, entertainment and recreation",2001,
Other service activities,2001,47.9
Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2001,0.0
Activities of extraterritorial organizations and bodies,2001,
National average,2002,71.3
"Agriculture, forestry, fishing and hunting",2002,46.2
Mining and quarrying,2002,77.4
Manufacturing,2002,68.7
"Electricity, gas, steam and air conditioning supply",2002,81.0
"Water supply, sewerage, waste management and remedation activities",2002,
Construction,2002,90.6
"Wholesale and retail trade, repair of motor vehicles and motorcycles",2002,57.6
Transportation and storage,2002,90.9
Accomodation and food service activities,2002,80.4
Information and communication,2002,
Financial and insurance activities,2002,83.2
Real estate activities,2002,55.3
"Professional, scientific and technical activities",2002,
Administrative and support service activities,2002,
Public administration and defense; compulsory social security,2002,66.5
Education,2002,64.5
Human health and social work activities,2002,51.5
"Arts, entertainment and recreation",2002,
Other service activities,2002,50.7
Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2002,
Activities of extraterritorial organizations and bodies,2002,
National average,2003,81.5
"Agriculture, forestry, fishing and hunting",2003,48.0
Mining and quarrying,2003,88.7
Manufacturing,2003,82.7
"Electricity, gas, steam and air conditioning supply",2003,97.1
"Water supply, sewerage, waste management and remedation activities",2003,
Construction,2003,85.9
"Wholesale and retail trade, repair of motor vehicles and motorcycles",2003,64.6
Transportation and storage,2003,106.1
