Салбар,Он,Цалин (мян.төг)
Уул уурхай,2001,57.3
"Санхүү, даатгал",2001,59.2
"Мэдээлэл, холбоо",2001,
Барилга,2001,73.7
Боловсрол,2001,60.8
Боловсруулах үйлдвэрлэл,2001,66.6
Хөдөө аж ахуй,2001,50.3
Улсын дундаж,2001,65.2
Уул уурхай,2002,77.4
"Санхүү, даатгал",2002,83.2
"Мэдээлэл, холбоо",2002,
Барилга,2002,90.6
Боловсрол,2002,64.5
Боловсруулах үйлдвэрлэл,2002,68.7
Хөдөө аж ахуй,2002,46.2
Улсын дундаж,2002,71.3
Уул уурхай,2003,88.7
"Санхүү, даатгал",2003,103.8
"Мэдээлэл, холбоо",2003,
Барилга,2003,85.9
Боловсрол,2003,77.5
Боловсруулах үйлдвэрлэл,2003,82.7
Хөдөө аж ахуй,2003,48.0
Улсын дундаж,2003,81.5
Уул уурхай,2004,89.7
"Санхүү, даатгал",2004,125.4
"Мэдээлэл, холбоо",2004,
Барилга,2004,99.6
Боловсрол,2004,88.2
Боловсруулах үйлдвэрлэл,2004,92.8
Хөдөө аж ахуй,2004,52.6
Улсын дундаж,2004,93.1
Уул уурхай,2005,122.8
"Санхүү, даатгал",2005,163.9
"Мэдээлэл, холбоо",2005,
Барилга,2005,110.9
Боловсрол,2005,92.8
Боловсруулах үйлдвэрлэл,2005,100.5
Хөдөө аж ахуй,2005,52.8
Улсын дундаж,2005,101.2
Уул уурхай,2006,147.7
"Санхүү, даатгал",2006,265.5
"Мэдээлэл, холбоо",2006,
Барилга,2006,137.1
Боловсрол,2006,105.2
Боловсруулах үйлдвэрлэл,2006,129.4
Хөдөө аж ахуй,2006,72.6
Улсын дундаж,2006,127.7
Уул уурхай,2007,219.7
"Санхүү, даатгал",2007,361.9
"Мэдээлэл, холбоо",2007,
Барилга,2007,167.7
Боловсрол,2007,174.3
Боловсруулах үйлдвэрлэл,2007,160.2
Хөдөө аж ахуй,2007,90.5
Улсын дундаж,2007,173.0
Уул уурхай,2008,328.6
"Санхүү, даатгал",2008,471.4
"Мэдээлэл, холбоо",2008,
Барилга,2008,223.2
Боловсрол,2008,289.2
Боловсруулах үйлдвэрлэл,2008,268.0
Хөдөө аж ахуй,2008,158.1
Улсын дундаж,2008,274.2
Уул уурхай,2009,405.4
"Санхүү, даатгал",2009,599.9
"Мэдээлэл, холбоо",2009,
Барилга,2009,234.8
Боловсрол,2009,297.3
Боловсруулах үйлдвэрлэл,2009,271.8
Хөдөө аж ахуй,2009,174.6
Улсын дундаж,2009,300.5
Уул уурхай,2010,572.2
"Санхүү, даатгал",2010,696.7
"Мэдээлэл, холбоо",2010,
Барилга,2010,247.5
Боловсрол,2010,311.6
Боловсруулах үйлдвэрлэл,2010,326.2
Хөдөө аж ахуй,2010,172.5
Улсын дундаж,2010,341.5
Уул уурхай,2011,732.8
"Санхүү, даатгал",2011,886.9
"Мэдээлэл, холбоо",2011,
Барилга,2011,341.7
Боловсрол,2011,366.1
Боловсруулах үйлдвэрлэл,2011,402.4
Хөдөө аж ахуй,2011,203.1
Улсын дундаж,2011,424.2
Уул уурхай,2012,814.5
"Санхүү, даатгал",2012,1066.7
"Мэдээлэл, холбоо",2012,
Барилга,2012,485.1
Боловсрол,2012,529.4
Боловсруулах үйлдвэрлэл,2012,498.5
Хөдөө аж ахуй,2012,244.5
Улсын дундаж,2012,557.6
Уул уурхай,2013,1418.4
"Санхүү, даатгал",2013,1190.0
"Мэдээлэл, холбоо",2013,861.6
Барилга,2013,719.0
Боловсрол,2013,663.2
Боловсруулах үйлдвэрлэл,2013,613.8
Хөдөө аж ахуй,2013,324.7
Улсын дундаж,2013,774.9
Уул уурхай,2014,1550.8
"Санхүү, даатгал",2014,1067.6
"Мэдээлэл, холбоо",2014,774.9
Барилга,2014,678.7
Боловсрол,2014,705.2
Боловсруулах үйлдвэрлэл,2014,765.2
Хөдөө аж ахуй,2014,752.9
Улсын дундаж,2014,796.6
Уул уурхай,2015,1895.4
"Санхүү, даатгал",2015,1049.7
"Мэдээлэл, холбоо",2015,798.5
Барилга,2015,662.8
Боловсрол,2015,735.5
Боловсруулах үйлдвэрлэл,2015,770.1
Хөдөө аж ахуй,2015,643.9
Улсын дундаж,2015,808.0
Уул уурхай,2016,1989.4
"Санхүү, даатгал",2016,1082.3
"Мэдээлэл, холбоо",2016,818.3
Барилга,2016,729.5
Боловсрол,2016,712.9
Боловсруулах үйлдвэрлэл,2016,887.0
Хөдөө аж ахуй,2016,631.5
Улсын дундаж,2016,861.9
Уул уурхай,2017,2119.1
"Санхүү, даатгал",2017,1131.6
"Мэдээлэл, холбоо",2017,865.8
Барилга,2017,852.3
Боловсрол,2017,720.8
Боловсруулах үйлдвэрлэл,2017,1088.2
Хөдөө аж ахуй,2017,681.5
Улсын дундаж,2017,944.5
Уул уурхай,2018,2221.4
"Санхүү, даатгал",2018,1160.6
"Мэдээлэл, холбоо",2018,979.0
Барилга,2018,1032.7
Боловсрол,2018,760.2
Боловсруулах үйлдвэрлэл,2018,1150.8
Хөдөө аж ахуй,2018,736.4
Улсын дундаж,2018,1002.9
Уул уурхай,2019,2590.0
"Санхүү, даатгал",2019,1343.1
"Мэдээлэл, холбоо",2019,1086.6
Барилга,2019,1161.9
Боловсрол,2019,903.3
Боловсруулах үйлдвэрлэл,2019,1171.1
Хөдөө аж ахуй,2019,833.1
Улсын дундаж,2019,1124.3
Уул уурхай,2020,2877.4
"Санхүү, даатгал",2020,1453.7
"Мэдээлэл, холбоо",2020,1196.8
Барилга,2020,1273.9
Боловсрол,2020,1013.0
Боловсруулах үйлдвэрлэл,2020,1163.9
Хөдөө аж ахуй,2020,949.6
Улсын дундаж,2020,1220.6
Уул уурхай,2021,2997.8
"Санхүү, даатгал",2021,1515.8
"Мэдээлэл, холбоо",2021,1317.6
Барилга,2021,1227.0
Боловсрол,2021,1045.2
Боловсруулах үйлдвэрлэл,2021,1227.7
Хөдөө аж ахуй,2021,1002.8
Улсын дундаж,2021,1279.4
Уул уурхай,2022,3601.9
"Санхүү, даатгал",2022,1927.8
"Мэдээлэл, холбоо",2022,1728.4
Барилга,2022,1431.0
