month,value
2009-01,28.718
2009-02,-14.624
2009-03,-105.708
2009-04,-14.677
2009-05,-29.634
2009-06,-16.63
2009-07,-33.638
2009-08,-8.575
2009-09,-23.23
2009-10,-53.922
2009-11,-44.23
2009-12,-25.634
2010-01,-9.407
2010-02,-34.023
2010-03,-100.961
2010-04,-68.532
2010-05,9.621
2010-06,-2.928
2010-07,-76.892
2010-08,-44.586
2010-09,-71.492
2010-10,-65.097
2010-11,-119.187
2010-12,-301.99
2011-01,-279.426
2011-02,-169.836
2011-03,-291.855
2011-04,-258.218
2011-05,-356.427
2011-06,-377.472
2011-07,-551.925
2011-08,-444.975
2011-09,-406.664
2011-10,-401.498
2011-11,-458.244
2011-12,-515.64
2012-01,-483.121
2012-02,-395.392
2012-03,-452.297
2012-04,-424.907
2012-05,-570.013
2012-06,-278.143
2012-07,-627.896
2012-08,-625.352
2012-09,-440.138
2012-10,-284.879
2012-11,-337.043
2012-12,-461.519
2013-01,-475.201
2013-02,-294.481
2013-03,-363.195
2013-04,-387.213
2013-05,-519.873
2013-06,-412.062
2013-07,-399.095
2013-08,-440.794
2013-09,-389.48
2013-10,-377.265
2013-11,-314.306
2013-12,-358.878
2014-01,-284.412
2014-02,-170.375
2014-03,-216.701
2014-04,-276.974
2014-05,-279.078
2014-06,-163.307
2014-07,-239.273
2014-08,4.635
2014-09,-227.564
2014-10,-42.159
2014-11,3.92
2014-12,-43.054
2015-01,-34.989
2015-02,-1.396
2015-03,-23.779
2015-04,-135.139
2015-05,-226.634
2015-06,-96.567
2015-07,-118.89
2015-08,26.646
2015-09,-81.249
2015-10,-59.995
2015-11,-155.402
2015-12,-41.063
2016-01,-105.221
2016-02,11.999
2016-03,-72.018
2016-04,-39.154
2016-05,-215.967
2016-06,-92.585
2016-07,-112.296
2016-08,-25.014
2016-09,-66.041
2016-10,-121.059
2016-11,70.643
2016-12,67.042
2017-01,-75.19
2017-02,-1.33
2017-03,-71.622
2017-04,9.083
2017-05,37.13
2017-06,-166.6
2017-07,-155.559
2017-08,-20.003
2017-09,-121.492
2017-10,-59.524
2017-11,-210.598
2017-12,-319.74
2018-01,-155.68
2018-02,-248.727
2018-03,-36.517
2018-04,-38.92
2018-05,-116.58
2018-06,-223.411
2018-07,-179.53
2018-08,-236.812
2018-09,-150.246
2018-10,-187.687
2018-11,-191.087
2018-12,-441.571
2019-01,-132.384
2019-02,-148.969
2019-03,-116.737
2019-04,-33.727
2019-05,-59.61
2019-06,-251.999
2019-07,-190.483
2019-08,-52.932
2019-09,-207.904
2019-10,-258.043
2019-11,-290.509
2019-12,-418.39
2020-01,-254.427
2020-02,-145.988
2020-03,-322.828
2020-04,-270.212
2020-05,24.93
2020-06,85.843
2020-07,273.358
2020-08,-79.043
2020-09,-44.42
2020-10,10.186
2020-11,132.883
2020-12,-84.892
2021-01,-90.082
2021-02,-107.229
2021-03,-126.334
2021-04,-243.294
2021-05,-157.632
2021-06,-363.384
2021-07,-354.32
2021-08,-251.092
2021-09,-213.68
2021-10,188.927
2021-11,394.618
2021-12,-784.938
2022-01,-336.967
2022-02,-123.03
2022-03,-293.427
2022-04,-271.019
2022-05,-93.256
2022-06,-243.107
2022-07,-252.985
2022-08,-200.284
2022-09,24.27
2022-10,-179.664
2022-11,-12.518
2022-12,-321.509
2023-01,-23.487
2023-02,241.151
2023-03,97.501
2023-04,138.932
2023-05,-70.314
2023-06,-162.627
2023-07,112.639
2023-08,-38.111
2023-09,134.319
2023-10,-140.674
2023-11,76.997
2023-12,-245.059
2024-01,-470.682
2024-02,-210.079
2024-03,143.801
2024-04,-332.709
2024-05,-110.406
2024-06,22.731
2024-07,-96.452
2024-08,-142.998
2024-09,-503.722
2024-10,-101.1
2024-11,-102.049
2024-12,-581.769
2025-01,-474.8
2025-02,-189.62
2025-03,-300.03
2025-04,-272.57
2025-05,-281.14
2025-06,-234.33
2025-07,-333.01
2025-08,-56.56
2025-09,72.68
2025-10,-71.22
2025-11,-109.25
2025-12,129.9
2026-01,80.231
2026-02,-62.855
2026-03,164.477
2026-04,128.876
2026-05,-358.143
