month,value
2009-01,-12.353
2009-02,-41.885
2009-03,-47.791
2009-04,8.862
2009-05,-0.687
2009-06,-18.551
2009-07,-52.16
2009-08,-52.982
2009-09,-65.846
2009-10,-169.657
2009-11,-60.789
2009-12,-55.965
2010-01,-59.423
2010-02,-62.874
2010-03,-71.885
2010-04,-183.296
2010-05,-81.728
2010-06,-161.441
2010-07,-74.207
2010-08,-198.3
2010-09,-168.454
2010-10,-209.198
2010-11,-155.573
2010-12,-202.716
2011-01,-330.944
2011-02,-327.108
2011-03,-315.806
2011-04,-369.612
2011-05,-398.545
2011-06,-446.044
2011-07,-380.469
2011-08,-293.753
2011-09,-314.22
2011-10,-474.619
2011-11,-398.738
2011-12,-426.742
2012-01,-332.469
2012-02,-357.81
2012-03,-376.588
2012-04,-447.038
2012-05,-462.328
2012-06,-438.179
2012-07,-518.49
2012-08,-467.248
2012-09,-472.587
2012-10,-135.82
2012-11,-62.035
2012-12,-137.226
2013-01,-280.522
2013-02,-280.736
2013-03,-278.622
2013-04,-152.016
2013-05,-113.915
2013-06,-125.615
2013-07,-124.901
2013-08,-137.394
2013-09,-104.842
2013-10,-129.171
2013-11,-149.374
2013-12,-141.608
2014-01,-150.419
2014-02,-67.483
2014-03,-54.488
2014-04,-39.237
2014-05,0.689
2014-06,-12.739
2014-07,-55.484
2014-08,-52.439
2014-09,-44.265
2014-10,114.402
2014-11,126.7
2014-12,4.077
2015-01,49.425
2015-02,28.551
2015-03,35.484
2015-04,10.332
2015-05,-39.164
2015-06,-28.076
2015-07,6.448
2015-08,-18.156
2015-09,40.052
2015-10,-33.946
2015-11,-64.041
2015-12,-69.821
2016-01,-103.508
2016-02,-37.179
2016-03,-72.879
2016-04,-74.21
2016-05,3862.903
2016-06,745.243
2016-07,-26.198
2016-08,-5.6
2016-09,-23.949
2016-10,-33.869
2016-11,13.509
2016-12,-73.386
2017-01,-67.227
2017-02,-41.721
2017-03,-28.982
2017-04,-103.607
2017-05,-105.622
2017-06,-185.011
2017-07,-165.371
2017-08,-152.761
2017-09,-121.329
2017-10,-91.447
2017-11,-161.144
2017-12,-221.514
2018-01,-130.62
2018-02,-159.528
2018-03,-187.934
2018-04,-112.205
2018-05,-154.467
2018-06,-264.426
2018-07,-168.512
2018-08,-125.117
2018-09,-174.191
2018-10,-191.224
2018-11,-107.338
2018-12,-361.133
2019-01,-223.096
2019-02,-158.63
2019-03,-100.094
2019-04,-144.347
2019-05,-150.699
2019-06,-277.051
2019-07,-170.506
2019-08,-135.058
2019-09,-186.56
2019-10,-202.499
2019-11,-158.167
2019-12,-409.664
2020-01,-91.378
2020-02,-77.189
2020-03,-200.623
2020-04,-137.956
2020-05,-109.601
2020-06,-307.49
2020-07,-104.316
2020-08,-89.336
2020-09,-117.401
2020-10,-81.002
2020-11,-138.695
2020-12,-238.161
2021-01,-122.807
2021-02,-142.319
2021-03,-340.718
2021-04,-114.554
2021-05,-92.422
2021-06,-107.34
2021-07,-184.907
2021-08,-188.79
2021-09,-159.048
2021-10,-210.365
2021-11,-201.9
2021-12,-194.852
2022-01,-233.331
2022-02,-62.445
2022-03,-96.335
2022-04,-40.168
2022-05,-46.132
2022-06,-37.471
2022-07,-177.072
2022-08,-169.037
2022-09,-165.961
2022-10,-169.694
2022-11,-201.24
2022-12,-1029.551
2023-01,-89.056
2023-02,-65.511
2023-03,-153.49
2023-04,-139.703
2023-05,-130.238
2023-06,-270.291
2023-07,-202.004
2023-08,-171.107
2023-09,-172.085
2023-10,-172.979
2023-11,-177.715
2023-12,-427.456
2024-01,-292.703
2024-02,-258.952
2024-03,-122.646
2024-04,-325.009
2024-05,-266.163
2024-06,-366.886
2024-07,-156.991
2024-08,-95.847
2024-09,-161.564
2024-10,-165.249
2024-11,-120.605
2024-12,-394.094
2025-01,-137.6
2025-02,-125.65
2025-03,-140.04
2025-04,-176.93
2025-05,-203.01
2025-06,-133.1
2025-07,-310.78
2025-08,-327.95
2025-09,-264.95
2025-10,-487.82
2025-11,-460.56
2025-12,28.71
2026-01,-402.369
2026-02,-432.018
2026-03,-417.62
2026-04,-505.599
2026-05,-497.045
