month,value
2009-01,-15.766
2009-02,-8.667
2009-03,-21.552
2009-04,-6.703
2009-05,-25.835
2009-06,-4.086
2009-07,-1.746
2009-08,7.112
2009-09,-4.742
2009-10,-19.242
2009-11,-21.958
2009-12,-30.624
2010-01,-28.116
2010-02,-16.368
2010-03,-21.102
2010-04,-24.596
2010-05,-25.495
2010-06,-17.819
2010-07,2.386
2010-08,-18.474
2010-09,-22.226
2010-10,-30.152
2010-11,-44.001
2010-12,-56.944
2011-01,-63.932
2011-02,-55.848
2011-03,-68.565
2011-04,-51.193
2011-05,-75.783
2011-06,-55.309
2011-07,-48.754
2011-08,-53.882
2011-09,-77.275
2011-10,-85.909
2011-11,-98.71
2011-12,-113.042
2012-01,-136.274
2012-02,-123.729
2012-03,-160.71
2012-04,-104.353
2012-05,-173.759
2012-06,-97.875
2012-07,-127.827
2012-08,-130.195
2012-09,-106.303
2012-10,-85.194
2012-11,-62.644
2012-12,-117.077
2013-01,-153.341
2013-02,-107.453
2013-03,-161.775
2013-04,-115.517
2013-05,-112.856
2013-06,-91.031
2013-07,-32.545
2013-08,-104.526
2013-09,-109.441
2013-10,-102.602
2013-11,-89.207
2013-12,-129.529
2014-01,-190.837
2014-02,-114.705
2014-03,-132.284
2014-04,-114.596
2014-05,-115.61
2014-06,-93.567
2014-07,-69.464
2014-08,-71.586
2014-09,-106.733
2014-10,-82.539
2014-11,-105.06
2014-12,-92.228
2015-01,-111.668
2015-02,-71.204
2015-03,-54.012
2015-04,-99.299
2015-05,-57.021
2015-06,-63.671
2015-07,-50.749
2015-08,0.427
2015-09,-13.099
2015-10,-47.062
2015-11,-42.817
2015-12,-105.292
2016-01,-144.189
2016-02,-72.857
2016-03,-111.043
2016-04,-107.565
2016-05,-201.242
2016-06,-128.61
2016-07,-71.74
2016-08,-42.725
2016-09,-96.204
2016-10,-110.329
2016-11,-122.714
2016-12,-129.062
2017-01,-111.105
2017-02,-112.083
2017-03,-110.354
2017-04,-95.752
2017-05,-93.128
2017-06,-71.653
2017-07,-35.448
2017-08,-64.128
2017-09,-82.474
2017-10,-129.672
2017-11,-157.891
2017-12,-152.379
2018-01,-173.898
2018-02,-199.164
2018-03,-173.462
2018-04,-151.622
2018-05,-135.933
2018-06,-147.904
2018-07,-107.623
2018-08,-99.628
2018-09,-154.447
2018-10,-210.58
2018-11,-177.364
2018-12,-246.67
2019-01,-207.516
2019-02,-232.794
2019-03,-206.553
2019-04,-177.527
2019-05,-149.497
2019-06,-130.506
2019-07,-65.643
2019-08,-61.294
2019-09,-171.012
2019-10,-212.861
2019-11,-172.112
2019-12,-204.403
2020-01,-132.547
2020-02,-134.618
2020-03,-105.281
2020-04,-93.801
2020-05,-138.687
2020-06,-105.365
2020-07,-97.307
2020-08,-98.874
2020-09,-148.142
2020-10,-134.608
2020-11,-126.334
2020-12,-134.67
2021-01,-105.692
2021-02,-202.735
2021-03,-111.494
2021-04,-80.261
2021-05,-100.639
2021-06,-111.462
2021-07,-138.15
2021-08,-136.31
2021-09,-237.391
2021-10,-122.852
2021-11,-133.937
2021-12,-194.433
2022-01,-146.429
2022-02,-192.747
2022-03,-126.61
2022-04,-141.325
2022-05,-123.636
2022-06,-138.566
2022-07,-168.285
2022-08,-192.212
2022-09,-308.409
2022-10,-216.222
2022-11,-258.787
2022-12,-341.811
2023-01,-220.877
2023-02,-320.283
2023-03,-248.666
2023-04,-180.882
2023-05,-185.738
2023-06,-217.539
2023-07,-117.365
2023-08,-154.162
2023-09,-223.118
2023-10,-249.773
2023-11,-204.013
2023-12,-269.859
2024-01,-461.134
2024-02,-314.287
2024-03,-268.93
2024-04,-214.093
2024-05,-231.394
2024-06,-202.24
2024-07,-117.616
2024-08,-135.539
2024-09,-349.699
2024-10,-291.686
2024-11,-297.923
2024-12,-432.655
2025-01,-298.69
2025-02,-329.81
2025-03,-196.08
2025-04,-204.44
2025-05,-186.18
2025-06,-192.12
2025-07,-165.67
2025-08,-146.81
2025-09,-282.08
2025-10,-233.56
2025-11,-325.84
2025-12,-328.43
2026-01,-331.779
2026-02,-472.356
2026-03,-295.996
2026-04,-250.715
2026-05,-169.488
