сар,ангилал,утга
2020-02,Бусад бараа,0.0
2020-02,"Орон сууц, хэрэгсэл",0.26666666666666666
2020-02,Тээвэр,1.4
2020-02,"Хүнс, хоол",2.3000000000000003
2020-02,Үйлчилгээ,0.125
2020-03,Бусад бараа,0.1
2020-03,"Орон сууц, хэрэгсэл",0.03333333333333333
2020-03,Тээвэр,1.7
2020-03,"Хүнс, хоол",1.6666666666666667
2020-03,Үйлчилгээ,0.075
2020-04,Бусад бараа,-0.55
2020-04,"Орон сууц, хэрэгсэл",-0.13333333333333333
2020-04,Тээвэр,-2.5
2020-04,"Хүнс, хоол",0.6333333333333333
2020-04,Үйлчилгээ,0.0
2020-05,Бусад бараа,0.25
2020-05,"Орон сууц, хэрэгсэл",0.3
2020-05,Тээвэр,-2.7
2020-05,"Хүнс, хоол",0.7000000000000001
2020-05,Үйлчилгээ,0.07500000000000001
2020-06,Бусад бараа,0.15000000000000002
2020-06,"Орон сууц, хэрэгсэл",0.06666666666666667
2020-06,Тээвэр,-0.1
2020-06,"Хүнс, хоол",0.6999999999999998
2020-06,Үйлчилгээ,0.05
2020-07,Бусад бараа,0.2
2020-07,"Орон сууц, хэрэгсэл",0.06666666666666667
2020-07,Тээвэр,0.4
2020-07,"Хүнс, хоол",0.7999999999999999
2020-07,Үйлчилгээ,0.025
2020-08,Бусад бараа,1.05
2020-08,"Орон сууц, хэрэгсэл",0.13333333333333333
2020-08,Тээвэр,0.1
2020-08,"Хүнс, хоол",-1.5333333333333332
2020-08,Үйлчилгээ,0.4
2020-09,Бусад бараа,0.6
2020-09,"Орон сууц, хэрэгсэл",0.3666666666666667
2020-09,Тээвэр,1.5
2020-09,"Хүнс, хоол",-0.8000000000000002
2020-09,Үйлчилгээ,0.275
2020-10,Бусад бараа,1.05
2020-10,"Орон сууц, хэрэгсэл",0.2333333333333333
2020-10,Тээвэр,2.3
2020-10,"Хүнс, хоол",0.5
2020-10,Үйлчилгээ,0.3
2020-11,Бусад бараа,0.0
2020-11,"Орон сууц, хэрэгсэл",0.3333333333333333
2020-11,Тээвэр,0.0
2020-11,"Хүнс, хоол",0.7333333333333334
2020-11,Үйлчилгээ,0.07500000000000001
2020-12,Бусад бараа,0.5
2020-12,"Орон сууц, хэрэгсэл",-4.933333333333334
2020-12,Тээвэр,0.0
2020-12,"Хүнс, хоол",0.3333333333333333
2020-12,Үйлчилгээ,0.125
2021-01,Бусад бараа,-0.45
2021-01,"Орон сууц, хэрэгсэл",0.39999999999999997
2021-01,Тээвэр,0.0
2021-01,"Хүнс, хоол",0.6666666666666666
2021-01,Үйлчилгээ,0.07500000000000001
2021-02,Бусад бараа,0.10000000000000003
2021-02,"Орон сууц, хэрэгсэл",0.3333333333333333
2021-02,Тээвэр,0.3
2021-02,"Хүнс, хоол",2.066666666666667
2021-02,Үйлчилгээ,0.1
2021-03,Бусад бараа,0.4
2021-03,"Орон сууц, хэрэгсэл",0.16666666666666666
2021-03,Тээвэр,0.1
2021-03,"Хүнс, хоол",1.5333333333333332
2021-03,Үйлчилгээ,0.025
2021-04,Бусад бараа,0.0
2021-04,"Орон сууц, хэрэгсэл",5.8
2021-04,Тээвэр,0.0
2021-04,"Хүнс, хоол",1.5999999999999999
2021-04,Үйлчилгээ,0.05
2021-05,Бусад бараа,0.25
2021-05,"Орон сууц, хэрэгсэл",0.06666666666666667
2021-05,Тээвэр,1.6
2021-05,"Хүнс, хоол",1.0666666666666667
2021-05,Үйлчилгээ,0.225
2021-06,Бусад бараа,0.25
2021-06,"Орон сууц, хэрэгсэл",0.13333333333333333
2021-06,Тээвэр,3.0
2021-06,"Хүнс, хоол",1.3
2021-06,Үйлчилгээ,0.325
2021-07,Бусад бараа,0.15
2021-07,"Орон сууц, хэрэгсэл",0.03333333333333333
2021-07,Тээвэр,6.4
2021-07,"Хүнс, хоол",0.3
2021-07,Үйлчилгээ,0.15
2021-08,Бусад бараа,0.65
2021-08,"Орон сууц, хэрэгсэл",0.6
2021-08,Тээвэр,1.9
2021-08,"Хүнс, хоол",-0.33333333333333326
2021-08,Үйлчилгээ,4.8
2021-09,Бусад бараа,0.75
2021-09,"Орон сууц, хэрэгсэл",0.8333333333333334
2021-09,Тээвэр,0.5
2021-09,"Хүнс, хоол",-0.10000000000000002
2021-09,Үйлчилгээ,0.45
2021-10,Бусад бараа,0.65
2021-10,"Орон сууц, хэрэгсэл",-2.2000000000000006
2021-10,Тээвэр,0.2
2021-10,"Хүнс, хоол",1.6666666666666667
2021-10,Үйлчилгээ,0.1
2021-11,Бусад бараа,0.3
2021-11,"Орон сууц, хэрэгсэл",0.4666666666666666
2021-11,Тээвэр,1.5
2021-11,"Хүнс, хоол",1.3333333333333333
2021-11,Үйлчилгээ,0.15
2021-12,Бусад бараа,3.4
2021-12,"Орон сууц, хэрэгсэл",1.7333333333333332
2021-12,Тээвэр,0.5
2021-12,"Хүнс, хоол",2.9333333333333336
2021-12,Үйлчилгээ,1.45
2022-01,Бусад бараа,4.25
2022-01,"Орон сууц, хэрэгсэл",1.5999999999999999
2022-01,Тээвэр,-2.0
2022-01,"Хүнс, хоол",1.9333333333333336
2022-01,Үйлчилгээ,1.9749999999999999
2022-02,Бусад бараа,1.9000000000000001
2022-02,"Орон сууц, хэрэгсэл",0.7666666666666666
2022-02,Тээвэр,0.5
2022-02,"Хүнс, хоол",0.46666666666666673
2022-02,Үйлчилгээ,1.95
2022-03,Бусад бараа,0.75
2022-03,"Орон сууц, хэрэгсэл",0.43333333333333335
2022-03,Тээвэр,1.7
2022-03,"Хүнс, хоол",0.43333333333333335
2022-03,Үйлчилгээ,0.35000000000000003
2022-04,Бусад бараа,1.3
2022-04,"Орон сууц, хэрэгсэл",4.433333333333334
2022-04,Тээвэр,0.7
2022-04,"Хүнс, хоол",1.3666666666666665
2022-04,Үйлчилгээ,2.025
2022-05,Бусад бараа,1.35
2022-05,"Орон сууц, хэрэгсэл",0.26666666666666666
2022-05,Тээвэр,0.5
2022-05,"Хүнс, хоол",2.2333333333333334
2022-05,Үйлчилгээ,0.9249999999999999
2022-06,Бусад бараа,0.65
2022-06,"Орон сууц, хэрэгсэл",0.7666666666666666
2022-06,Тээвэр,1.3
2022-06,"Хүнс, хоол",2.233333333333333
2022-06,Үйлчилгээ,0.125
2022-07,Бусад бараа,0.95
2022-07,"Орон сууц, хэрэгсэл",0.7333333333333334
2022-07,Тээвэр,1.2
2022-07,"Хүнс, хоол",0.3333333333333333
2022-07,Үйлчилгээ,0.075
2022-08,Бусад бараа,2.25
2022-08,"Орон сууц, хэрэгсэл",0.6000000000000001
2022-08,Тээвэр,-0.5
2022-08,"Хүнс, хоол",-0.8333333333333334
2022-08,Үйлчилгээ,3.025
2022-09,Бусад бараа,1.5
2022-09,"Орон сууц, хэрэгсэл",0.6
2022-09,Тээвэр,-0.5
2022-09,"Хүнс, хоол",-0.20000000000000004
2022-09,Үйлчилгээ,0.625
2022-10,Бусад бараа,1.5
2022-10,"Орон сууц, хэрэгсэл",0.7000000000000001
2022-10,Тээвэр,0.3
2022-10,"Хүнс, хоол",1.0333333333333334
2022-10,Үйлчилгээ,0.32499999999999996
2022-11,Бусад бараа,1.5
2022-11,"Орон сууц, хэрэгсэл",0.7666666666666666
2022-11,Тээвэр,0.0
2022-11,"Хүнс, хоол",1.0333333333333334
2022-11,Үйлчилгээ,0.375
2022-12,Бусад бараа,2.95
2022-12,"Орон сууц, хэрэгсэл",0.4000000000000001
2022-12,Тээвэр,0.2
2022-12,"Хүнс, хоол",0.8666666666666666
2022-12,Үйлчилгээ,0.04999999999999999
2023-01,Бусад бараа,1.4
2023-01,"Орон сууц, хэрэгсэл",0.6666666666666666
2023-01,Тээвэр,0.4
2023-01,"Хүнс, хоол",1.6666666666666667
2023-01,Үйлчилгээ,0.8999999999999999
2023-02,Бусад бараа,2.05
2023-02,"Орон сууц, хэрэгсэл",0.4666666666666666
2023-02,Тээвэр,0.2
2023-02,"Хүнс, хоол",1.4333333333333333
2023-02,Үйлчилгээ,0.175
2023-03,Бусад бараа,0.050000000000000044
2023-03,"Орон сууц, хэрэгсэл",0.7666666666666667
2023-03,Тээвэр,0.0
2023-03,"Хүнс, хоол",2.6999999999999997
2023-03,Үйлчилгээ,0.25
2023-04,Бусад бараа,1.8
2023-04,"Орон сууц, хэрэгсэл",0.2333333333333333
2023-04,Тээвэр,-0.3
2023-04,"Хүнс, хоол",2.533333333333333
2023-04,Үйлчилгээ,0.2
2023-05,Бусад бараа,1.0
