сар,утга
2020-02,3.6
2020-03,1.5
2020-04,0.6
2020-05,1.2
2020-06,1.4
2020-07,2.3
2020-08,-4.6
2020-09,-2.7
2020-10,-0.1
2020-11,1.8
2020-12,1.0
2021-01,1.9
2021-02,5.2
2021-03,1.3
2021-04,4.6
2021-05,1.0
2021-06,1.2
2021-07,0.1
2021-08,-2.9
2021-09,-0.4
2021-10,3.9
2021-11,1.7
2021-12,3.8
2022-01,3.2
2022-02,1.1
2022-03,1.2
2022-04,3.3
2022-05,2.5
2022-06,2.9
2022-07,0.7
2022-08,-4.8
2022-09,-2.5
2022-10,1.6
2022-11,1.6
2022-12,1.5
2023-01,2.0
2023-02,3.8
2023-03,2.3
2023-04,3.5
2023-05,3.5
2023-06,2.8
2023-07,-1.1
2023-08,-4.1
2023-09,-1.3
2023-10,-0.3
2023-11,0.7
2023-12,0.5
2024-01,1.6
2024-02,1.8
2024-03,1.6
2024-04,1.8
2024-05,2.3
2024-06,0.6
2024-07,-0.6
2024-08,-2.3
2024-09,-0.9
2024-10,-0.2
2024-11,0.3
2024-12,2.1
2025-01,1.9
