month,value
2020-02,1.3
2020-03,0.8
2020-04,-0.5
2020-05,-0.1
2020-06,0.4
2020-07,0.7
2020-08,-0.9
2020-09,-0.1
2020-10,0.8
2020-11,0.5
2020-12,-1.2
2021-01,0.5
2021-02,1.5
2021-03,0.6
2021-04,2.7
2021-05,0.7
2021-06,1.1
2021-07,1.4
2021-08,0.4
2021-09,0.4
2021-10,0.4
2021-11,0.9
2021-12,2.4
2022-01,1.9
2022-02,1.4
2022-03,1.0
2022-04,2.5
2022-05,1.2
2022-06,1.5
2022-07,0.7
2022-08,-0.4
2022-09,-0.3
2022-10,0.9
2022-11,0.9
2022-12,0.9
2023-01,1.1
2023-02,1.4
2023-03,1.0
2023-04,1.4
2023-05,1.1
2023-06,1.1
2023-07,-0.2
2023-08,0.1
2023-09,-0.1
2023-10,0.2
2023-11,0.8
2023-12,0.2
2024-01,0.7
2024-02,0.6
2024-03,0.8
2024-04,0.6
2024-05,0.7
2024-06,0.4
2024-07,0.0
2024-08,1.2
2024-09,0.1
2024-10,0.7
2024-11,1.7
2024-12,1.3
2025-01,1.3
