гэмт_хэргийн_төрөл,он,гэмт_этгээд
Авлигын гэмт хэрэг,2010,132
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2010,234
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2010,2265
Улсын дүн,2010,19378
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2010,67
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2010,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2010,301
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2010,475
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2010,32
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2010,59
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2010,6020
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2010,284
Хүүхдийн эсрэг гэмт хэрэг,2010,0
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2010,1566
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2010,3
Цэргийн албаны эсрэг гэмт хэрэг,2010,13
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2010,202
Эрүүл мэндийн эсрэг гэмт хэрэг,2010,0
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2010,139
Өмчлөх эрхийн эсрэг гэмт хэрэг,2010,7586
Авлигын гэмт хэрэг,2011,67
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2011,248
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2011,2243
Улсын дүн,2011,17982
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2011,93
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2011,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2011,360
