year,crop_type,production_thousand_tonnes
1941,Barley,
1943,Barley,8.8
1952,Barley,11.7
1953,Barley,13.4
1955,Barley,13.6
1956,Barley,15.9
1957,Barley,12.4
1958,Barley,8.0
1959,Barley,6.9
1960,Barley,3.3
1961,Barley,11.4
1962,Barley,16.9
1963,Barley,15.6
1964,Barley,11.4
1965,Barley,8.6
1966,Barley,11.4
1967,Barley,11.8
1970,Barley,9.0
1971,Barley,20.2
1972,Barley,17.3
1973,Barley,47.9
1974,Barley,34.1
1975,Barley,64.1
1976,Barley,53.7
1977,Barley,505.0
1978,Barley,48.6
1979,Barley,54.9
1980,Barley,31.8
1981,Barley,30.8
1982,Barley,63.0
1983,Barley,88.8
1984,Barley,79.6
1985,Barley,132.3
1986,Barley,
1987,Barley,
1988,Barley,
1989,Barley,
1990,Barley,
1991,Barley,
1992,Barley,
1941,Cereals,14.9
1943,Cereals,36.9
1952,Cereals,34.5
1953,Cereals,40.0
1955,Cereals,47.2
1956,Cereals,57.9
1957,Cereals,46.9
1958,Cereals,77.5
1959,Cereals,139.8
1960,Cereals,227.4
1961,Cereals,125.6
1962,Cereals,326.5
1963,Cereals,320.2
1964,Cereals,371.0
1965,Cereals,322.0
1966,Cereals,297.2
1967,Cereals,357.3
1970,Cereals,284.8
1971,Cereals,372.9
1972,Cereals,205.0
1973,Cereals,455.4
1974,Cereals,315.8
1975,Cereals,482.5
1976,Cereals,376.3
1977,Cereals,414.4
1978,Cereals,354.9
1979,Cereals,330.7
1980,Cereals,258.5
1981,Cereals,320.5
1982,Cereals,513.7
1983,Cereals,812.8
1984,Cereals,586.2
1985,Cereals,889.6
1986,Cereals,869.4
1987,Cereals,689.3
1988,Cereals,814.3
1989,Cereals,839.1
1990,Cereals,718.3
1991,Cereals,595.3
1992,Cereals,493.9
1941,Fodder crops,
1943,Fodder crops,
1952,Fodder crops,0.4
1953,Fodder crops,0.2
1955,Fodder crops,14.7
1956,Fodder crops,16.5
1957,Fodder crops,12.0
1958,Fodder crops,54.6
1959,Fodder crops,8.4
1960,Fodder crops,37.1
1961,Fodder crops,74.1
1962,Fodder crops,186.5
1963,Fodder crops,136.9
