indicator,year,gwh
Generation,1989,3568.0
Imports,1989,158.0
Consumption,1989,2880.0
Generation,1990,3348.0
Imports,1990,228.0
Consumption,1990,2719.0
Generation,1991,3229.0
Imports,1991,84.0
Consumption,1991,2400.0
Generation,1992,2929.0
Imports,1992,101.9
Consumption,1992,2175.0
Generation,1993,2582.0
Imports,1993,197.0
Consumption,1993,2006.0
Generation,1994,2715.0
Imports,1994,215.0
Consumption,1994,1861.0
Generation,1995,2628.0
Imports,1995,381.0
Consumption,1995,1909.0
Generation,1996,2614.0
Imports,1996,383.0
Consumption,1996,1936.0
Generation,1997,2720.0
Imports,1997,376.0
Consumption,1997,1939.0
Generation,1998,2675.0
Imports,1998,367.0
Consumption,1998,1929.0
Generation,1999,2842.0
Imports,1999,203.0
Consumption,1999,1867.0
Generation,2000,2946.0
Imports,2000,181.0
Consumption,2000,1910.0
Generation,2001,3017.0
Imports,2001,196.0
Consumption,2001,1948.0
Generation,2002,3111.7
Imports,2002,167.3
Consumption,2002,2031.7
Generation,2003,3137.7
Imports,2003,171.3
Consumption,2003,2194.6
Generation,2004,3303.4
Imports,2004,170.8
Consumption,2004,2357.0
Generation,2005,3418.9
Imports,2005,167.5
Consumption,2005,2534.0
Generation,2006,3544.2
Imports,2006,168.3
Consumption,2006,2619.7
Generation,2007,3700.7
Imports,2007,195.4
Consumption,2007,2829.1
Generation,2008,4000.6
Imports,2008,197.6
Consumption,2008,3093.3
Generation,2009,4038.8
Imports,2009,156.6
Consumption,2009,3034.1
Generation,2010,4312.8
Imports,2010,262.9
Consumption,2010,3375.9
Generation,2011,4536.4
Imports,2011,275.5
Consumption,2011,3453.0
Generation,2012,4815.6
Imports,2012,366.0
Consumption,2012,3772.6
Generation,2013,5019.5
Imports,2013,1195.5
Consumption,2013,4732.1
Generation,2014,5375.8
Imports,2014,1349.2
Consumption,2014,5158.4
Generation,2015,5513.2
Imports,2015,1416.8
Consumption,2015,5283.5
Generation,2016,5667.1
Imports,2016,1446.3
Consumption,2016,5445.7
Generation,2017,6027.3
Imports,2017,1574.3
Consumption,2017,5948.7
Generation,2018,6535.3
Imports,2018,1665.7
Consumption,2018,6449.7
Generation,2019,6900.4
Imports,2019,1722.7
Consumption,2019,6846.4
Generation,2020,7069.7
Imports,2020,1684.9
Consumption,2020,6816.8
Generation,2021,7825.3
Imports,2021,1823.1
Consumption,2021,7718.9
Generation,2022,8035.0
Imports,2022,2107.4
Consumption,2022,8095.4
Generation,2023,8487.4
Imports,2023,2426.9
Consumption,2023,8639.3
Generation,2024,8692.8
Imports,2024,2753.0
Consumption,2024,9131.9
Generation,2025,9576.9
Imports,2025,2765.6
Consumption,2025,10222.0
